year,code,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,dwv-b_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,iapv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,state
2018,AK,1.176,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,0.4,0.1,0.51,0.9149999999999999,Alaska
2019,AK,0.6539999999999999,0.32,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,1.0,0.6,0.0,0.7,1.176,Alaska
2010,AL,3.3908,0.0796,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,1.0,0.0,0.0,0.1242768739239095,5.15371023769087,Alabama
2011,AL,7.364,0.038000000000000006,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0796,3.3908,Alabama
2012,AL,7.295833333333333,0.16666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.25,0.0,0.041666666666666664,1.0,0.0,0.0,0.038000000000000006,7.364,Alabama
2013,AL,10.88923076923077,0.038461538461538464,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.07692307692307693,0.9230769230769231,0.23076923076923078,0.15384615384615385,0.0,0.0,1.0,0.15384615384615385,0.0,0.16666666666666666,7.295833333333333,Alabama
2014,AL,4.009090909090909,0.5136363636363637,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.18181818181818182,0.9090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,1.0,0.18181818181818182,0.0,0.038461538461538464,10.88923076923077,Alabama
2015,AL,3.521851851851852,0.11296296296296296,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035,1.0,0.4074074074074074,0.0,0.5136363636363637,4.009090909090909,Alabama
2016,AL,3.104074074074074,0.1388888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.18518518518518517,0.8518518518518519,0.1111111111111111,0.037037037037037035,0.0,0.07407407407407407,0.18518518518518517,0.25925925925925924,0.0,0.11296296296296296,3.521851851851852,Alabama
2017,AL,4.9030000000000005,0.0375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,0.9,0.05,0.0,0.0,0.05,0.5,0.15,0.0,0.1388888888888889,3.104074074074074,Alabama
2018,AL,4.027714285714286,0.13428571428571426,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.19444444444444445,0.8888888888888888,0.027777777777777776,0.05555555555555555,0.0,0.0,0.5277777777777778,0.1111111111111111,0.0,0.0375,4.9030000000000005,Alabama
2019,AL,5.28,0.044,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08,1.0,0.16,0.0,0.0,0.04,0.88,0.08,0.0,0.13428571428571426,4.027714285714286,Alabama
