,feature1,feature2,correlation
0,year,year,1.0
1,year,numcol,0.02775760594571181
2,year,yieldpercol,0.2547396190025549
3,year,totalprod,0.04256104927779282
4,year,stocks,0.12449103708280028
5,year,priceperlb,0.7254853016329267
6,year,prodvalue,0.18901081720301485
7,year,nCLOTHIANIDIN,0.28060024681092377
8,year,nIMIDACLOPRID,0.318825776392946
9,year,nTHIAMETHOXAM,0.4274177847375731
10,year,nACETAMIPRID,0.10440546942201046
11,year,nTHIACLOPRID,0.11218421567350437
12,year,nAllNeonic,0.37052636273289846
13,year,prevyear_nCLOTHIANIDIN,0.2552573322922887
14,year,prevyear_nIMIDACLOPRID,0.29306496999265835
15,year,prevyear_nTHIAMETHOXAM,0.3471047009824738
16,year,prevyear_nACETAMIPRID,0.12980532261554084
17,year,prevyear_nTHIACLOPRID,0.154251331489682
18,year,NorthDakota_PrevYear,0.6365060992891498
19,year,prevyearyield,0.2223654925807939
20,year,avg_temp,0.002411407503384412
21,year,anomaly,0.044852948234774044
22,year,varroa,0.06536961366083056
23,year,spores,0.007032342239364855
24,year,cbpv_max,0.018032885457151045
25,year,dwv_max,
26,year,iapv_max,0.021041543138922654
27,year,kbv_max,0.016924401472221146
28,year,sbpv_max,
29,year,abpv_max,0.0623266023522682
30,year,dwv-b_max,0.06550845565978876
31,year,lsv2_max,0.051242992913036065
32,year,mkv_max,
33,year,cbpv_prob,0.10343971946649128
34,year,dwv_prob,0.0067861494899396245
35,year,iapv_prob,0.5140521967603314
36,year,kbv_prob,0.36819218497261497
37,year,sbpv_prob,
38,year,abpv_prob,0.23093733174450992
39,year,dwv-b_prob,0.018627815686247072
40,year,lsv2_prob,0.19544859010910268
41,year,mkv_prob,
42,year,prevyearspores,0.0039979365193948515
43,year,prevyearvarroa,0.0501595529920763
44,year,urbanicity,0.03119322740765751
45,year,Prev Days with AQI,0.4448729775349701
46,year,Prev Good Days,0.4897360446390141
47,year,Prev Moderate Days,0.050602321683858975
48,year,Prev Unhealthy for Sensitive Groups Days,0.40157701845099314
49,year,Prev Unhealthy Days,0.3563074950696954
50,year,Prev Very Unhealthy Days,0.25120680903719894
51,year,Prev Hazardous Days,0.02862058366851687
52,year,Prev Max AQI,0.01996881210534466
53,year,Prev 90th Percentile AQI,0.3407497607507052
54,year,Prev Median AQI,0.016590640106397846
55,year,Prev Days CO,0.365038802202329
56,year,Prev Days NO2,0.30503665191226537
57,year,Prev Days Ozone,0.17794601804635413
58,year,Prev Days PM2.5,0.4090475069654909
59,year,Prev Days PM10,0.1767692045475923
60,year,5 Year Avg Days with AQI,0.43462670554251537
61,year,5 Year Avg Good Days,0.42956675499203256
62,year,5 Year Avg Moderate Days,0.21075712492973595
63,year,5 Year Avg Unhealthy for Sensitive Groups Days,0.39383453905122895
64,year,5 Year Avg Unhealthy Days,0.39087426726003754
65,year,5 Year Avg Very Unhealthy Days,0.2843113031631505
66,year,5 Year Avg Hazardous Days,0.0539460365951701
67,year,5 Year Avg Max AQI,0.002137334848639297
68,year,5 Year Avg 90th Percentile AQI,0.2856614928888716
69,year,5 Year Avg Median AQI,0.05823043375384682
70,year,5 Year Avg Days CO,0.38728291683655997
71,year,5 Year Avg Days NO2,0.31581218428067437
72,year,5 Year Avg Days Ozone,0.12209576543872823
73,year,5 Year Avg Days PM2.5,0.5172186638860063
74,year,5 Year Avg Days PM10,0.1983082544731614
75,year,StateName_Alabama,0.005137513364277596
76,year,StateName_Arizona,0.005137513364278981
77,year,StateName_Arkansas,0.00513751336427792
78,year,StateName_California,0.00513751336428553
79,year,StateName_Colorado,0.005137513364282024
80,year,StateName_Florida,0.005137513364283066
81,year,StateName_Georgia,0.0051375133642725754
82,year,StateName_Hawaii,0.005137513364264981
83,year,StateName_Idaho,0.005137513364265082
84,year,StateName_Illinois,0.00513751336426626
85,year,StateName_Indiana,0.005137513364281815
86,year,StateName_Iowa,0.00513751336426453
87,year,StateName_Kansas,0.005137513364277476
88,year,StateName_Kentucky,0.005137513364277575
89,year,StateName_Louisiana,0.005137513364286906
90,year,StateName_Maine,0.005137513364279534
91,year,StateName_Maryland,0.1008177181107449
92,year,StateName_Michigan,0.005137513364285859
93,year,StateName_Minnesota,0.005137513364294966
94,year,StateName_Mississippi,0.005137513364294281
95,year,StateName_Missouri,0.005137513364302659
96,year,StateName_Montana,0.005137513364287365
97,year,StateName_Nebraska,0.0051375133643038915
