year,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic,prevyear_nCLOTHIANIDIN,prevyear_nIMIDACLOPRID,prevyear_nTHIAMETHOXAM,prevyear_nACETAMIPRID,prevyear_nTHIACLOPRID,NorthDakota_PrevYear,prevyearyield,avg_temp,anomaly,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,dwv-b_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,iapv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,urbanicity,Prev Days with AQI,Prev Good Days,Prev Moderate Days,Prev Unhealthy for Sensitive Groups Days,Prev Unhealthy Days,Prev Very Unhealthy Days,Prev Hazardous Days,Prev Max AQI,Prev 90th Percentile AQI,Prev Median AQI,Prev Days CO,Prev Days NO2,Prev Days Ozone,Prev Days PM2.5,Prev Days PM10,5 Year Avg Days with AQI,5 Year Avg Good Days,5 Year Avg Moderate Days,5 Year Avg Unhealthy for Sensitive Groups Days,5 Year Avg Unhealthy Days,5 Year Avg Very Unhealthy Days,5 Year Avg Hazardous Days,5 Year Avg Max AQI,5 Year Avg 90th Percentile AQI,5 Year Avg Median AQI,5 Year Avg Days CO,5 Year Avg Days NO2,5 Year Avg Days Ozone,5 Year Avg Days PM2.5,5 Year Avg Days PM10,StateName_Arizona,StateName_Arkansas,StateName_California,StateName_Colorado,StateName_Florida,StateName_Georgia,StateName_Hawaii,StateName_Idaho,StateName_Illinois,StateName_Indiana,StateName_Iowa,StateName_Kansas,StateName_Kentucky,StateName_Louisiana,StateName_Maine,StateName_Maryland,StateName_Michigan,StateName_Minnesota,StateName_Mississippi,StateName_Missouri,StateName_Montana,StateName_Nebraska,StateName_Nevada,StateName_New Jersey,StateName_New Mexico,StateName_New York,StateName_North Carolina,StateName_North Dakota,StateName_Ohio,StateName_Oklahoma,StateName_Oregon,StateName_Pennsylvania,StateName_South Carolina,StateName_South Dakota,StateName_Tennessee,StateName_Texas,StateName_Utah,StateName_Vermont,StateName_Virginia,StateName_Washington,StateName_West Virginia,StateName_Wisconsin,StateName_Wyoming,Region_Northeast,Region_South,Region_West
2007,11000.0,56,616000.0,209000.0,1.49,918000.0,7696.2,3258.1,4149.6,0.0,0.0,15103.9,680.0,4230.2,5371.6,0.0,0.0,74.0,72.0,76.0,1.3,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,244.6086956521739,138.17391304347825,94.21739130434784,11.043478260869565,1.1304347826086956,0.0434782608695652,0.0,204.0,77.8695652173913,45.82608695652174,2.130434782608696,0.0,160.82608695652175,74.43478260869566,7.217391304347826,238.29537549407115,146.15975230566536,81.6956297760211,9.491877470355732,0.9132384716732546,0.0348774703557312,0.0,202.0,75.06118577075098,43.71136890645586,1.6379051383399208,0.5128484848484848,148.00927799736496,78.50180500658762,9.63353886693017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2006,11000.0,72,792000.0,230000.0,1.21,958000.0,680.0,4230.2,5371.6,0.0,0.0,10281.8,1503.6,994.5,5493.9,0.0,0.0,91.0,66.0,72.8,-1.9,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,237.25,143.20833333333334,84.83333333333333,8.583333333333334,0.625,0.0,0.0,179.0,74.5,44.125,1.625,0.2916666666666667,143.66666666666666,81.875,9.791666666666666,233.17363636363635,143.67735064935064,78.76643722943723,9.559372294372295,1.0681038961038962,0.1023722943722943,0.0,214.2,75.59203463203463,43.66043722943723,1.8594372294372292,0.5699913419913419,141.37739393939393,79.21484848484849,10.151965367965367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,12000.0,86,1032000.0,103000.0,1.18,1218000.0,0.0,1178.8,840.4,0.0,0.0,2019.2,0.0,1490.8,0.0,0.0,0.0,96.0,73.0,77.3,2.6,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,219.0,125.76190476190476,79.57142857142857,11.38095238095238,1.9047619047619049,0.3809523809523809,0.0,265.0,80.52380952380952,45.57142857142857,3.238095238095238,0.2857142857142857,127.66666666666669,78.0,9.80952380952381,188.8522510822511,99.58772727272728,69.08086580086581,16.05569264069264,3.706038961038961,0.4219264069264069,0.0,242.0,84.26121212121211,45.73134199134199,2.8901298701298703,0.3773376623376623,107.37218614718616,56.81147186147186,21.40112554112554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2676.4,1323.9,3863.9,0.0,0.0,7864.2,0.0,668.3,591.7,0.0,0.0,87.0,82.0,73.8,-0.9,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,234.0,143.95833333333334,80.95833333333333,8.541666666666666,0.5416666666666666,0.0,0.0,182.0,73.5,43.41666666666666,1.625,0.5416666666666666,142.75,79.20833333333333,9.875,215.42943722943724,117.07348484848484,80.21417748917749,15.139069264069269,2.7589826839826843,0.2437229437229437,0.0,228.2,84.52424242424243,47.25822510822511,2.302922077922078,0.5563852813852813,124.4404761904762,76.24902597402597,11.880627705627706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005,13000.0,66,858000.0,266000.0,1.02,875000.0,1503.6,994.5,5493.9,0.0,0.0,7992.0,2676.4,1323.9,3863.9,0.0,0.0,78.0,87.0,76.9,2.2,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,236.8,156.64,73.56,6.2,0.36,0.04,0.0,238.0,69.8,42.28,0.4,0.64,146.44,79.4,9.92,225.94181818181815,132.55386580086582,79.1452251082251,12.379069264069264,1.6976493506493509,0.166008658008658,0.0,221.2,79.85567099567099,45.38089177489177,1.916255411255411,0.6843852813852813,134.67133333333334,78.36712121212122,10.302722943722944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2003,13000.0,82,1066000.0,43000.0,1.24,1322000.0,0.0,668.3,591.7,0.0,0.0,1260.0,0.0,1178.8,840.4,0.0,0.0,75.0,86.0,73.1,-1.6,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,238.8181818181818,148.8181818181818,74.9090909090909,13.090909090909092,1.9090909090909087,0.0909090909090909,0.0,207.0,79.63636363636364,42.90909090909091,2.409090909090909,1.0909090909090908,146.36363636363637,77.5909090909091,11.363636363636363,198.8454372294372,109.4338181818182,70.24651082251083,15.462735930735931,3.3466493506493507,0.3557229437229437,0.0,235.0,83.33624242424243,45.16689177489177,2.793922077922078,0.520051948051948,115.1704761904762,60.96735930735931,19.393627705627704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,14000.0,73,1022000.0,235000.0,0.72,736000.0,0.0,1490.8,0.0,0.0,0.0,1490.8,0.0,1499.2,0.0,0.0,0.0,115.0,78.0,71.9,-2.8,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,201.0909090909091,87.5909090909091,86.72727272727273,22.681818181818183,3.772727272727273,0.3181818181818182,0.0,214.0,95.8181818181818,52.72727272727273,1.9090909090909087,0.8636363636363636,110.13636363636364,77.63636363636364,10.545454545454543,178.80300144300145,90.86300144300144,65.58401154401155,17.613939393939393,4.306464646464646,0.4355844155844156,0.0,234.33333333333331,85.50701298701297,45.784646464646464,2.7741414141414142,0.4078787878787879,100.60735930735932,49.74862914862914,25.264992784992785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1998,16000.0,71,1136000.0,159000.0,0.72,818000.0,0.0,1836.3,0.0,0.0,0.0,1836.3,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,85.1,63.1,77.4,2.7,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,244.40153093966902,160.63012315988846,74.69709840723722,7.746299912327677,1.2273729876112431,0.10063647260443598,0.0,190.6315789473684,71.01573080809153,43.08000184184564,1.1696699675129159,0.31966279334700387,142.67985690096828,90.40673837336277,9.82560290447808,232.82410236824043,148.0706586653187,73.88878763029489,9.080185459529014,1.6310346417465815,0.15343597135130316,0.0,198.15964912280702,73.27377257918594,43.14927168311549,1.53154799591726,0.2858123338649654,136.62306074390895,81.1345829848916,13.249098309657697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,16000.0,78,1248000.0,187000.0,0.59,736000.0,0.0,1499.2,0.0,0.0,0.0,1499.2,0.0,1251.2,0.0,0.0,0.0,105.0,68.0,73.9,-0.8,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,184.23809523809524,79.23809523809524,78.9047619047619,20.0,5.666666666666667,0.4285714285714285,0.0,273.0,93.14285714285714,51.66666666666666,2.333333333333333,0.0,95.28571428571428,68.80952380952381,17.80952380952381,167.6590476190476,92.49904761904762,55.01238095238095,15.08,4.573333333333333,0.4942857142857143,0.0,244.5,80.35142857142857,42.31333333333333,3.206666666666667,0.18,95.84285714285716,35.804761904761904,32.624761904761904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1999,17000.0,68,1156000.0,185000.0,0.56,647000.0,0.0,1251.2,0.0,0.0,0.0,1251.2,0.0,1836.3,0.0,0.0,0.0,128.0,71.0,73.3,-1.4,5.559735117197618,0.14071455257705257,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15156166181754124,5.591073896908975,55.4,151.08,105.76,31.12,10.16,3.48,0.56,0.0,216.0,67.56,32.96,4.08,0.36,96.4,2.8,47.44,151.08,105.76,31.12,10.16,3.48,0.56,0.0,216.0,67.56,32.96,4.08,0.36,96.4,2.8,47.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
