,year,yieldpercol,nTHIACLOPRID,prevyear_nIMIDACLOPRID,prevyear_nACETAMIPRID,NorthDakota_PrevYear,avg_temp,anomaly,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,urbanicity,Prev Hazardous Days,Prev Days CO,Prev Days NO2,Prev Days Ozone,Prev Days PM2.5,Prev Days PM10,StateName_Alabama,StateName_Arizona,StateName_Arkansas,StateName_Colorado,StateName_Florida,StateName_Georgia,StateName_Hawaii,StateName_Idaho,StateName_Illinois,StateName_Indiana,StateName_Iowa,StateName_Kansas,StateName_Kentucky,StateName_Louisiana,StateName_Maine,StateName_Maryland,StateName_Michigan,StateName_Minnesota,StateName_Mississippi,StateName_Missouri,StateName_Montana,StateName_Nebraska,StateName_Nevada,StateName_New Jersey,StateName_New Mexico,StateName_New York,StateName_North Carolina,StateName_North Dakota,StateName_Ohio,StateName_Oklahoma,StateName_Oregon,StateName_Pennsylvania,StateName_South Carolina,StateName_South Dakota,StateName_Tennessee,StateName_Texas,StateName_Utah,StateName_Vermont,StateName_Virginia,StateName_Washington,StateName_West Virginia,StateName_Wisconsin,StateName_Wyoming,Region_Midwest,Region_Northeast,Region_South,Region_West
0,2007,56,0.0,4230.2,0.0,74.0,76.0,1.3,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,2.130434782608696,0.0,160.82608695652175,74.43478260869566,7.217391304347826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2006,72,0.0,994.5,0.0,91.0,72.8,-1.9,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.625,0.2916666666666667,143.66666666666666,81.875,9.791666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2002,86,0.0,1490.8,0.0,96.0,77.3,2.6,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,3.238095238095238,0.2857142857142857,127.66666666666669,78.0,9.80952380952381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2004,87,0.0,668.3,0.0,87.0,73.8,-0.9,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.625,0.5416666666666666,142.75,79.20833333333333,9.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2005,66,0.0,1323.9,0.0,78.0,76.9,2.2,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,0.4,0.64,146.44,79.4,9.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2003,82,0.0,1178.8,0.0,75.0,73.1,-1.6,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,2.409090909090909,1.0909090909090908,146.36363636363637,77.5909090909091,11.363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2001,73,0.0,1499.2,0.0,115.0,71.9,-2.8,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.9090909090909087,0.8636363636363636,110.13636363636364,77.63636363636364,10.545454545454543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1998,71,0.0,12671.921052631578,334.5105263157895,85.1,77.4,2.7,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.169669967512916,0.3196627933470038,142.67985690096828,90.40673837336276,9.82560290447808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2000,78,0.0,1251.2,0.0,105.0,73.9,-0.8,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,2.333333333333333,0.0,95.28571428571428,68.80952380952381,17.80952380952381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1999,68,0.0,1836.3,0.0,128.0,73.3,-1.4,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,4.08,0.36,96.4,2.8,47.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2017,45,2.6,12671.921052631578,334.5105263157895,78.0,73.4,-1.3,4.9030000000000005,0.0375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.9,0.0,0.0,0.05,0.5,0.15,0.0,0.1388888888888889,3.104074074074074,59.0,0.0,0.0,0.8888888888888888,156.16666666666666,116.77777777777776,3.7222222222222223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2015,47,0.0,12194.1,0.0,86.0,74.4,-0.3,3.521851851851852,0.1129629629629629,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.074074074074074,0.0,0.037037037037037,1.0,0.4074074074074074,0.0,0.5136363636363637,4.009090909090909,59.0,0.0,0.0,0.3888888888888889,173.11111111111111,83.66666666666667,3.2777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2016,52,2.6,10919.3,0.0,74.0,78.6,3.9,3.104074074074074,0.1388888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1851851851851851,0.8518518518518519,0.037037037037037,0.0,0.074074074074074,0.1851851851851851,0.2592592592592592,0.0,0.1129629629629629,3.521851851851852,59.0,0.0,0.0,0.6666666666666666,137.66666666666666,145.72222222222223,3.2222222222222223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2013,52,0.0,6249.1,0.0,69.0,75.0,0.3,10.88923076923077,0.0384615384615384,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0769230769230769,0.9230769230769232,0.1538461538461538,0.0,0.0,1.0,0.1538461538461538,0.0,0.1666666666666666,7.295833333333333,59.0,0.0,0.0,0.0,174.64705882352942,85.3529411764706,3.588235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2014,53,0.0,8284.4,0.0,69.0,76.3,1.6,4.009090909090909,0.5136363636363637,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1818181818181818,0.9090909090909092,0.0,0.0,0.0909090909090909,1.0,0.1818181818181818,0.0,0.0384615384615384,10.88923076923077,59.0,0.0,0.0,0.0555555555555555,173.22222222222223,84.16666666666667,3.2222222222222223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2012,54,0.0,5229.8,0.0,71.0,73.0,-1.7,7.295833333333333,0.1666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1666666666666666,1.0,0.25,0.0,0.0416666666666666,1.0,0.0,0.0,0.038,7.364,59.0,0.0,0.1052631578947368,0.0,158.6315789473684,85.05263157894737,4.7368421052631575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,2011,50,0.0,1757.0,0.0,91.0,72.1,-2.6,7.364,0.038,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0796,3.3908,59.0,0.0,0.0526315789473684,0.0,131.05263157894737,142.26315789473685,8.894736842105264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
