,StateName,year,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,Region,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic,prevyear_nCLOTHIANIDIN,prevyear_nIMIDACLOPRID,prevyear_nTHIAMETHOXAM,prevyear_nACETAMIPRID,prevyear_nTHIACLOPRID,NorthDakota_PrevYear,prevyearyield
0,Alabama,2007,11000.0,56,616000.0,209000.0,1.49,918000.0,South,7696.2,3258.1,4149.6,0.0,0.0,15103.9,680.0,4230.2,5371.6,0.0,0.0,74.0,72.0
1,Alabama,2006,11000.0,72,792000.0,230000.0,1.21,958000.0,South,680.0,4230.2,5371.6,0.0,0.0,10281.8,1503.6,994.5,5493.9,0.0,0.0,91.0,66.0
2,Alabama,2002,12000.0,86,1032000.0,103000.0,1.18,1218000.0,South,0.0,1178.8,840.4,0.0,0.0,2019.2,0.0,1490.8,0.0,0.0,0.0,96.0,73.0
3,Alabama,2004,12000.0,87,1044000.0,282000.0,1.41,1472000.0,South,2676.4,1323.9,3863.9,0.0,0.0,7864.2,0.0,668.3,591.7,0.0,0.0,87.0,82.0
4,Alabama,2005,13000.0,66,858000.0,266000.0,1.02,875000.0,South,1503.6,994.5,5493.9,0.0,0.0,7992.0,2676.4,1323.9,3863.9,0.0,0.0,78.0,87.0
5,Alabama,2003,13000.0,82,1066000.0,43000.0,1.24,1322000.0,South,0.0,668.3,591.7,0.0,0.0,1260.0,0.0,1178.8,840.4,0.0,0.0,75.0,86.0
6,Alabama,2001,14000.0,73,1022000.0,235000.0,0.72,736000.0,South,0.0,1490.8,0.0,0.0,0.0,1490.8,0.0,1499.2,0.0,0.0,0.0,115.0,78.0
7,Alabama,1998,16000.0,71,1136000.0,159000.0,0.72,818000.0,South,0.0,1836.3,0.0,0.0,0.0,1836.3,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,85.1,63.1
8,Alabama,2000,16000.0,78,1248000.0,187000.0,0.59,736000.0,South,0.0,1499.2,0.0,0.0,0.0,1499.2,0.0,1251.2,0.0,0.0,0.0,105.0,68.0
9,Alabama,1999,17000.0,68,1156000.0,185000.0,0.56,647000.0,South,0.0,1251.2,0.0,0.0,0.0,1251.2,0.0,1836.3,0.0,0.0,0.0,128.0,71.0
10,Alabama,2017,7000.0,45,315000.0,22000.0,2.77,873000.0,South,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,52.0
11,Alabama,2015,7000.0,47,329000.0,13000.0,3.83,1260000.0,South,56.2,10919.3,1101.6,0.0,0.0,12077.1,7971.6,12194.1,4745.4,0.0,0.0,86.0,53.0
12,Alabama,2016,7000.0,52,364000.0,33000.0,3.45,1256000.0,South,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,56.2,10919.3,1101.6,0.0,0.0,74.0,47.0
13,Alabama,2013,7000.0,52,364000.0,55000.0,2.85,1037000.0,South,5992.9,8284.4,5202.0,0.0,0.0,19479.3,4797.8,6249.1,7002.6,0.0,0.0,69.0,54.0
14,Alabama,2014,7000.0,53,371000.0,26000.0,3.53,1310000.0,South,7971.6,12194.1,4745.4,0.0,0.0,24911.1,5992.9,8284.4,5202.0,0.0,0.0,69.0,52.0
15,Alabama,2012,8000.0,54,432000.0,65000.0,2.47,1067000.0,South,4797.8,6249.1,7002.6,0.0,0.0,18049.5,10106.1,5229.8,7148.1,0.0,0.0,71.0,50.0
16,Alabama,2011,9000.0,50,450000.0,63000.0,2.51,1130000.0,South,10106.1,5229.8,7148.1,0.0,0.0,22484.0,1914.0,1757.0,4658.3,0.0,0.0,91.0,54.0
17,Alabama,2009,9000.0,50,450000.0,68000.0,1.86,837000.0,South,5087.2,3991.9,4076.2,0.0,0.0,13155.3,1598.3,3296.6,4214.5,0.0,0.0,90.0,66.0
18,Alabama,2010,9000.0,54,486000.0,73000.0,2.4,1166000.0,South,1914.0,1757.0,4658.3,0.0,0.0,8329.3,5087.2,3991.9,4076.2,0.0,0.0,77.0,50.0
19,Alabama,2008,9000.0,66,594000.0,214000.0,1.9,1129000.0,South,1598.3,3296.6,4214.5,0.0,0.0,9109.4,7696.2,3258.1,4149.6,0.0,0.0,74.0,56.0
20,Arkansas,2014,21000.0,65,1365000.0,137000.0,2.04,2785000.0,South,15202.6,17066.9,23805.3,692.1,0.0,56766.9,17338.3,17309.0,23873.8,0.0,0.0,69.0,60.0
21,Arkansas,2013,22000.0,60,1320000.0,66000.0,2.02,2666000.0,South,17338.3,17309.0,23873.8,0.0,0.0,58521.1,4939.2,12508.7,33718.9,59.7,0.0,69.0,63.0
22,Arkansas,2011,22000.0,64,1408000.0,239000.0,1.62,2281000.0,South,5894.4,15162.1,33501.0,2874.3,0.0,57431.8,3544.8,9049.8,21468.2,902.7,0.0,91.0,60.0
23,Arkansas,2009,24000.0,57,1368000.0,301000.0,1.42,1943000.0,South,4346.9,10079.4,21186.5,349.1,0.0,35961.9,2168.9,9093.8,25102.8,995.7,0.0,90.0,75.0
24,Arkansas,2016,24000.0,69,1656000.0,99000.0,1.85,3064000.0,South,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,1070.4,5235.9,5373.0,748.0,0.0,74.0,72.0
25,Arkansas,2015,24000.0,72,1728000.0,121000.0,2.06,3560000.0,South,1070.4,5235.9,5373.0,748.0,0.0,12427.3,15202.6,17066.9,23805.3,692.1,0.0,86.0,65.0
26,Arkansas,2010,25000.0,60,1500000.0,360000.0,1.47,2205000.0,South,3544.8,9049.8,21468.2,902.7,0.0,34965.5,4346.9,10079.4,21186.5,349.1,0.0,77.0,57.0
27,Arkansas,2012,25000.0,63,1575000.0,189000.0,1.98,3119000.0,South,4939.2,12508.7,33718.9,59.7,0.0,51226.5,5894.4,15162.1,33501.0,2874.3,0.0,71.0,64.0
28,Arkansas,2008,28000.0,75,2100000.0,525000.0,1.35,2835000.0,South,2168.9,9093.8,25102.8,995.7,0.0,37361.2,209.8,12750.1,17475.5,1277.4,0.0,74.0,80.0
29,Arkansas,2007,28000.0,80,2240000.0,672000.0,0.95,2128000.0,South,209.8,12750.1,17475.5,1277.4,0.0,31712.8,1518.4,7036.6,20647.9,4686.6,0.0,74.0,76.0
30,Arkansas,2017,29000.0,77,2233000.0,223000.0,1.91,4265000.0,South,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,69.0
31,Arkansas,2006,32000.0,76,2432000.0,730000.0,0.89,2164000.0,South,1518.4,7036.6,20647.9,4686.6,0.0,33889.5,2458.3,6902.1,7310.4,981.2,0.0,91.0,69.0
32,Arkansas,2005,36000.0,69,2484000.0,571000.0,0.97,2409000.0,South,2458.3,6902.1,7310.4,981.2,0.0,17652.0,530.9,11941.3,9368.6,3312.4,0.0,78.0,57.0
