,year,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic,prevyear_nCLOTHIANIDIN,prevyear_nIMIDACLOPRID,prevyear_nTHIAMETHOXAM,prevyear_nACETAMIPRID,prevyear_nTHIACLOPRID,NorthDakota_PrevYear,prevyearyield,StateName_Alabama,StateName_Arizona,StateName_Arkansas,StateName_California,StateName_Colorado,StateName_Florida,StateName_Georgia,StateName_Hawaii,StateName_Idaho,StateName_Illinois,StateName_Indiana,StateName_Iowa,StateName_Kansas,StateName_Kentucky,StateName_Louisiana,StateName_Maine,StateName_Maryland,StateName_Michigan,StateName_Minnesota,StateName_Mississippi,StateName_Missouri,StateName_Montana,StateName_Nebraska,StateName_Nevada,StateName_New Jersey,StateName_New Mexico,StateName_New York,StateName_North Carolina,StateName_North Dakota,StateName_Ohio,StateName_Oklahoma,StateName_Oregon,StateName_Pennsylvania,StateName_South Carolina,StateName_South Dakota,StateName_Tennessee,StateName_Texas,StateName_Utah,StateName_Vermont,StateName_Virginia,StateName_Washington,StateName_West Virginia,StateName_Wisconsin,StateName_Wyoming,Region_Midwest,Region_Northeast,Region_South,Region_West
0,2007,11000.0,56,616000.0,209000.0,1.49,918000.0,7696.2,3258.1,4149.6,0.0,0.0,15103.9,680.0,4230.2,5371.6,0.0,0.0,74.0,72.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2006,11000.0,72,792000.0,230000.0,1.21,958000.0,680.0,4230.2,5371.6,0.0,0.0,10281.8,1503.6,994.5,5493.9,0.0,0.0,91.0,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2002,12000.0,86,1032000.0,103000.0,1.18,1218000.0,0.0,1178.8,840.4,0.0,0.0,2019.2,0.0,1490.8,0.0,0.0,0.0,96.0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2004,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2676.4,1323.9,3863.9,0.0,0.0,7864.2,0.0,668.3,591.7,0.0,0.0,87.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2005,13000.0,66,858000.0,266000.0,1.02,875000.0,1503.6,994.5,5493.9,0.0,0.0,7992.0,2676.4,1323.9,3863.9,0.0,0.0,78.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2003,13000.0,82,1066000.0,43000.0,1.24,1322000.0,0.0,668.3,591.7,0.0,0.0,1260.0,0.0,1178.8,840.4,0.0,0.0,75.0,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2001,14000.0,73,1022000.0,235000.0,0.72,736000.0,0.0,1490.8,0.0,0.0,0.0,1490.8,0.0,1499.2,0.0,0.0,0.0,115.0,78.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1998,16000.0,71,1136000.0,159000.0,0.72,818000.0,0.0,1836.3,0.0,0.0,0.0,1836.3,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,85.1,63.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2000,16000.0,78,1248000.0,187000.0,0.59,736000.0,0.0,1499.2,0.0,0.0,0.0,1499.2,0.0,1251.2,0.0,0.0,0.0,105.0,68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1999,17000.0,68,1156000.0,185000.0,0.56,647000.0,0.0,1251.2,0.0,0.0,0.0,1251.2,0.0,1836.3,0.0,0.0,0.0,128.0,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2017,7000.0,45,315000.0,22000.0,2.77,873000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2015,7000.0,47,329000.0,13000.0,3.83,1260000.0,56.2,10919.3,1101.6,0.0,0.0,12077.1,7971.6,12194.1,4745.4,0.0,0.0,86.0,53.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2016,7000.0,52,364000.0,33000.0,3.45,1256000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,56.2,10919.3,1101.6,0.0,0.0,74.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
