,state,urbanicity,year
1,Alabama,55.4,1998
2,Alaska,65.6,1998
3,Arizona,88.2,1998
4,Arkansas,52.5,1998
5,California,94.4,1998
6,Colorado,84.5,1998
7,Connecticut,87.7,1998
8,Delaware,80.1,1998
9,District of Columbia,100.0,1998
10,Florida,89.3,1998
11,Georgia,71.6,1998
12,Hawaii,91.5,1998
13,Idaho,66.4,1998
14,Illinois,87.8,1998
15,Indiana,70.8,1998
16,Iowa,61.1,1998
17,Kansas,71.4,1998
18,Kentucky,55.8,1998
19,Louisiana,72.6,1998
20,Maine,40.2,1998
21,Maryland,86.1,1998
22,Massachusetts,91.4,1998
23,Michigan,74.7,1998
24,Minnesota,70.9,1998
25,Mississippi,48.8,1998
26,Missouri,69.4,1998
27,Montana,54.1,1998
28,Nebraska,69.8,1998
29,Nevada,91.5,1998
30,New Hampshire,59.3,1998
31,New Jersey,94.4,1998
32,New Mexico,75.0,1998
33,New York,87.5,1998
34,North Carolina,60.2,1998
35,North Dakota,55.9,1998
36,Ohio,77.4,1998
37,Oklahoma,65.3,1998
38,Oregon,78.7,1998
39,Pennsylvania,77.1,1998
40,Rhode Island,90.9,1998
41,South Carolina,60.5,1998
42,South Dakota,51.9,1998
43,Tennessee,63.6,1998
44,Texas,82.5,1998
45,Utah,88.2,1998
46,Vermont,38.2,1998
47,Virginia,73.0,1998
48,Washington,82.0,1998
49,West Virginia,46.1,1998
50,Wisconsin,68.3,1998
51,Wyoming,65.1,1998
1,Alabama,55.4,1999
2,Alaska,65.6,1999
3,Arizona,88.2,1999
4,Arkansas,52.5,1999
5,California,94.4,1999
6,Colorado,84.5,1999
7,Connecticut,87.7,1999
8,Delaware,80.1,1999
9,District of Columbia,100.0,1999
10,Florida,89.3,1999
11,Georgia,71.6,1999
12,Hawaii,91.5,1999
13,Idaho,66.4,1999
14,Illinois,87.8,1999
15,Indiana,70.8,1999
16,Iowa,61.1,1999
17,Kansas,71.4,1999
18,Kentucky,55.8,1999
19,Louisiana,72.6,1999
20,Maine,40.2,1999
21,Maryland,86.1,1999
22,Massachusetts,91.4,1999
23,Michigan,74.7,1999
24,Minnesota,70.9,1999
25,Mississippi,48.8,1999
26,Missouri,69.4,1999
27,Montana,54.1,1999
28,Nebraska,69.8,1999
29,Nevada,91.5,1999
30,New Hampshire,59.3,1999
31,New Jersey,94.4,1999
32,New Mexico,75.0,1999
33,New York,87.5,1999
34,North Carolina,60.2,1999
35,North Dakota,55.9,1999
36,Ohio,77.4,1999
37,Oklahoma,65.3,1999
38,Oregon,78.7,1999
39,Pennsylvania,77.1,1999
40,Rhode Island,90.9,1999
41,South Carolina,60.5,1999
42,South Dakota,51.9,1999
43,Tennessee,63.6,1999
44,Texas,82.5,1999
45,Utah,88.2,1999
46,Vermont,38.2,1999
47,Virginia,73.0,1999
48,Washington,82.0,1999
49,West Virginia,46.1,1999
50,Wisconsin,68.3,1999
51,Wyoming,65.1,1999
1,Alabama,55.4,2000
2,Alaska,65.6,2000
3,Arizona,88.2,2000
4,Arkansas,52.5,2000
5,California,94.4,2000
6,Colorado,84.5,2000
7,Connecticut,87.7,2000
8,Delaware,80.1,2000
9,District of Columbia,100.0,2000
10,Florida,89.3,2000
11,Georgia,71.6,2000
12,Hawaii,91.5,2000
13,Idaho,66.4,2000
14,Illinois,87.8,2000
15,Indiana,70.8,2000
16,Iowa,61.1,2000
17,Kansas,71.4,2000
18,Kentucky,55.8,2000
19,Louisiana,72.6,2000
20,Maine,40.2,2000
21,Maryland,86.1,2000
22,Massachusetts,91.4,2000
23,Michigan,74.7,2000
24,Minnesota,70.9,2000
25,Mississippi,48.8,2000
26,Missouri,69.4,2000
27,Montana,54.1,2000
28,Nebraska,69.8,2000
29,Nevada,91.5,2000
30,New Hampshire,59.3,2000
31,New Jersey,94.4,2000
32,New Mexico,75.0,2000
33,New York,87.5,2000
34,North Carolina,60.2,2000
35,North Dakota,55.9,2000
36,Ohio,77.4,2000
37,Oklahoma,65.3,2000
38,Oregon,78.7,2000
39,Pennsylvania,77.1,2000
40,Rhode Island,90.9,2000
41,South Carolina,60.5,2000
42,South Dakota,51.9,2000
43,Tennessee,63.6,2000
44,Texas,82.5,2000
45,Utah,88.2,2000
46,Vermont,38.2,2000
47,Virginia,73.0,2000
48,Washington,82.0,2000
49,West Virginia,46.1,2000
50,Wisconsin,68.3,2000
51,Wyoming,65.1,2000
1,Alabama,55.4,2001
2,Alaska,65.6,2001
3,Arizona,88.2,2001
4,Arkansas,52.5,2001
5,California,94.4,2001
6,Colorado,84.5,2001
7,Connecticut,87.7,2001
8,Delaware,80.1,2001
9,District of Columbia,100.0,2001
10,Florida,89.3,2001
11,Georgia,71.6,2001
12,Hawaii,91.5,2001
13,Idaho,66.4,2001
14,Illinois,87.8,2001
15,Indiana,70.8,2001
16,Iowa,61.1,2001
17,Kansas,71.4,2001
18,Kentucky,55.8,2001
19,Louisiana,72.6,2001
20,Maine,40.2,2001
21,Maryland,86.1,2001
22,Massachusetts,91.4,2001
23,Michigan,74.7,2001
24,Minnesota,70.9,2001
25,Mississippi,48.8,2001
26,Missouri,69.4,2001
27,Montana,54.1,2001
28,Nebraska,69.8,2001
29,Nevada,91.5,2001
30,New Hampshire,59.3,2001
31,New Jersey,94.4,2001
32,New Mexico,75.0,2001
33,New York,87.5,2001
34,North Carolina,60.2,2001
35,North Dakota,55.9,2001
36,Ohio,77.4,2001
37,Oklahoma,65.3,2001
38,Oregon,78.7,2001
39,Pennsylvania,77.1,2001
40,Rhode Island,90.9,2001
41,South Carolina,60.5,2001
42,South Dakota,51.9,2001
43,Tennessee,63.6,2001
44,Texas,82.5,2001
45,Utah,88.2,2001
46,Vermont,38.2,2001
47,Virginia,73.0,2001
48,Washington,82.0,2001
49,West Virginia,46.1,2001
50,Wisconsin,68.3,2001
51,Wyoming,65.1,2001
1,Alabama,55.4,2002
2,Alaska,65.6,2002
3,Arizona,88.2,2002
4,Arkansas,52.5,2002
5,California,94.4,2002
6,Colorado,84.5,2002
7,Connecticut,87.7,2002
8,Delaware,80.1,2002
9,District of Columbia,100.0,2002
10,Florida,89.3,2002
11,Georgia,71.6,2002
12,Hawaii,91.5,2002
13,Idaho,66.4,2002
14,Illinois,87.8,2002
15,Indiana,70.8,2002
16,Iowa,61.1,2002
17,Kansas,71.4,2002
18,Kentucky,55.8,2002
19,Louisiana,72.6,2002
20,Maine,40.2,2002
21,Maryland,86.1,2002
22,Massachusetts,91.4,2002
23,Michigan,74.7,2002
24,Minnesota,70.9,2002
25,Mississippi,48.8,2002
26,Missouri,69.4,2002
27,Montana,54.1,2002
28,Nebraska,69.8,2002
29,Nevada,91.5,2002
30,New Hampshire,59.3,2002
31,New Jersey,94.4,2002
32,New Mexico,75.0,2002
33,New York,87.5,2002
34,North Carolina,60.2,2002
35,North Dakota,55.9,2002
36,Ohio,77.4,2002
37,Oklahoma,65.3,2002
38,Oregon,78.7,2002
39,Pennsylvania,77.1,2002
40,Rhode Island,90.9,2002
41,South Carolina,60.5,2002
42,South Dakota,51.9,2002
43,Tennessee,63.6,2002
44,Texas,82.5,2002
45,Utah,88.2,2002
46,Vermont,38.2,2002
47,Virginia,73.0,2002
48,Washington,82.0,2002
49,West Virginia,46.1,2002
50,Wisconsin,68.3,2002
51,Wyoming,65.1,2002
1,Alabama,55.4,2003
2,Alaska,65.6,2003
3,Arizona,88.2,2003
4,Arkansas,52.5,2003
5,California,94.4,2003
6,Colorado,84.5,2003
7,Connecticut,87.7,2003
8,Delaware,80.1,2003
9,District of Columbia,100.0,2003
10,Florida,89.3,2003
11,Georgia,71.6,2003
12,Hawaii,91.5,2003
13,Idaho,66.4,2003
14,Illinois,87.8,2003
15,Indiana,70.8,2003
16,Iowa,61.1,2003
17,Kansas,71.4,2003
18,Kentucky,55.8,2003
19,Louisiana,72.6,2003
20,Maine,40.2,2003
21,Maryland,86.1,2003
22,Massachusetts,91.4,2003
23,Michigan,74.7,2003
24,Minnesota,70.9,2003
25,Mississippi,48.8,2003
26,Missouri,69.4,2003
27,Montana,54.1,2003
28,Nebraska,69.8,2003
29,Nevada,91.5,2003
30,New Hampshire,59.3,2003
31,New Jersey,94.4,2003
32,New Mexico,75.0,2003
33,New York,87.5,2003
34,North Carolina,60.2,2003
35,North Dakota,55.9,2003
36,Ohio,77.4,2003
37,Oklahoma,65.3,2003
38,Oregon,78.7,2003
39,Pennsylvania,77.1,2003
40,Rhode Island,90.9,2003
41,South Carolina,60.5,2003
42,South Dakota,51.9,2003
43,Tennessee,63.6,2003
44,Texas,82.5,2003
45,Utah,88.2,2003
46,Vermont,38.2,2003
47,Virginia,73.0,2003
48,Washington,82.0,2003
49,West Virginia,46.1,2003
50,Wisconsin,68.3,2003
51,Wyoming,65.1,2003
1,Alabama,55.4,2004
2,Alaska,65.6,2004
3,Arizona,88.2,2004
4,Arkansas,52.5,2004
5,California,94.4,2004
6,Colorado,84.5,2004
7,Connecticut,87.7,2004
8,Delaware,80.1,2004
9,District of Columbia,100.0,2004
10,Florida,89.3,2004
11,Georgia,71.6,2004
12,Hawaii,91.5,2004
13,Idaho,66.4,2004
14,Illinois,87.8,2004
15,Indiana,70.8,2004
16,Iowa,61.1,2004
17,Kansas,71.4,2004
18,Kentucky,55.8,2004
19,Louisiana,72.6,2004
20,Maine,40.2,2004
21,Maryland,86.1,2004
22,Massachusetts,91.4,2004
23,Michigan,74.7,2004
24,Minnesota,70.9,2004
25,Mississippi,48.8,2004
26,Missouri,69.4,2004
27,Montana,54.1,2004
28,Nebraska,69.8,2004
29,Nevada,91.5,2004
30,New Hampshire,59.3,2004
31,New Jersey,94.4,2004
32,New Mexico,75.0,2004
33,New York,87.5,2004
34,North Carolina,60.2,2004
35,North Dakota,55.9,2004
36,Ohio,77.4,2004
37,Oklahoma,65.3,2004
38,Oregon,78.7,2004
39,Pennsylvania,77.1,2004
40,Rhode Island,90.9,2004
41,South Carolina,60.5,2004
42,South Dakota,51.9,2004
43,Tennessee,63.6,2004
44,Texas,82.5,2004
45,Utah,88.2,2004
46,Vermont,38.2,2004
47,Virginia,73.0,2004
48,Washington,82.0,2004
49,West Virginia,46.1,2004
50,Wisconsin,68.3,2004
51,Wyoming,65.1,2004
1,Alabama,55.4,2005
2,Alaska,65.6,2005
3,Arizona,88.2,2005
4,Arkansas,52.5,2005
5,California,94.4,2005
6,Colorado,84.5,2005
7,Connecticut,87.7,2005
8,Delaware,80.1,2005
9,District of Columbia,100.0,2005
10,Florida,89.3,2005
11,Georgia,71.6,2005
12,Hawaii,91.5,2005
13,Idaho,66.4,2005
14,Illinois,87.8,2005
15,Indiana,70.8,2005
16,Iowa,61.1,2005
17,Kansas,71.4,2005
18,Kentucky,55.8,2005
19,Louisiana,72.6,2005
20,Maine,40.2,2005
21,Maryland,86.1,2005
22,Massachusetts,91.4,2005
23,Michigan,74.7,2005
24,Minnesota,70.9,2005
25,Mississippi,48.8,2005
26,Missouri,69.4,2005
27,Montana,54.1,2005
28,Nebraska,69.8,2005
29,Nevada,91.5,2005
30,New Hampshire,59.3,2005
31,New Jersey,94.4,2005
32,New Mexico,75.0,2005
33,New York,87.5,2005
34,North Carolina,60.2,2005
35,North Dakota,55.9,2005
36,Ohio,77.4,2005
37,Oklahoma,65.3,2005
38,Oregon,78.7,2005
39,Pennsylvania,77.1,2005
40,Rhode Island,90.9,2005
41,South Carolina,60.5,2005
42,South Dakota,51.9,2005
43,Tennessee,63.6,2005
44,Texas,82.5,2005
45,Utah,88.2,2005
46,Vermont,38.2,2005
47,Virginia,73.0,2005
48,Washington,82.0,2005
49,West Virginia,46.1,2005
50,Wisconsin,68.3,2005
51,Wyoming,65.1,2005
1,Alabama,55.4,2006
2,Alaska,65.6,2006
3,Arizona,88.2,2006
4,Arkansas,52.5,2006
5,California,94.4,2006
6,Colorado,84.5,2006
7,Connecticut,87.7,2006
8,Delaware,80.1,2006
9,District of Columbia,100.0,2006
10,Florida,89.3,2006
11,Georgia,71.6,2006
12,Hawaii,91.5,2006
13,Idaho,66.4,2006
14,Illinois,87.8,2006
15,Indiana,70.8,2006
16,Iowa,61.1,2006
17,Kansas,71.4,2006
18,Kentucky,55.8,2006
19,Louisiana,72.6,2006
20,Maine,40.2,2006
21,Maryland,86.1,2006
22,Massachusetts,91.4,2006
23,Michigan,74.7,2006
24,Minnesota,70.9,2006
25,Mississippi,48.8,2006
26,Missouri,69.4,2006
27,Montana,54.1,2006
28,Nebraska,69.8,2006
29,Nevada,91.5,2006
30,New Hampshire,59.3,2006
31,New Jersey,94.4,2006
32,New Mexico,75.0,2006
33,New York,87.5,2006
34,North Carolina,60.2,2006
35,North Dakota,55.9,2006
36,Ohio,77.4,2006
37,Oklahoma,65.3,2006
38,Oregon,78.7,2006
39,Pennsylvania,77.1,2006
40,Rhode Island,90.9,2006
41,South Carolina,60.5,2006
42,South Dakota,51.9,2006
43,Tennessee,63.6,2006
44,Texas,82.5,2006
45,Utah,88.2,2006
46,Vermont,38.2,2006
47,Virginia,73.0,2006
48,Washington,82.0,2006
49,West Virginia,46.1,2006
50,Wisconsin,68.3,2006
51,Wyoming,65.1,2006
1,Alabama,55.4,2007
2,Alaska,65.6,2007
3,Arizona,88.2,2007
4,Arkansas,52.5,2007
5,California,94.4,2007
6,Colorado,84.5,2007
7,Connecticut,87.7,2007
8,Delaware,80.1,2007
9,District of Columbia,100.0,2007
10,Florida,89.3,2007
11,Georgia,71.6,2007
12,Hawaii,91.5,2007
13,Idaho,66.4,2007
14,Illinois,87.8,2007
15,Indiana,70.8,2007
16,Iowa,61.1,2007
17,Kansas,71.4,2007
18,Kentucky,55.8,2007
19,Louisiana,72.6,2007
20,Maine,40.2,2007
21,Maryland,86.1,2007
22,Massachusetts,91.4,2007
23,Michigan,74.7,2007
24,Minnesota,70.9,2007
25,Mississippi,48.8,2007
26,Missouri,69.4,2007
27,Montana,54.1,2007
28,Nebraska,69.8,2007
29,Nevada,91.5,2007
30,New Hampshire,59.3,2007
31,New Jersey,94.4,2007
32,New Mexico,75.0,2007
33,New York,87.5,2007
34,North Carolina,60.2,2007
35,North Dakota,55.9,2007
36,Ohio,77.4,2007
37,Oklahoma,65.3,2007
38,Oregon,78.7,2007
39,Pennsylvania,77.1,2007
40,Rhode Island,90.9,2007
41,South Carolina,60.5,2007
42,South Dakota,51.9,2007
43,Tennessee,63.6,2007
44,Texas,82.5,2007
45,Utah,88.2,2007
46,Vermont,38.2,2007
47,Virginia,73.0,2007
48,Washington,82.0,2007
49,West Virginia,46.1,2007
50,Wisconsin,68.3,2007
51,Wyoming,65.1,2007
1,Alabama,55.4,2008
2,Alaska,65.6,2008
3,Arizona,88.2,2008
4,Arkansas,52.5,2008
5,California,94.4,2008
6,Colorado,84.5,2008
7,Connecticut,87.7,2008
8,Delaware,80.1,2008
9,District of Columbia,100.0,2008
10,Florida,89.3,2008
11,Georgia,71.6,2008
12,Hawaii,91.5,2008
13,Idaho,66.4,2008
14,Illinois,87.8,2008
15,Indiana,70.8,2008
16,Iowa,61.1,2008
17,Kansas,71.4,2008
18,Kentucky,55.8,2008
19,Louisiana,72.6,2008
20,Maine,40.2,2008
21,Maryland,86.1,2008
22,Massachusetts,91.4,2008
23,Michigan,74.7,2008
24,Minnesota,70.9,2008
25,Mississippi,48.8,2008
26,Missouri,69.4,2008
27,Montana,54.1,2008
28,Nebraska,69.8,2008
29,Nevada,91.5,2008
30,New Hampshire,59.3,2008
31,New Jersey,94.4,2008
32,New Mexico,75.0,2008
33,New York,87.5,2008
34,North Carolina,60.2,2008
35,North Dakota,55.9,2008
36,Ohio,77.4,2008
37,Oklahoma,65.3,2008
38,Oregon,78.7,2008
39,Pennsylvania,77.1,2008
40,Rhode Island,90.9,2008
41,South Carolina,60.5,2008
42,South Dakota,51.9,2008
43,Tennessee,63.6,2008
44,Texas,82.5,2008
45,Utah,88.2,2008
46,Vermont,38.2,2008
47,Virginia,73.0,2008
48,Washington,82.0,2008
49,West Virginia,46.1,2008
50,Wisconsin,68.3,2008
51,Wyoming,65.1,2008
1,Alabama,55.4,2009
2,Alaska,65.6,2009
3,Arizona,88.2,2009
4,Arkansas,52.5,2009
5,California,94.4,2009
6,Colorado,84.5,2009
7,Connecticut,87.7,2009
8,Delaware,80.1,2009
9,District of Columbia,100.0,2009
10,Florida,89.3,2009
11,Georgia,71.6,2009
12,Hawaii,91.5,2009
13,Idaho,66.4,2009
14,Illinois,87.8,2009
15,Indiana,70.8,2009
16,Iowa,61.1,2009
17,Kansas,71.4,2009
18,Kentucky,55.8,2009
19,Louisiana,72.6,2009
20,Maine,40.2,2009
21,Maryland,86.1,2009
22,Massachusetts,91.4,2009
23,Michigan,74.7,2009
24,Minnesota,70.9,2009
25,Mississippi,48.8,2009
26,Missouri,69.4,2009
27,Montana,54.1,2009
28,Nebraska,69.8,2009
29,Nevada,91.5,2009
30,New Hampshire,59.3,2009
31,New Jersey,94.4,2009
32,New Mexico,75.0,2009
33,New York,87.5,2009
34,North Carolina,60.2,2009
35,North Dakota,55.9,2009
36,Ohio,77.4,2009
37,Oklahoma,65.3,2009
38,Oregon,78.7,2009
39,Pennsylvania,77.1,2009
40,Rhode Island,90.9,2009
41,South Carolina,60.5,2009
42,South Dakota,51.9,2009
43,Tennessee,63.6,2009
44,Texas,82.5,2009
45,Utah,88.2,2009
46,Vermont,38.2,2009
47,Virginia,73.0,2009
48,Washington,82.0,2009
49,West Virginia,46.1,2009
50,Wisconsin,68.3,2009
51,Wyoming,65.1,2009
1,Alabama,59.0,2010
2,Alaska,66.0,2010
3,Arizona,89.8,2010
4,Arkansas,56.2,2010
5,California,95.0,2010
6,Colorado,86.2,2010
7,Connecticut,88.0,2010
8,Delaware,83.3,2010
9,District of Columbia,100.0,2010
10,Florida,91.2,2010
11,Georgia,75.1,2010
12,Hawaii,91.9,2010
13,Idaho,70.6,2010
14,Illinois,88.5,2010
15,Indiana,72.4,2010
16,Iowa,64.0,2010
17,Kansas,74.2,2010
18,Kentucky,58.4,2010
19,Louisiana,73.2,2010
20,Maine,38.7,2010
21,Maryland,87.2,2010
22,Massachusetts,92.0,2010
23,Michigan,74.6,2010
24,Minnesota,73.3,2010
25,Mississippi,49.4,2010
26,Missouri,70.4,2010
27,Montana,55.9,2010
28,Nebraska,73.1,2010
29,Nevada,94.2,2010
30,New Hampshire,60.3,2010
31,New Jersey,94.7,2010
32,New Mexico,77.4,2010
33,New York,87.9,2010
34,North Carolina,66.1,2010
35,North Dakota,59.9,2010
36,Ohio,77.9,2010
37,Oklahoma,66.2,2010
38,Oregon,81.0,2010
39,Pennsylvania,78.7,2010
40,Rhode Island,90.7,2010
41,South Carolina,66.3,2010
42,South Dakota,56.7,2010
43,Tennessee,66.4,2010
44,Texas,84.7,2010
45,Utah,90.6,2010
46,Vermont,38.9,2010
47,Virginia,75.5,2010
48,Washington,84.1,2010
49,West Virginia,48.7,2010
50,Wisconsin,70.2,2010
51,Wyoming,64.8,2010
1,Alabama,59.0,2011
2,Alaska,66.0,2011
3,Arizona,89.8,2011
4,Arkansas,56.2,2011
5,California,95.0,2011
6,Colorado,86.2,2011
7,Connecticut,88.0,2011
8,Delaware,83.3,2011
9,District of Columbia,100.0,2011
10,Florida,91.2,2011
11,Georgia,75.1,2011
12,Hawaii,91.9,2011
13,Idaho,70.6,2011
14,Illinois,88.5,2011
15,Indiana,72.4,2011
16,Iowa,64.0,2011
17,Kansas,74.2,2011
18,Kentucky,58.4,2011
19,Louisiana,73.2,2011
20,Maine,38.7,2011
21,Maryland,87.2,2011
22,Massachusetts,92.0,2011
23,Michigan,74.6,2011
24,Minnesota,73.3,2011
25,Mississippi,49.4,2011
26,Missouri,70.4,2011
27,Montana,55.9,2011
28,Nebraska,73.1,2011
29,Nevada,94.2,2011
30,New Hampshire,60.3,2011
31,New Jersey,94.7,2011
32,New Mexico,77.4,2011
33,New York,87.9,2011
34,North Carolina,66.1,2011
35,North Dakota,59.9,2011
36,Ohio,77.9,2011
37,Oklahoma,66.2,2011
38,Oregon,81.0,2011
39,Pennsylvania,78.7,2011
40,Rhode Island,90.7,2011
41,South Carolina,66.3,2011
42,South Dakota,56.7,2011
43,Tennessee,66.4,2011
44,Texas,84.7,2011
45,Utah,90.6,2011
