State,Element,Value,Units,BegDate,EndDate,Location,Station ID,Status,Notes
"Alabama","All-Time Maximum Temperature",112,"degrees F",19250906,19250906,"Centerville",011520,E,
"Alabama","All-Time Minimum Temperature",-27,"degrees F",19660130,19660130,"New Market",015867,E,
"Alabama","All-Time Greatest 24-Hour Precipitation",32.52,"inches",19970719,19970720,"Dauphin Island Sea Lab",012172,EA,"Although higher amounts have been observed in other states, the 32.52 inches of rainfall that was observed in 24-hrs over July 19-20, 1997 at Dauphin Island Sea Lab in conjunction with Hurricane Danny is the greatest 24-hr rainfall that has been directly observed at an officially established observation station within the coterminous United States."
"Alabama","All-Time Maximum 24-Hour Snowfall",20,"inches",19930313,19930313,"Walunt Grove",018648,N,
"Alabama","All-Time Maximum Snow Depth",22,"inches",19400124,19400124,"Reform",016847,N,
"Alabama","Hail: Weight",0.6125,"pounds",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Circumference",13.75,"inches",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Diameter",5.38,"inches",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Volume",19.8,"cubic inches",20180319,20180319,"Walter",N/A,NSA,""
"Alaska","All-Time Maximum Temperature",100,"degrees F",19150627,19150627,"Fort Yukon",26413,E,
"Alaska","All-Time Minimum Temperature",-80,"degrees F",19710123,19710123,"Prospect Creek Camp",507778,E,
"Alaska","All-Time Greatest 24-Hour Precipitation",15.05,"inches",19861010,19861010,"Seward",26438,N,"The previously-listed state record of 15.2 inches at Angoon on October 12, 1982 was determined to be invalid by the SCEC, based largely on analysis that resulted in this Bulletin of the American Meteorological Society article."
"Alaska","All-Time Maximum 24-Hour Snowfall",78,"inches",19630209,19630209,"Mile 47 Camp",505878,N,
"Alaska","All-Time Maximum Snow Depth",192,"inches",20080411,20080411,"Valdez Municipal Airport",509685,N1,
"Alaska","All-Time Maximum Snow Depth",192,"inches",20080307,20080307,"Valdez Municipal Airport",509685,N1,
"Arizona","All-Time Maximum Temperature",128,"degrees F",19940629,19940629,"Lake Havasu City",024761,E,
"Arizona","All-Time Minimum Temperature",-40,"degrees F",19710107,19710107,"Hawley Lake",023926,E,
"Arizona","All-Time Greatest 24-Hour Precipitation",11.4,"inches",19700904,19700905,"Workman Creek",029534,E,
"Arizona","All-Time Maximum 24-Hour Snowfall",38,"inches",19870225,19870225,"Alpine",020170,N1,
"Arizona","All-Time Maximum 24-Hour Snowfall",38,"inches",19671214,19671214,"Heber Ranger Stn",023961,N1,
"Arizona","All-Time Maximum Snow Depth",91,"inches",19671221,19671221,"Hawley Lake",023926,N,
"Arkansas","All-Time Maximum Temperature",120,"degrees F",19360810,19360810,"Ozark",035508,E,
"Arkansas","All-Time Minimum Temperature",-29,"degrees F",19050213,19050213,"Brook Farm Pond (near Gravette)",032930,E,
"Arkansas","All-Time Greatest 24-Hour Precipitation",14.06,"inches",19821203,19821203,"Big Fork",030664,E,
"Arkansas","Maximum Annual Precipitation Total",101.05,"inches",20150101,20151231,"Big Fork 1 SSE",030664,NA,"This value exceeds the previous record of 100.05 inches at Leola (GHCN-Daily ID USC00034134; COOP ID 034134) from July 1, 2008 through June 30, 2009. The previous record was established by an ad hoc SCEC convened in February 2010, and replaced, in turn the previous record of 98.55 inches observed in New Hope in 1957."
"Arkansas","All-Time Maximum 24-Hour Snowfall",25,"inches",19180122,19180122,"Corning",031632,N,
"Arkansas","All-Time Maximum Snow Depth",26,"inches",19180122,19180122,"Calico Rock 2WSW",031132,N,
"California","All-Time Maximum Temperature",134,"degrees F",19130710,19130710,"Greenland Ranch",043603,E,
"California","All-Time Minimum Temperature",-45,"degrees F",19370120,19370120,"Boca",040931,E,
"California","All-Time Greatest 24-Hour Precipitation",25.83,"inches",19430122,19430123,"Hoegees Camp",044017,EA,"Hourly precipitation values for Hoegee's Campground (in the mountains outside Los Angeles) indicate the greatest 24-hour rainfall occurred between 1:00 AM on January 22nd to 1:00 AM on January 23rd. During that period, the storm delivered 25.83 inches (corrected from previous reports of 26.12 inches). A detailed post-storm report was produced by the Weather Bureau."
"California","All-Time Maximum 24-Hour Snowfall",67,"inches",19820105,19820105,"Echo Summit Sierra at Tahoe",042671,N,
"California","All-Time Maximum Snow Depth",451,"inches",19110311,19110311,"Tamarack",048781,E,
"California","Maximum Wind Gust",199,"mph",20170220,20170220,"Alpine Summit (Ward Mt)",SUMAM (MesoWest),SA,
