The popup on hover provides the,,,,,,,,,"Molecular targets with a negative result are represented with a '-' in their cell, while positve results are represented with a '+'. Some data has quantitaive results that have been ranked into percentiles. The percentile shows the percent of samples found at the same level, or below, for that particular target. You can think of it as a ranking from 0 to 100, with lower rank is ""better"" (less virus). For example, a pathogen found to be postive and ranked at 'below 30th', would be a relatively low level at the lower third compared to other samples. Sampling targets are described below.",,,,,,,,,,,,,,,,
pathogen prevalance in %,,,,,,,,,,,,,,,,,,,,,,,,,
samples_n = number of virus samples,,,,,,,,,,,,,,,,,,,,,,,,,
sources_n = the number of different operation owners per sampling project represented,,,,,,,,,,,,,,,,,,,,,,,,,
months = the months the samples were collected,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Includes data with a collection date up to Dec 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,,
sample_year,sample_month_number,sample_month,state_code,sampling_county,varroa_per_100_bees,million_spores_per_bee,abpv,abpv_percentile,cbpv,cbpv_percentile,dwv,dwv_percentile,dwv-b,dwv-b_percentile,iapv,iapv_percentile,kbv,kbv_percentile,lsv2,lsv2_percentile,sbpv,sbpv_percentile,mkv,mkv_percentile,pesticides
the calender year the sample was collected in,the calender month number the sample was collected in,the calender month the sample was collected in,the US state abbreviation the sample was collected in,"US county the sample collected in, if known","Number of varroa mites per 100 bees, from the composite sample at the location.","Millions of Nosema spores per bee, from the composite sample at the location.",Acute Bee Paralysis Virus (+/-),"Acute Bee Paralysis Virus percentile (based on number of target copies after 2013) , Prior to 2013 only (+/-) and percentiles were reported for molecular targets",Chronic Bee Paraylsis Virus (+/-),Chronic Bee Paraylsis Viruspercentile (based on number of target copies after 2013) ,Deformed Wing Virus -A (+/-),Deformed Wing Virus percentile (based on number of target copies after 2013) ,"Deformed Wing Virus -B, formerly named Varroa Destructor Virus (+/-)","Deformed Wing Virus -B, percentile (based on number of target copies) ",Isreali Acute Paraylsis Virus (+/-),Isreali Acute Paraylsis Virus percentile (based on number of target copies after 2013) ,Kashmir Bee Virus (+/-),Kashmir Bee Virus percentile (based on number of target copies after 2013) ,Lake Sinai Virus-2 (+/-),Lake Sinai Virus-2 percentile (based on number of target copies after 2013) ,Slow Bee Paraylsis Virus (+/-),Slow Bee Paraylsis Virus percentile (based on number of target copies after 2013) ,Moku Virus (+/-),Moku Virus percentile (based on number of target copies) ,"The detected pesticides in the sample given after the sample type as (Bee Bread or Wax), or No Detections if the sample was tested but none found. After each detected pesticide is listed the quatity detected is given in parenthesis, or reported as Trace if detected below the level of quantification. For an explaination of tests, please see https://research.beeinformed.org/state_reports/pesticides/ and https://research.beeinformed.org/state_reports/pesticides_wax/"
2009,7,July,HI,,0,0.02,,,-,,+,,,,-,,-,,,,-,,,,
2009,7,July,HI,,3.46,0.03,,,-,,+,,,,-,,-,,,,-,,,,
2009,7,July,HI,,11.48,0.03,,,-,,-,,,,-,,-,,,,-,,,,
2009,7,July,HI,,14,0.08,,,-,,+,,,,-,,+,,,,-,,,,
2009,7,July,HI,,1.15,0.03,,,-,,+,,,,-,,-,,,,-,,,,
2009,7,July,HI,,2.41,4.18,,,-,,-,,,,-,,-,,,,-,,,,
2009,8,August,HI,,18.91,0.15,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,,0,0,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,,3.8,0,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,,0.2,0,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,,2,0,,,-,,+,,,,+,,+,,,,-,,,,
2009,11,November,CA,,0.08,0,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,,0,0.7,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,,1.5,0,,,-,,+,,,,-,,+,,,,-,,,,
2009,11,November,CA,,9.5,0,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,,0.08,0,,,-,,+,,,,-,,-,,,,-,,,,
2009,12,December,CA,,4.58,1.35,,,-,,+,,,,-,,-,,,,-,,,,
2009,12,December,CA,,0.23,0.02,,,-,,-,,,,+,,-,,,,-,,,,
2009,12,December,CA,,0,0.03,,,-,,+,,,,-,,-,,,,-,,,,
2010,1,January,CA,,0.1,1,,,-,,+,,,,-,,-,,,,-,,,,
2010,1,January,CA,,1.5,1.4,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,,2.4,0,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,,8.2,2.5,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,,0,0.1,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,,2.5,0.1,,,-,,+,,,,+,,-,,,,-,,,,
2010,1,January,CA,,0,1.7,,,-,,+,,,,-,,-,,,,-,,,,
2010,1,January,CA,,0.2,1,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,,0.3,1.5,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.8,1.1,,,-,,+,,,,-,,+,,,,-,,,,
2010,2,February,CA,,7.2,0.1,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.7,0.1,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0,0.2,,,-,,+,,,,-,,+,,,,-,,,,
2010,2,February,CA,,2.1,0.03,,,,,,,,,,,,,,,,,,,
2010,2,February,CA,,0.3,1.4,,,-,,-,,,,+,,-,,,,-,,,,
2010,2,February,CA,,0.5,3.3,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.1,0.6,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,2.8,0.3,,,-,,+,,,,+,,+,,,,-,,,,
2010,2,February,CA,,0.1,1.2,,,-,,+,,,,+,,-,,,,-,,,,
2010,2,February,CA,,0.1,0.8,,,-,,-,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.1,0,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.1,0,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,0.6,0,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,1,0.1,,,-,,-,,,,-,,-,,,,-,,,,
2010,2,February,FL,,7.83,2.12,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,CA,,,,,,,,,,,,,,,,,,,,,,
2010,3,March,FL,,2.7,0.4,,,-,,+,,,,+,,-,,,,-,,,,
2010,3,March,CA,,0.14,0.18,,,-,,+,,,,+,,-,,,,-,,,,
2010,3,March,FL,,0.4,1.63,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,0.8,0.78,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,0,0.08,,,-,,-,,,,-,,-,,,,-,,,,
2010,3,March,CA,,1.1,0.35,,,+,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,7.5,0.02,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,1.1,0.25,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,0.07,1.28,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,0.28,0.28,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,0.08,1.3,,,-,,-,,,,+,,-,,,,-,,,,
2010,3,March,CA,,0,0.65,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,0.35,2.22,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,,,,,,,,,,,,,,,,,,,,,,
2010,3,March,FL,,0.4,1.78,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,3.82,0.02,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,0.1,0.28,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,2.81,0.03,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,0.67,0.38,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,,2.1,0.35,,,-,,+,,,,+,,-,,,,-,,,,
2010,4,April,FL,,5.75,0.35,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,0.3,1.78,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,2.8,1.75,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,0.5,0.6,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,6.15,0.18,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,7.8,2.52,,,-,,+,,,,+,,+,,,,-,,,,
2010,4,April,FL,,0,0.8,,,-,,+,,,,+,,-,,,,-,,,,
2010,4,April,FL,,2.1,0.47,,,-,,-,,,,-,,-,,,,-,,,,
2010,4,April,FL,,4.7,0.1,,,+,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,,3.6,1.3,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,0.44,0.48,,,-,,+,,,,-,,-,,,,-,,,,
