year,Adj_to_yr,Adj_to_mon,Multiply_by
2000,2022,Oct,1.77
1999,2022,Oct,1.81
1998,2022,Oct,1.84
1997,2022,Oct,1.87
2001,2022,Oct,1.7
2002,2022,Oct,1.68
2003,2022,Oct,1.64
2004,2022,Oct,1.61
2005,2022,Oct,1.56
2006,2022,Oct,1.5
2007,2022,Oct,1.47
2008,2022,Oct,1.41
2009,2022,Oct,1.41
2010,2022,Oct,1.38
2011,2022,Oct,1.35
2012,2022,Oct,1.31
2013,2022,Oct,1.29
2014,2022,Oct,1.27
2015,2022,Oct,1.28
2016,2022,Oct,1.26
2017,2022,Oct,1.23
2018,2022,Oct,1.2
2019,2022,Oct,1.18
2020,2022,Oct,1.16
2021,2022,Oct,1.14
