,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,totalprod,avg_temp,anomaly,median aqi,varroa,spores,cbpv,dwv,iapv,kbv,sbpv,abpv,dwv-b,lsv2,mkv,urban_rate,year,code,state
0,7696.2,3258.1,4149.6,0.0,0.0,616000.0,76.0,1.3,49.85,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2007,AL,Alabama
1,680.0,4230.2,5371.6,0.0,0.0,792000.0,72.8,-1.9,45.82608695652174,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2006,AL,Alabama
2,0.0,1178.8,840.4,0.0,0.0,1032000.0,77.3,2.6,42.90909090909091,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2002,AL,Alabama
3,2676.4,1323.9,3863.9,0.0,0.0,1044000.0,73.8,-0.9,42.28,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2004,AL,Alabama
4,1503.6,994.5,5493.9,0.0,0.0,858000.0,76.9,2.2,44.125,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2005,AL,Alabama
5,0.0,668.3,591.7,0.0,0.0,1066000.0,73.1,-1.6,43.416666666666664,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2003,AL,Alabama
6,0.0,1490.8,0.0,0.0,0.0,1022000.0,71.9,-2.8,45.57142857142857,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2001,AL,Alabama
7,0.0,1836.3,0.0,0.0,0.0,1136000.0,77.4,2.7,32.96,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.4,1998,AL,Alabama
8,0.0,1499.2,0.0,0.0,0.0,1248000.0,73.9,-0.8,52.72727272727273,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2000,AL,Alabama
9,0.0,1251.2,0.0,0.0,0.0,1156000.0,73.3,-1.4,51.666666666666664,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.4,1999,AL,Alabama
10,2782.238888888889,3869.6388888888887,3247.7666666666664,0.0,0.0,315000.0,73.4,-1.3,38.44444444444444,4.9030000000000005,0.0375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2017,AL,Alabama
11,56.2,10919.3,1101.6,0.0,0.0,329000.0,74.4,-0.3,39.333333333333336,3.521851851851852,0.11296296296296296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2015,AL,Alabama
12,2782.238888888889,3869.6388888888887,3247.7666666666664,0.0,0.0,364000.0,78.6,3.9,39.44444444444444,3.104074074074074,0.1388888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2016,AL,Alabama
13,5992.9,8284.4,5202.0,0.0,0.0,364000.0,75.0,0.3,37.388888888888886,10.88923076923077,0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2013,AL,Alabama
14,7971.6,12194.1,4745.4,0.0,0.0,371000.0,76.3,1.6,38.166666666666664,4.009090909090909,0.5136363636363637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2014,AL,Alabama
15,4797.8,6249.1,7002.6,0.0,0.0,432000.0,73.0,-1.7,40.11764705882353,7.295833333333333,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2012,AL,Alabama
16,10106.1,5229.8,7148.1,0.0,0.0,450000.0,72.1,-2.6,42.78947368421053,7.364,0.038000000000000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2011,AL,Alabama
17,5087.2,3991.9,4076.2,0.0,0.0,450000.0,75.0,0.3,39.473684210526315,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2009,AL,Alabama
18,1914.0,1757.0,4658.3,0.0,0.0,486000.0,76.9,2.2,46.1578947368421,3.3908,0.0796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2010,AL,Alabama
19,1598.3,3296.6,4214.5,0.0,0.0,594000.0,74.5,-0.2,44.31578947368421,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.4,2008,AL,Alabama
20,15202.6,17066.9,23805.3,692.1,0.0,1365000.0,58.7,-1.7,36.18181818181818,5.664583333333333,0.06666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2014,AR,Arkansas
21,17338.3,17309.0,23873.8,0.0,0.0,1320000.0,59.6,-0.8,37.72727272727273,3.9279166666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2013,AR,Arkansas
22,5894.4,15162.1,33501.0,2874.3,0.0,1408000.0,61.8,1.4,42.76470588235294,4.008,0.24599999999999997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2011,AR,Arkansas
23,4346.9,10079.4,21186.5,349.1,0.0,1368000.0,59.9,-0.5,39.0625,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2009,AR,Arkansas
24,3290.1611111111106,8021.794444444444,13741.111111111111,944.8833333333334,0.0,1656000.0,62.8,2.4,36.36363636363637,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2016,AR,Arkansas
25,1070.4,5235.9,5373.0,748.0,0.0,1728000.0,61.4,1.0,35.09090909090909,3.1021739130434782,0.017391304347826087,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2015,AR,Arkansas
26,3544.8,9049.8,21468.2,902.7,0.0,1500000.0,61.2,0.8,43.705882352941174,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2010,AR,Arkansas
27,4939.2,12508.7,33718.9,59.7,0.0,1575000.0,63.6,3.2,40.857142857142854,6.6125,0.025000000000000005,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2012,AR,Arkansas
28,2168.9,9093.8,25102.8,995.7,0.0,2100000.0,59.9,-0.5,41.3125,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2008,AR,Arkansas
29,209.8,12750.1,17475.5,1277.4,0.0,2240000.0,61.8,1.4,44.75,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2007,AR,Arkansas
30,3290.1611111111106,8021.794444444444,13741.111111111111,944.8833333333334,0.0,2233000.0,62.5,2.1,37.09090909090909,2.747916666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,2017,AR,Arkansas
31,1518.4,7036.6,20647.9,4686.6,0.0,2432000.0,62.0,1.6,44.375,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2006,AR,Arkansas
32,2458.3,6902.1,7310.4,981.2,0.0,2484000.0,62.0,1.6,50.6,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2005,AR,Arkansas
33,530.9,11941.3,9368.6,3312.4,0.0,2280000.0,61.0,0.6,42.529411764705884,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2004,AR,Arkansas
34,0.0,3266.6,2280.0,20.8,0.0,3000000.0,60.3,-0.1,45.04761904761905,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2003,AR,Arkansas
35,0.0,1306.7,1462.0,107.9,0.0,3960000.0,60.6,0.2,42.285714285714285,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2002,AR,Arkansas
36,0.0,2884.8,684.9,0.0,0.0,4900000.0,61.2,0.8,48.19047619047619,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2001,AR,Arkansas
37,0.0,692.2,0.0,0.0,0.0,4628000.0,62.1,1.7,50.833333333333336,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.5,1999,AR,Arkansas
38,0.0,844.0,81.2,0.0,0.0,4836000.0,60.9,0.5,51.095238095238095,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.5,2000,AR,Arkansas
39,0.0,1262.3,0.0,0.0,0.0,3445000.0,63.1,2.7,39.2,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.5,1998,AR,Arkansas
40,266.0,9309.2,526.1,1246.8,0.0,1040000.0,61.1,1.7,45.38461538461539,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88.2,2009,AZ,Arizona
41,512.8611111111111,9791.766666666668,533.1222222222223,1109.572222222222,0.0,880000.0,63.0,3.6,44.15384615384615,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2017,AZ,Arizona
42,2036.4,10907.6,759.2,1535.1,0.0,1012000.0,62.1,2.7,46.61538461538461,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2012,AZ,Arizona
43,1188.3,15866.7,2721.0,1134.2,0.0,1219000.0,60.3,0.9,45.84615384615385,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2011,AZ,Arizona
44,921.7,9530.3,1225.3,857.7,0.0,1848000.0,60.4,1.0,42.92307692307692,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2010,AZ,Arizona
45,0.0,8541.8,190.8,1791.8,0.0,1600000.0,60.6,1.2,48.15384615384615,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88.2,2008,AZ,Arizona
46,2262.1,15137.4,1680.7,569.1,0.0,1014000.0,62.2,2.8,43.61538461538461,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2014,AZ,Arizona
47,223.1,13254.2,340.1,1319.1,0.0,1274000.0,61.8,2.4,40.46153846153846,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2015,AZ,Arizona
48,512.8611111111111,9791.766666666668,533.1222222222223,1109.572222222222,0.0,1242000.0,62.2,2.8,42.53846153846154,3.603913043478261,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.8,2016,AZ,Arizona
