Alaska, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192512,25.3,-0.7
192612,29.8,3.8
192712,23.9,-2.1
192812,26.9,0.9
192912,27.6,1.6
193012,25.3,-0.7
193112,26.7,0.7
193212,23.9,-2.1
193312,23.0,-3.0
193412,26.4,0.4
193512,25.7,-0.3
193612,26.4,0.4
193712,27.2,1.2
193812,26.8,0.8
193912,24.8,-1.2
194012,29.2,3.2
194112,26.9,0.9
194212,27.2,1.2
194312,27.1,1.1
194412,27.5,1.5
194512,25.6,-0.4
194612,24.5,-1.5
194712,25.8,-0.2
194812,23.4,-2.6
194912,25.5,-0.5
195012,26.1,0.1
195112,25.2,-0.8
195212,25.4,-0.6
195312,26.0,0.0
195412,24.6,-1.4
195512,23.3,-2.7
195612,21.8,-4.2
195712,28.2,2.2
195812,27.0,1.0
195912,24.6,-1.4
196012,26.7,0.7
196112,23.7,-2.3
196212,26.8,0.8
196312,26.6,0.6
196412,23.3,-2.7
196512,24.7,-1.3
196612,23.8,-2.2
196712,27.1,1.1
196812,25.4,-0.6
196912,27.0,1.0
197012,25.2,-0.8
197112,22.3,-3.7
197212,23.6,-2.4
197312,24.6,-1.4
197412,23.7,-2.3
197512,23.0,-3.0
197612,25.8,-0.2
197712,27.0,1.0
197812,29.1,3.1
197912,27.6,1.6
198012,26.4,0.4
198112,29.2,3.2
198212,25.3,-0.7
198312,26.9,0.9
198412,25.2,-0.8
198512,26.3,0.3
198612,26.9,0.9
198712,27.5,1.5
198812,27.1,1.1
198912,26.8,0.8
199012,25.4,-0.6
199112,27.0,1.0
199212,25.0,-1.0
199312,29.9,3.9
199412,26.2,0.2
199512,27.8,1.8
199612,25.1,-0.9
199712,28.1,2.1
199812,28.4,2.4
199912,24.0,-2.0
200012,28.4,2.4
200112,27.3,1.3
200212,30.1,4.1
200312,29.1,3.1
200412,29.3,3.3
200512,29.2,3.2
200612,26.4,0.4
200712,28.1,2.1
200812,25.1,-0.9
200912,26.8,0.8
201012,27.4,1.4
201112,27.0,1.0
201212,24.3,-1.7
201312,27.8,1.8
201412,30.3,4.3
201512,30.0,4.0
201612,31.9,5.9
201712,29.3,3.3
201812,30.4,4.4
201912,32.2,6.2
202012,27.5,1.5
202112,26.5,0.5
