Arizona, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,58.5,-0.9
189612,60.0,0.6
189712,58.6,-0.8
189812,59.0,-0.4
189912,59.2,-0.2
190012,60.1,0.7
190112,59.9,0.5
190212,59.6,0.2
190312,59.0,-0.4
190412,59.6,0.2
190512,58.8,-0.6
190612,59.0,-0.4
190712,59.4,0.0
190812,58.7,-0.7
190912,58.5,-0.9
191012,61.2,1.8
191112,58.8,-0.6
191212,57.2,-2.2
191312,57.5,-1.9
191412,59.9,0.5
191512,58.2,-1.2
191612,58.8,-0.6
191712,58.7,-0.7
191812,58.8,-0.6
191912,58.1,-1.3
192012,57.8,-1.6
192112,59.9,0.5
192212,58.6,-0.8
192312,57.9,-1.5
192412,58.6,-0.8
192512,59.1,-0.3
192612,59.6,0.2
192712,59.5,0.1
192812,59.6,0.2
192912,58.5,-0.9
193012,58.5,-0.9
193112,59.2,-0.2
193212,58.4,-1.0
193312,58.8,-0.6
193412,61.7,2.3
193512,59.0,-0.4
193612,60.3,0.9
193712,59.1,-0.3
193812,59.3,-0.1
193912,59.6,0.2
194012,60.8,1.4
194112,58.2,-1.2
194212,59.2,-0.2
194312,60.5,1.1
194412,58.0,-1.4
194512,58.5,-0.9
194612,59.3,-0.1
194712,59.3,-0.1
194812,58.6,-0.8
194912,58.2,-1.2
195012,60.5,1.1
195112,58.9,-0.5
195212,58.8,-0.6
195312,59.2,-0.2
195412,60.9,1.5
195512,58.4,-1.0
195612,59.5,0.1
195712,59.5,0.1
195812,60.4,1.0
195912,60.2,0.8
196012,59.6,0.2
196112,59.2,-0.2
196212,59.8,0.4
196312,59.8,0.4
196412,57.8,-1.6
196512,58.5,-0.9
196612,59.5,0.1
196712,59.0,-0.4
196812,58.6,-0.8
196912,59.7,0.3
197012,59.0,-0.4
197112,58.2,-1.2
197212,59.6,0.2
197312,58.4,-1.0
197412,59.5,0.1
197512,57.9,-1.5
197612,59.0,-0.4
197712,60.2,0.8
197812,59.8,0.4
197912,58.8,-0.6
198012,60.2,0.8
198112,61.3,1.9
198212,58.7,-0.7
198312,59.2,-0.2
198412,59.4,0.0
198512,59.6,0.2
198612,60.6,1.2
198712,59.3,-0.1
198812,60.2,0.8
198912,61.2,1.8
199012,59.7,0.3
199112,59.2,-0.2
199212,59.6,0.2
199312,59.8,0.4
199412,60.6,1.2
199512,61.0,1.6
199612,61.9,2.5
199712,60.5,1.1
199812,59.3,-0.1
199912,60.8,1.4
200012,61.7,2.3
200112,61.2,1.8
200212,61.2,1.8
200312,61.9,2.5
200412,60.4,1.0
200512,61.1,1.7
200612,61.1,1.7
200712,61.6,2.2
200812,60.6,1.2
200912,61.1,1.7
201012,60.4,1.0
201112,60.3,0.9
201212,62.1,2.7
201312,60.4,1.0
201412,62.2,2.8
201512,61.8,2.4
201612,62.2,2.8
201712,63.0,3.6
201812,62.3,2.9
201912,60.3,0.9
202012,62.6,3.2
202112,62.1,2.7
