Arkansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,58.9,-1.5
189612,62.1,1.7
189712,61.3,0.9
189812,60.4,0.0
189912,60.0,-0.4
190012,61.2,0.8
190112,60.2,-0.2
190212,59.7,-0.7
190312,58.5,-1.9
190412,59.5,-0.9
190512,58.8,-1.6
190612,59.5,-0.9
190712,61.1,0.7
190812,61.4,1.0
190912,61.3,0.9
191012,60.1,-0.3
191112,62.0,1.6
191212,58.5,-1.9
191312,60.6,0.2
191412,60.3,-0.1
191512,59.8,-0.6
191612,60.8,0.4
191712,58.3,-2.1
191812,60.5,0.1
191912,60.7,0.3
192012,59.7,-0.7
192112,63.3,2.9
192212,61.7,1.3
192312,60.7,0.3
192412,59.1,-1.3
192512,61.8,1.4
192612,60.3,-0.1
192712,62.0,1.6
192812,60.1,-0.3
192912,59.7,-0.7
193012,60.8,0.4
193112,61.7,1.3
193212,61.1,0.7
193312,62.3,1.9
193412,62.0,1.6
193512,60.8,0.4
193612,61.0,0.6
193712,60.0,-0.4
193812,62.6,2.2
193912,62.0,1.6
194012,58.6,-1.8
194112,61.2,0.8
194212,60.4,0.0
194312,61.1,0.7
194412,61.1,0.7
194512,60.3,-0.1
194612,62.0,1.6
194712,60.2,-0.2
194812,59.9,-0.5
194912,60.9,0.5
195012,59.8,-0.6
195112,60.1,-0.3
195212,61.0,0.6
195312,61.8,1.4
195412,62.8,2.4
195512,60.8,0.4
195612,61.4,1.0
195712,60.6,0.2
195812,58.8,-1.6
195912,60.0,-0.4
196012,58.9,-1.5
196112,59.1,-1.3
196212,60.3,-0.1
196312,60.3,-0.1
196412,60.7,0.3
196512,61.0,0.6
196612,59.2,-1.2
196712,59.9,-0.5
196812,58.7,-1.7
196912,59.5,-0.9
197012,59.7,-0.7
197112,60.5,0.1
197212,60.0,-0.4
197312,60.6,0.2
197412,60.3,-0.1
197512,59.9,-0.5
197612,58.8,-1.6
197712,60.8,0.4
197812,58.9,-1.5
197912,58.0,-2.4
198012,60.5,0.1
198112,60.2,-0.2
198212,60.0,-0.4
198312,58.9,-1.5
198412,60.0,-0.4
198512,59.8,-0.6
198612,61.5,1.1
198712,61.0,0.6
198812,59.8,-0.6
198912,59.0,-1.4
199012,61.8,1.4
199112,61.3,0.9
199212,59.9,-0.5
199312,59.3,-1.1
199412,60.4,0.0
199512,60.5,0.1
199612,59.6,-0.8
199712,59.7,-0.7
199812,63.1,2.7
199912,62.1,1.7
200012,60.9,0.5
200112,61.2,0.8
200212,60.6,0.2
200312,60.3,-0.1
200412,61.0,0.6
200512,62.0,1.6
200612,62.0,1.6
200712,61.8,1.4
200812,59.9,-0.5
200912,59.9,-0.5
201012,61.2,0.8
201112,61.8,1.4
201212,63.6,3.2
201312,59.6,-0.8
201412,58.7,-1.7
201512,61.4,1.0
201612,62.8,2.4
201712,62.5,2.1
201812,61.2,0.8
201912,61.2,0.8
202012,61.1,0.7
202112,61.3,0.9
