California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,56.5,-0.9
189612,57.5,0.1
189712,56.5,-0.9
189812,56.7,-0.7
189912,56.6,-0.8
190012,57.5,0.1
190112,57.2,-0.2
190212,56.2,-1.2
190312,56.2,-1.2
190412,57.4,0.0
190512,57.1,-0.3
190612,57.2,-0.2
190712,56.5,-0.9
190812,56.2,-1.2
190912,56.2,-1.2
191012,57.7,0.3
191112,55.4,-2.0
191212,55.5,-1.9
191312,56.4,-1.0
191412,57.4,0.0
191512,56.7,-0.7
191612,55.6,-1.8
191712,56.6,-0.8
191812,56.8,-0.6
191912,56.3,-1.1
192012,56.1,-1.3
192112,57.3,-0.1
192212,56.1,-1.3
192312,56.4,-1.0
192412,57.1,-0.3
192512,57.1,-0.3
192612,58.8,1.4
192712,56.9,-0.5
192812,57.7,0.3
192912,57.2,-0.2
193012,56.9,-0.5
193112,58.3,0.9
193212,56.9,-0.5
193312,56.7,-0.7
193412,59.7,2.3
193512,56.8,-0.6
193612,58.6,1.2
193712,57.2,-0.2
193812,57.2,-0.2
193912,58.3,0.9
194012,58.8,1.4
194112,57.1,-0.3
194212,57.0,-0.4
194312,57.8,0.4
194412,56.2,-1.2
194512,57.1,-0.3
194612,56.7,-0.7
194712,57.6,0.2
194812,55.6,-1.8
194912,56.2,-1.2
195012,58.1,0.7
195112,57.2,-0.2
195212,56.8,-0.6
195312,57.2,-0.2
195412,57.6,0.2
195512,56.2,-1.2
195612,57.0,-0.4
195712,57.1,-0.3
195812,58.9,1.5
195912,59.0,1.6
196012,58.0,0.6
196112,57.8,0.4
196212,57.4,0.0
196312,57.1,-0.3
196412,56.6,-0.8
196512,56.7,-0.7
196612,58.0,0.6
196712,57.5,0.1
196812,57.6,0.2
196912,57.5,0.1
197012,57.8,0.4
197112,56.2,-1.2
197212,57.3,-0.1
197312,57.3,-0.1
197412,57.6,0.2
197512,56.3,-1.1
197612,57.5,0.1
197712,58.0,0.6
197812,57.6,0.2
197912,57.7,0.3
198012,58.1,0.7
198112,59.3,1.9
198212,56.3,-1.1
198312,57.6,0.2
198412,58.2,0.8
198512,57.3,-0.1
198612,58.9,1.5
198712,58.3,0.9
198812,58.8,1.4
198912,58.1,0.7
199012,58.0,0.6
199112,58.1,0.7
199212,59.3,1.9
199312,57.7,0.3
199412,58.0,0.6
199512,58.9,1.5
199612,59.6,2.2
199712,59.1,1.7
199812,56.7,-0.7
199912,58.0,0.6
200012,58.8,1.4
200112,59.1,1.7
200212,58.8,1.4
200312,59.4,2.0
200412,58.9,1.5
200512,58.6,1.2
200612,58.6,1.2
200712,58.9,1.5
200812,58.9,1.5
200912,58.8,1.4
201012,57.7,0.3
201112,57.4,0.0
201212,59.5,2.1
201312,59.3,1.9
201412,61.4,4.0
201512,60.8,3.4
201612,60.1,2.7
201712,60.3,2.9
201812,60.1,2.7
201912,58.4,1.0
202012,60.5,3.1
202112,60.4,3.0
