Colorado, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,42.4,-2.2
189612,44.9,0.3
189712,44.0,-0.6
189812,42.7,-1.9
189912,43.2,-1.4
190012,45.4,0.8
190112,45.1,0.5
190212,44.7,0.1
190312,42.8,-1.8
190412,44.7,0.1
190512,43.5,-1.1
190612,44.0,-0.6
190712,45.1,0.5
190812,43.6,-1.0
190912,43.3,-1.3
191012,46.1,1.5
191112,44.4,-0.2
191212,41.8,-2.8
191312,42.8,-1.8
191412,44.4,-0.2
191512,43.2,-1.4
191612,43.5,-1.1
191712,42.9,-1.7
191812,43.8,-0.8
191912,43.3,-1.3
192012,43.2,-1.4
192112,46.0,1.4
192212,44.2,-0.4
192312,43.2,-1.4
192412,42.7,-1.9
192512,44.6,0.0
192612,44.7,0.1
192712,44.5,-0.1
192812,43.9,-0.7
192912,42.5,-2.1
193012,43.6,-1.0
193112,45.0,0.4
193212,43.7,-0.9
193312,45.4,0.8
193412,48.0,3.4
193512,45.2,0.6
193612,45.4,0.8
193712,44.2,-0.4
193812,45.1,0.5
193912,45.5,0.9
194012,45.4,0.8
194112,44.6,0.0
194212,43.9,-0.7
194312,45.7,1.1
194412,43.9,-0.7
194512,44.2,-0.4
194612,45.6,1.0
194712,44.5,-0.1
194812,43.8,-0.8
194912,44.2,-0.4
195012,45.2,0.6
195112,43.5,-1.1
195212,44.2,-0.4
195312,45.6,1.0
195412,47.4,2.8
195512,44.2,-0.4
195612,45.1,0.5
195712,44.1,-0.5
195812,45.5,0.9
195912,44.8,0.2
196012,44.2,-0.4
196112,43.9,-0.7
196212,45.0,0.4
196312,46.2,1.6
196412,43.6,-1.0
196512,44.2,-0.4
196612,44.6,0.0
196712,44.8,0.2
196812,43.6,-1.0
196912,44.7,0.1
197012,44.3,-0.3
197112,44.1,-0.5
197212,44.6,0.0
197312,43.4,-1.2
197412,44.4,-0.2
197512,43.5,-1.1
197612,44.7,0.1
197712,46.3,1.7
197812,44.5,-0.1
197912,43.5,-1.1
198012,45.6,1.0
198112,47.1,2.5
198212,44.1,-0.5
198312,44.4,-0.2
198412,43.7,-0.9
198512,44.1,-0.5
198612,46.3,1.7
198712,45.2,0.6
198812,45.1,0.5
198912,45.4,0.8
199012,45.6,1.0
199112,45.0,0.4
199212,45.3,0.7
199312,43.8,-0.8
199412,46.5,1.9
199512,45.7,1.1
199612,45.8,1.2
199712,44.8,0.2
199812,46.2,1.6
199912,46.6,2.0
200012,47.0,2.4
200112,46.8,2.2
200212,46.1,1.5
200312,47.0,2.4
200412,45.8,1.2
200512,46.8,2.2
200612,46.5,1.9
200712,46.2,1.6
200812,44.9,0.3
200912,45.2,0.6
201012,46.2,1.6
201112,45.4,0.8
201212,48.3,3.7
201312,45.1,0.5
201412,46.1,1.5
201512,47.4,2.8
201612,47.3,2.7
201712,47.9,3.3
201812,47.2,2.6
201912,45.3,0.7
202012,47.3,2.7
202112,47.5,2.9
