Delaware, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,52.7,-1.5
189612,53.9,-0.3
189712,53.6,-0.6
189812,54.8,0.6
189912,53.3,-0.9
190012,55.2,1.0
190112,52.8,-1.4
190212,53.5,-0.7
190312,53.2,-1.0
190412,50.9,-3.3
190512,52.8,-1.4
190612,54.5,0.3
190712,52.0,-2.2
190812,54.0,-0.2
190912,53.4,-0.8
191012,53.3,-0.9
191112,54.5,0.3
191212,53.0,-1.2
191312,55.6,1.4
191412,53.1,-1.1
191512,53.7,-0.5
191612,53.0,-1.2
191712,51.4,-2.8
191812,53.4,-0.8
191912,54.4,0.2
192012,52.9,-1.3
192112,56.2,2.0
192212,54.3,0.1
192312,53.9,-0.3
192412,52.3,-1.9
192512,54.5,0.3
192612,52.4,-1.8
192712,53.9,-0.3
192812,53.6,-0.6
192912,54.3,0.1
193012,54.7,0.5
193112,55.7,1.5
193212,55.0,0.8
193312,54.9,0.7
193412,53.3,-0.9
193512,53.1,-1.1
193612,53.7,-0.5
193712,54.1,-0.1
193812,55.1,0.9
193912,54.9,0.7
194012,51.7,-2.5
194112,54.6,0.4
194212,54.5,0.3
194312,54.2,0.0
194412,54.2,0.0
194512,54.5,0.3
194612,55.2,1.0
194712,53.9,-0.3
194812,54.0,-0.2
194912,56.4,2.2
195012,54.0,-0.2
195112,54.7,0.5
195212,55.0,0.8
195312,56.0,1.8
195412,55.1,0.9
195512,54.6,0.4
195612,54.3,0.1
195712,55.1,0.9
195812,52.4,-1.8
195912,55.7,1.5
196012,53.4,-0.8
196112,54.0,-0.2
196212,52.9,-1.3
196312,53.0,-1.2
196412,54.2,0.0
196512,53.6,-0.6
196612,53.3,-0.9
196712,52.6,-1.6
196812,53.9,-0.3
196912,53.4,-0.8
197012,54.0,-0.2
197112,54.6,0.4
197212,53.6,-0.6
197312,55.6,1.4
197412,54.6,0.4
197512,55.2,1.0
197612,53.8,-0.4
197712,54.6,0.4
197812,52.9,-1.3
197912,53.8,-0.4
198012,54.1,-0.1
198112,53.6,-0.6
198212,54.0,-0.2
198312,54.9,0.7
198412,54.7,0.5
198512,55.3,1.1
198612,55.1,0.9
198712,54.9,0.7
198812,54.1,-0.1
198912,54.2,0.0
199012,57.2,3.0
199112,56.9,2.7
199212,53.9,-0.3
199312,54.8,0.6
199412,55.0,0.8
199512,55.1,0.9
199612,54.0,-0.2
199712,54.8,0.6
199812,57.4,3.2
199912,56.5,2.3
200012,54.7,0.5
200112,56.1,1.9
200212,57.2,3.0
200312,54.6,0.4
200412,55.8,1.6
200512,55.7,1.5
200612,57.3,3.1
200712,56.3,2.1
200812,56.3,2.1
200912,55.4,1.2
201012,56.7,2.5
201112,57.4,3.2
201212,58.5,4.3
201312,55.8,1.6
201412,54.7,0.5
201512,56.4,2.2
201612,57.4,3.2
201712,57.6,3.4
201812,57.1,2.9
201912,57.5,3.3
202012,58.0,3.8
202112,57.4,3.2
