Georgia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,62.0,-1.4
189612,64.4,1.0
189712,64.2,0.8
189812,63.6,0.2
189912,63.6,0.2
190012,63.7,0.3
190112,61.4,-2.0
190212,63.3,-0.1
190312,62.4,-1.0
190412,62.4,-1.0
190512,63.0,-0.4
190612,63.3,-0.1
190712,64.0,0.6
190812,64.1,0.7
190912,63.6,0.2
191012,62.4,-1.0
191112,65.0,1.6
191212,62.5,-0.9
191312,63.7,0.3
191412,62.8,-0.6
191512,63.3,-0.1
191612,63.6,0.2
191712,62.0,-1.4
191812,63.6,0.2
191912,64.4,1.0
192012,62.4,-1.0
192112,65.4,2.0
192212,65.0,1.6
192312,63.8,0.4
192412,62.3,-1.1
192512,65.0,1.6
192612,63.0,-0.4
192712,65.3,1.9
192812,62.7,-0.7
192912,63.7,0.3
193012,62.9,-0.5
193112,64.3,0.9
193212,64.6,1.2
193312,65.0,1.6
193412,63.5,0.1
193512,63.7,0.3
193612,63.8,0.4
193712,63.2,-0.2
193812,64.3,0.9
193912,64.3,0.9
194012,61.5,-1.9
194112,63.8,0.4
194212,62.9,-0.5
194312,63.2,-0.2
194412,63.4,0.0
194512,63.9,0.5
194612,64.3,0.9
194712,62.7,-0.7
194812,63.8,0.4
194912,64.4,1.0
195012,63.3,-0.1
195112,63.7,0.3
195212,63.8,0.4
195312,63.9,0.5
195412,64.1,0.7
195512,63.5,0.1
195612,63.8,0.4
195712,64.1,0.7
195812,61.8,-1.6
195912,63.5,0.1
196012,62.0,-1.4
196112,62.6,-0.8
196212,63.1,-0.3
196312,61.9,-1.5
196412,62.6,-0.8
196512,63.1,-0.3
196612,61.7,-1.7
196712,62.4,-1.0
196812,61.6,-1.8
196912,61.7,-1.7
197012,62.8,-0.6
197112,63.3,-0.1
197212,63.5,0.1
197312,63.4,0.0
197412,63.8,0.4
197512,63.7,0.3
197612,61.5,-1.9
197712,62.8,-0.6
197812,62.6,-0.8
197912,62.3,-1.1
198012,63.0,-0.4
198112,62.4,-1.0
198212,63.9,0.5
198312,61.9,-1.5
198412,63.3,-0.1
198512,63.8,0.4
198612,65.0,1.6
198712,63.3,-0.1
198812,62.4,-1.0
198912,63.2,-0.2
199012,65.7,2.3
199112,64.5,1.1
199212,62.7,-0.7
199312,63.2,-0.2
199412,63.6,0.2
199512,63.5,0.1
199612,62.6,-0.8
199712,63.2,-0.2
199812,65.7,2.3
199912,64.5,1.1
200012,63.3,-0.1
200112,63.9,0.5
200212,64.4,1.0
200312,63.3,-0.1
200412,64.0,0.6
200512,63.8,0.4
200612,64.5,1.1
200712,64.8,1.4
200812,63.5,0.1
200912,63.4,0.0
201012,63.0,-0.4
201112,64.6,1.2
201212,65.5,2.1
201312,63.4,0.0
201412,63.0,-0.4
201512,65.3,1.9
201612,65.8,2.4
201712,65.8,2.4
201812,65.1,1.7
201912,66.2,2.8
202012,65.6,2.2
202112,64.6,1.2
