Idaho, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,41.4,-1.2
189612,42.8,0.2
189712,42.6,0.0
189812,41.7,-0.9
189912,41.5,-1.1
190012,44.0,1.4
190112,43.2,0.6
190212,41.9,-0.7
190312,41.1,-1.5
190412,43.2,0.6
190512,42.2,-0.4
190612,43.0,0.4
190712,42.7,0.1
190812,42.0,-0.6
190912,42.1,-0.5
191012,43.4,0.8
191112,40.8,-1.8
191212,41.0,-1.6
191312,41.0,-1.6
191412,42.8,0.2
191512,43.1,0.5
191612,40.2,-2.4
191712,41.5,-1.1
191812,43.1,0.5
191912,41.9,-0.7
192012,41.8,-0.8
192112,43.2,0.6
192212,40.8,-1.8
192312,41.9,-0.7
192412,41.8,-0.8
192512,44.1,1.5
192612,44.2,1.6
192712,42.2,-0.4
192812,42.3,-0.3
192912,40.8,-1.8
193012,41.6,-1.0
193112,42.6,0.0
193212,40.9,-1.7
193312,42.5,-0.1
193412,46.9,4.3
193512,41.8,-0.8
193612,42.9,0.3
193712,42.0,-0.6
193812,43.4,0.8
193912,44.1,1.5
194012,44.9,2.3
194112,43.6,1.0
194212,41.6,-1.0
194312,42.6,0.0
194412,41.7,-0.9
194512,42.4,-0.2
194612,42.8,0.2
194712,43.2,0.6
194812,41.4,-1.2
194912,41.7,-0.9
195012,42.3,-0.3
195112,41.4,-1.2
195212,41.8,-0.8
195312,44.2,1.6
195412,43.2,0.6
195512,40.3,-2.3
195612,42.0,-0.6
195712,42.1,-0.5
195812,44.5,1.9
195912,42.6,0.0
196012,42.3,-0.3
196112,43.6,1.0
196212,42.4,-0.2
196312,43.5,0.9
196412,40.6,-2.0
196512,42.5,-0.1
196612,43.5,0.9
196712,43.6,1.0
196812,42.3,-0.3
196912,42.8,0.2
197012,42.5,-0.1
197112,41.7,-0.9
197212,42.1,-0.5
197312,42.8,0.2
197412,43.0,0.4
197512,41.2,-1.4
197612,42.1,-0.5
197712,43.0,0.4
197812,42.4,-0.2
197912,42.4,-0.2
198012,43.3,0.7
198112,44.3,1.7
198212,41.0,-1.6
198312,42.9,0.3
198412,40.8,-1.8
198512,39.7,-2.9
198612,44.1,1.5
198712,44.5,1.9
198812,44.2,1.6
198912,42.8,0.2
199012,43.5,0.9
199112,43.3,0.7
199212,45.0,2.4
199312,40.9,-1.7
199412,44.3,1.7
199512,43.6,1.0
199612,43.2,0.6
199712,43.2,0.6
199812,44.3,1.7
199912,43.6,1.0
200012,43.9,1.3
200112,44.2,1.6
200212,43.0,0.4
200312,45.4,2.8
200412,44.2,1.6
200512,43.6,1.0
200612,44.2,1.6
200712,44.8,2.2
200812,42.5,-0.1
200912,42.8,0.2
201012,43.3,0.7
201112,42.4,-0.2
201212,45.1,2.5
201312,43.7,1.1
201412,45.1,2.5
201512,46.4,3.8
201612,45.1,2.5
201712,44.3,1.7
201812,44.5,1.9
201912,43.0,0.4
202012,44.3,1.7
202112,45.4,2.8
