Illinois, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,49.7,-1.9
189612,52.2,0.6
189712,51.4,-0.2
189812,51.3,-0.3
189912,50.8,-0.8
190012,52.1,0.5
190112,50.8,-0.8
190212,50.6,-1.0
190312,50.2,-1.4
190412,48.8,-2.8
190512,50.3,-1.3
190612,51.4,-0.2
190712,50.5,-1.1
190812,52.3,0.7
190912,50.9,-0.7
191012,50.8,-0.8
191112,52.7,1.1
191212,49.4,-2.2
191312,52.8,1.2
191412,52.0,0.4
191512,50.9,-0.7
191612,51.1,-0.5
191712,48.3,-3.3
191812,51.3,-0.3
191912,52.1,0.5
192012,50.8,-0.8
192112,55.0,3.4
192212,53.0,1.4
192312,51.7,0.1
192412,49.2,-2.4
192512,51.8,0.2
192612,50.4,-1.2
192712,52.0,0.4
192812,51.4,-0.2
192912,49.9,-1.7
193012,52.6,1.0
193112,54.9,3.3
193212,52.0,0.4
193312,53.6,2.0
193412,53.2,1.6
193512,51.3,-0.3
193612,51.9,0.3
193712,50.6,-1.0
193812,54.1,2.5
193912,53.2,1.6
194012,50.5,-1.1
194112,53.4,1.8
194212,51.7,0.1
194312,51.0,-0.6
194412,52.3,0.7
194512,50.7,-0.9
194612,53.7,2.1
194712,51.3,-0.3
194812,51.7,0.1
194912,52.8,1.2
195012,49.8,-1.8
195112,49.9,-1.7
195212,52.6,1.0
195312,53.7,2.1
195412,53.7,2.1
195512,52.4,0.8
195612,52.7,1.1
195712,51.8,0.2
195812,50.0,-1.6
195912,51.9,0.3
196012,50.3,-1.3
196112,51.1,-0.5
196212,50.9,-0.7
196312,50.7,-0.9
196412,52.5,0.9
196512,52.0,0.4
196612,50.6,-1.0
196712,50.6,-1.0
196812,51.1,-0.5
196912,50.4,-1.2
197012,51.2,-0.4
197112,52.2,0.6
197212,50.3,-1.3
197312,53.0,1.4
197412,51.6,0.0
197512,52.0,0.4
197612,50.4,-1.2
197712,51.5,-0.1
197812,49.6,-2.0
197912,49.4,-2.2
198012,51.3,-0.3
198112,51.8,0.2
198212,50.7,-0.9
198312,52.0,0.4
198412,51.8,0.2
198512,50.6,-1.0
198612,52.8,1.2
198712,54.1,2.5
198812,52.1,0.5
198912,50.4,-1.2
199012,53.6,2.0
199112,53.7,2.1
199212,51.9,0.3
199312,50.9,-0.7
199412,52.0,0.4
199512,51.6,0.0
199612,50.1,-1.5
199712,51.0,-0.6
199812,55.2,3.6
199912,53.5,1.9
200012,52.2,0.6
200112,53.4,1.8
200212,53.2,1.6
200312,51.7,0.1
200412,52.6,1.0
200512,53.7,2.1
200612,54.0,2.4
200712,53.7,2.1
200812,50.9,-0.7
200912,51.4,-0.2
201012,52.9,1.3
201112,53.1,1.5
201212,55.8,4.2
201312,51.1,-0.5
201412,49.5,-2.1
201512,52.9,1.3
201612,54.7,3.1
201712,54.4,2.8
201812,52.5,0.9
201912,52.1,0.5
202012,53.3,1.7
202112,53.7,2.1
