Indiana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,49.9,-1.4
189612,51.9,0.6
189712,51.2,-0.1
189812,51.9,0.6
189912,51.3,0.0
190012,52.4,1.1
190112,50.4,-0.9
190212,51.0,-0.3
190312,50.2,-1.1
190412,48.7,-2.6
190512,50.3,-1.0
190612,51.4,0.1
190712,49.8,-1.5
190812,52.1,0.8
190912,50.6,-0.7
191012,50.2,-1.1
191112,52.3,1.0
191212,49.0,-2.3
191312,52.5,1.2
191412,51.2,-0.1
191512,50.7,-0.6
191612,51.1,-0.2
191712,48.1,-3.2
191812,51.1,-0.2
191912,52.3,1.0
192012,50.4,-0.9
192112,54.9,3.6
192212,52.9,1.6
192312,51.4,0.1
192412,49.0,-2.3
192512,51.6,0.3
192612,50.0,-1.3
192712,52.0,0.7
192812,50.6,-0.7
192912,49.9,-1.4
193012,52.0,0.7
193112,54.2,2.9
193212,51.9,0.6
193312,53.2,1.9
193412,52.4,1.1
193512,51.1,-0.2
193612,51.5,0.2
193712,50.4,-0.9
193812,53.5,2.2
193912,52.7,1.4
194012,50.0,-1.3
194112,52.9,1.6
194212,51.5,0.2
194312,50.8,-0.5
194412,52.2,0.9
194512,50.7,-0.6
194612,53.3,2.0
194712,50.6,-0.7
194812,51.5,0.2
194912,53.0,1.7
195012,50.0,-1.3
195112,50.3,-1.0
195212,52.5,1.2
195312,53.3,2.0
195412,53.1,1.8
195512,52.1,0.8
195612,52.1,0.8
195712,51.6,0.3
195812,49.4,-1.9
195912,52.0,0.7
196012,50.0,-1.3
196112,50.8,-0.5
196212,50.5,-0.8
196312,49.6,-1.7
196412,52.0,0.7
196512,51.6,0.3
196612,50.2,-1.1
196712,50.3,-1.0
196812,50.7,-0.6
196912,50.1,-1.2
197012,51.0,-0.3
197112,51.6,0.3
197212,50.2,-1.1
197312,52.9,1.6
197412,51.3,0.0
197512,52.0,0.7
197612,50.0,-1.3
197712,51.0,-0.3
197812,49.0,-2.3
197912,49.2,-2.1
198012,50.5,-0.8
198112,50.8,-0.5
198212,50.7,-0.6
198312,51.8,0.5
198412,51.3,0.0
198512,51.0,-0.3
198612,52.4,1.1
198712,53.2,1.9
198812,51.3,0.0
198912,50.2,-1.1
199012,53.3,2.0
199112,53.7,2.4
199212,51.3,0.0
199312,50.8,-0.5
199412,51.5,0.2
199512,51.5,0.2
199612,50.0,-1.3
199712,50.5,-0.8
199812,55.0,3.7
199912,53.2,1.9
200012,51.6,0.3
200112,53.2,1.9
200212,53.1,1.8
200312,51.1,-0.2
200412,52.2,0.9
200512,52.8,1.5
200612,53.4,2.1
200712,53.3,2.0
200812,51.0,-0.3
200912,51.3,0.0
201012,52.6,1.3
201112,53.1,1.8
201212,55.1,3.8
201312,51.2,-0.1
201412,49.4,-1.9
201512,52.3,1.0
201612,54.2,2.9
201712,54.0,2.7
201812,52.6,1.3
201912,52.4,1.1
202012,53.3,2.0
202112,53.5,2.2
