Iowa, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,46.1,-1.4
189612,47.4,-0.1
189712,46.6,-0.9
189812,46.7,-0.8
189912,46.4,-1.1
190012,48.4,0.9
190112,48.0,0.5
190212,46.6,-0.9
190312,46.2,-1.3
190412,45.3,-2.2
190512,46.2,-1.3
190612,47.5,0.0
190712,46.4,-1.1
190812,48.3,0.8
190912,46.3,-1.2
191012,47.6,0.1
191112,48.4,0.9
191212,45.2,-2.3
191312,48.6,1.1
191412,48.2,0.7
191512,46.7,-0.8
191612,46.3,-1.2
191712,44.0,-3.5
191812,48.1,0.6
191912,47.5,0.0
192012,47.1,-0.4
192112,51.0,3.5
192212,49.0,1.5
192312,47.9,0.4
192412,45.1,-2.4
192512,47.5,0.0
192612,47.1,-0.4
192712,47.6,0.1
192812,48.2,0.7
192912,45.2,-2.3
193012,49.0,1.5
193112,52.0,4.5
193212,47.0,-0.5
193312,49.5,2.0
193412,50.2,2.7
193512,47.4,-0.1
193612,47.3,-0.2
193712,46.3,-1.2
193812,50.0,2.5
193912,49.9,2.4
194012,46.6,-0.9
194112,49.8,2.3
194212,47.6,0.1
194312,46.5,-1.0
194412,48.0,0.5
194512,46.4,-1.1
194612,49.3,1.8
194712,47.5,0.0
194812,47.8,0.3
194912,48.0,0.5
195012,44.8,-2.7
195112,44.3,-3.2
195212,47.8,0.3
195312,49.1,1.6
195412,49.3,1.8
195512,47.9,0.4
195612,48.1,0.6
195712,47.5,0.0
195812,46.9,-0.6
195912,46.9,-0.6
196012,46.1,-1.4
196112,46.7,-0.8
196212,46.5,-1.0
196312,47.7,0.2
196412,48.5,1.0
196512,46.7,-0.8
196612,46.4,-1.1
196712,46.6,-0.9
196812,47.6,0.1
196912,46.0,-1.5
197012,46.9,-0.6
197112,47.4,-0.1
197212,45.5,-2.0
197312,48.7,1.2
197412,47.6,0.1
197512,47.4,-0.1
197612,47.4,-0.1
197712,48.4,0.9
197812,45.3,-2.2
197912,45.1,-2.4
198012,48.0,0.5
198112,49.0,1.5
198212,46.1,-1.4
198312,47.6,0.1
198412,47.8,0.3
198512,45.9,-1.6
198612,48.6,1.1
198712,51.2,3.7
198812,48.7,1.2
198912,46.6,-0.9
199012,49.5,2.0
199112,48.6,1.1
199212,47.8,0.3
199312,45.7,-1.8
199412,47.5,0.0
199512,47.3,-0.2
199612,45.2,-2.3
199712,47.1,-0.4
199812,50.9,3.4
199912,49.7,2.2
200012,48.6,1.1
200112,49.1,1.6
200212,49.2,1.7
200312,47.9,0.4
200412,48.5,1.0
200512,49.6,2.1
200612,50.4,2.9
200712,48.9,1.4
200812,45.9,-1.6
200912,46.7,-0.8
201012,48.2,0.7
201112,48.4,0.9
201212,52.1,4.6
201312,46.7,-0.8
201412,45.5,-2.0
201512,49.3,1.8
201612,50.7,3.2
201712,50.0,2.5
201812,47.5,0.0
201912,46.8,-0.7
202012,49.2,1.7
202112,50.0,2.5
