Kentucky, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,53.7,-1.8
189612,56.0,0.5
189712,55.9,0.4
189812,56.1,0.6
189912,55.3,-0.2
190012,56.6,1.1
190112,54.4,-1.1
190212,55.5,0.0
190312,54.8,-0.7
190412,54.2,-1.3
190512,54.8,-0.7
190612,55.8,0.3
190712,55.2,-0.3
190812,56.5,1.0
190912,55.6,0.1
191012,54.4,-1.1
191112,57.2,1.7
191212,53.8,-1.7
191312,56.9,1.4
191412,55.4,-0.1
191512,55.4,-0.1
191612,55.3,-0.2
191712,52.6,-2.9
191812,55.5,0.0
191912,56.7,1.2
192012,54.5,-1.0
192112,58.7,3.2
192212,57.2,1.7
192312,55.9,0.4
192412,53.9,-1.6
192512,56.4,0.9
192612,54.8,-0.7
192712,56.5,1.0
192812,54.7,-0.8
192912,55.0,-0.5
193012,56.4,0.9
193112,57.8,2.3
193212,56.6,1.1
193312,57.4,1.9
193412,56.5,1.0
193512,55.7,0.2
193612,56.3,0.8
193712,55.2,-0.3
193812,57.5,2.0
193912,57.1,1.6
194012,54.0,-1.5
194112,56.8,1.3
194212,55.7,0.2
194312,55.6,0.1
194412,56.3,0.8
194512,55.5,0.0
194612,57.3,1.8
194712,54.8,-0.7
194812,55.7,0.2
194912,57.0,1.5
195012,54.5,-1.0
195112,55.0,-0.5
195212,56.5,1.0
195312,57.1,1.6
195412,56.9,1.4
195512,56.0,0.5
195612,56.1,0.6
195712,56.1,0.6
195812,53.0,-2.5
195912,55.8,0.3
196012,53.6,-1.9
196112,54.5,-1.0
196212,54.7,-0.8
196312,53.7,-1.8
196412,55.6,0.1
196512,55.6,0.1
196612,53.8,-1.7
196712,54.4,-1.1
196812,54.0,-1.5
196912,53.9,-1.6
197012,55.0,-0.5
197112,55.4,-0.1
197212,54.7,-0.8
197312,56.3,0.8
197412,55.4,-0.1
197512,55.8,0.3
197612,53.3,-2.2
197712,54.8,-0.7
197812,53.4,-2.1
197912,53.4,-2.1
198012,54.6,-0.9
198112,54.3,-1.2
198212,55.3,-0.2
198312,55.0,-0.5
198412,55.3,-0.2
198512,55.0,-0.5
198612,56.6,1.1
198712,56.5,1.0
198812,54.8,-0.7
198912,54.3,-1.2
199012,57.3,1.8
199112,57.4,1.9
199212,55.1,-0.4
199312,55.0,-0.5
199412,55.4,-0.1
199512,55.4,-0.1
199612,54.4,-1.1
199712,54.5,-1.0
199812,58.2,2.7
199912,57.3,1.8
200012,55.7,0.2
200112,56.6,1.1
200212,56.8,1.3
200312,55.2,-0.3
200412,56.4,0.9
200512,56.8,1.3
200612,56.8,1.3
200712,57.7,2.2
200812,55.4,-0.1
200912,55.4,-0.1
201012,56.0,0.5
201112,56.9,1.4
201212,58.4,2.9
201312,55.0,-0.5
201412,54.3,-1.2
201512,56.6,1.1
201612,57.9,2.4
201712,57.8,2.3
201812,57.0,1.5
201912,57.5,2.0
202012,57.1,1.6
202112,57.0,1.5
