Louisiana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,64.8,-1.6
189612,67.2,0.8
189712,67.3,0.9
189812,66.0,-0.4
189912,66.1,-0.3
190012,66.8,0.4
190112,65.4,-1.0
190212,66.6,0.2
190312,64.7,-1.7
190412,66.1,-0.3
190512,65.6,-0.8
190612,66.4,0.0
190712,67.7,1.3
190812,67.5,1.1
190912,67.3,0.9
191012,66.5,0.1
191112,68.8,2.4
191212,65.4,-1.0
191312,66.1,-0.3
191412,65.8,-0.6
191512,66.1,-0.3
191612,66.8,0.4
191712,65.1,-1.3
191812,66.8,0.4
191912,66.8,0.4
192012,65.8,-0.6
192112,68.9,2.5
192212,67.8,1.4
192312,66.5,0.1
192412,65.8,-0.6
192512,67.4,1.0
192612,66.2,-0.2
192712,68.7,2.3
192812,65.8,-0.6
192912,66.1,-0.3
193012,66.1,-0.3
193112,66.6,0.2
193212,66.8,0.4
193312,68.5,2.1
193412,67.1,0.7
193512,67.0,0.6
193612,66.3,-0.1
193712,66.2,-0.2
193812,67.4,1.0
193912,67.3,0.9
194012,64.4,-2.0
194112,66.5,0.1
194212,65.6,-0.8
194312,66.3,-0.1
194412,66.9,0.5
194512,66.9,0.5
194612,67.2,0.8
194712,65.9,-0.5
194812,66.4,0.0
194912,67.3,0.9
195012,66.8,0.4
195112,67.0,0.6
195212,66.3,-0.1
195312,67.2,0.8
195412,67.5,1.1
195512,66.8,0.4
195612,67.0,0.6
195712,67.1,0.7
195812,64.9,-1.5
195912,65.8,-0.6
196012,65.1,-1.3
196112,65.1,-1.3
196212,66.5,0.1
196312,65.9,-0.5
196412,66.1,-0.3
196512,66.8,0.4
196612,65.2,-1.2
196712,65.7,-0.7
196812,64.4,-2.0
196912,65.6,-0.8
197012,65.3,-1.1
197112,66.5,0.1
197212,66.5,0.1
197312,66.2,-0.2
197412,66.5,0.1
197512,66.1,-0.3
197612,64.3,-2.1
197712,66.0,-0.4
197812,65.1,-1.3
197912,64.5,-1.9
198012,66.0,-0.4
198112,66.0,-0.4
198212,66.7,0.3
198312,64.4,-2.0
198412,66.3,-0.1
198512,66.4,0.0
198612,67.3,0.9
198712,66.0,-0.4
198812,65.6,-0.8
198912,65.5,-0.9
199012,67.8,1.4
199112,66.9,0.5
199212,65.8,-0.6
199312,65.6,-0.8
199412,66.5,0.1
199512,66.8,0.4
199612,66.2,-0.2
199712,66.0,-0.4
199812,68.6,2.2
199912,67.8,1.4
200012,67.2,0.8
200112,66.7,0.3
200212,66.6,0.2
200312,66.4,0.0
200412,67.1,0.7
200512,67.5,1.1
200612,67.8,1.4
200712,67.4,1.0
200812,66.6,0.2
200912,66.8,0.4
201012,66.5,0.1
201112,67.7,1.3
201212,68.7,2.3
201312,66.2,-0.2
201412,65.1,-1.3
201512,68.1,1.7
201612,68.7,2.3
201712,68.7,2.3
201812,67.8,1.4
201912,67.7,1.3
202012,68.2,1.8
202112,67.5,1.1
