Maine, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,39.4,-0.7
189612,38.3,-1.8
189712,39.0,-1.1
189812,40.2,0.1
189912,39.3,-0.8
190012,39.9,-0.2
190112,39.3,-0.8
190212,39.4,-0.7
190312,39.3,-0.8
190412,36.5,-3.6
190512,37.9,-2.2
190612,38.9,-1.2
190712,37.4,-2.7
190812,39.8,-0.3
190912,39.3,-0.8
191012,40.1,0.0
191112,39.5,-0.6
191212,38.5,-1.6
191312,41.0,0.9
191412,37.6,-2.5
191512,40.9,0.8
191612,39.4,-0.7
191712,36.9,-3.2
191812,38.5,-1.6
191912,39.9,-0.2
192012,39.4,-0.7
192112,41.1,1.0
192212,39.6,-0.5
192312,38.1,-2.0
192412,38.7,-1.4
192512,38.8,-1.3
192612,37.1,-3.0
192712,40.2,0.1
192812,39.3,-0.8
192912,39.3,-0.8
193012,40.6,0.5
193112,42.1,2.0
193212,40.9,0.8
193312,39.6,-0.5
193412,38.6,-1.5
193512,39.1,-1.0
193612,39.4,-0.7
193712,41.9,1.8
193812,41.0,0.9
193912,39.2,-0.9
194012,39.0,-1.1
194112,40.7,0.6
194212,40.9,0.8
194312,38.8,-1.3
194412,40.5,0.4
194512,40.5,0.4
194612,40.7,0.6
194712,40.7,0.6
194812,40.0,-0.1
194912,42.1,2.0
195012,40.3,0.2
195112,41.2,1.1
195212,41.8,1.7
195312,43.1,3.0
195412,40.5,0.4
195512,40.4,0.3
195612,39.3,-0.8
195712,41.1,1.0
195812,39.6,-0.5
195912,40.7,0.6
196012,41.2,1.1
196112,40.7,0.6
196212,39.0,-1.1
196312,39.6,-0.5
196412,40.1,0.0
196512,39.3,-0.8
196612,41.1,1.0
196712,39.4,-0.7
196812,39.8,-0.3
196912,40.9,0.8
197012,40.1,0.0
197112,40.0,-0.1
197212,38.5,-1.6
197312,42.2,2.1
197412,39.6,-0.5
197512,40.8,0.7
197612,39.5,-0.6
197712,40.5,0.4
197812,39.3,-0.8
197912,41.8,1.7
198012,39.5,-0.6
198112,41.8,1.7
198212,39.8,-0.3
198312,42.1,2.0
198412,41.4,1.3
198512,39.9,-0.2
198612,40.1,0.0
198712,41.1,1.0
198812,40.9,0.8
198912,39.3,-0.8
199012,42.4,2.3
199112,41.7,1.6
199212,39.8,-0.3
199312,40.0,-0.1
199412,40.4,0.3
199512,40.9,0.8
199612,41.0,0.9
199712,39.8,-0.3
199812,43.5,3.4
199912,43.8,3.7
200012,40.9,0.8
200112,42.7,2.6
200212,41.7,1.6
200312,40.4,0.3
200412,40.4,0.3
200512,41.8,1.7
200612,44.0,3.9
200712,40.7,0.6
200812,41.6,1.5
200912,40.9,0.8
201012,44.6,4.5
201112,42.8,2.7
201212,43.9,3.8
201312,42.0,1.9
201412,41.2,1.1
201512,41.2,1.1
201612,43.3,3.2
201712,42.4,2.3
201812,41.8,1.7
201912,40.7,0.6
202012,43.5,3.4
202112,44.2,4.1
