Maryland, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,52.1,-1.7
189612,53.7,-0.1
189712,53.2,-0.6
189812,54.4,0.6
189912,53.0,-0.8
190012,54.7,0.9
190112,52.3,-1.5
190212,53.0,-0.8
190312,52.7,-1.1
190412,50.6,-3.2
190512,52.5,-1.3
190612,54.0,0.2
190712,51.6,-2.2
190812,53.4,-0.4
190912,53.2,-0.6
191012,53.0,-0.8
191112,54.4,0.6
191212,52.5,-1.3
191312,55.1,1.3
191412,52.6,-1.2
191512,53.2,-0.6
191612,52.7,-1.1
191712,50.9,-2.9
191812,53.2,-0.6
191912,54.1,0.3
192012,52.5,-1.3
192112,56.0,2.2
192212,54.4,0.6
192312,53.8,0.0
192412,52.0,-1.8
192512,54.0,0.2
192612,52.2,-1.6
192712,53.7,-0.1
192812,53.3,-0.5
192912,53.8,0.0
193012,54.5,0.7
193112,55.5,1.7
193212,54.7,0.9
193312,54.6,0.8
193412,53.3,-0.5
193512,53.0,-0.8
193612,53.4,-0.4
193712,53.8,0.0
193812,54.8,1.0
193912,54.8,1.0
194012,51.6,-2.2
194112,54.4,0.6
194212,54.2,0.4
194312,53.9,0.1
194412,53.9,0.1
194512,54.0,0.2
194612,54.9,1.1
194712,53.4,-0.4
194812,53.6,-0.2
194912,55.9,2.1
195012,53.4,-0.4
195112,54.1,0.3
195212,54.6,0.8
195312,55.7,1.9
195412,54.6,0.8
195512,54.1,0.3
195612,53.8,0.0
195712,54.6,0.8
195812,52.0,-1.8
195912,55.2,1.4
196012,52.9,-0.9
196112,53.5,-0.3
196212,52.5,-1.3
196312,52.4,-1.4
196412,53.8,0.0
196512,53.5,-0.3
196612,52.9,-0.9
196712,52.4,-1.4
196812,53.3,-0.5
196912,53.0,-0.8
197012,53.7,-0.1
197112,54.0,0.2
197212,53.1,-0.7
197312,55.1,1.3
197412,54.2,0.4
197512,54.6,0.8
197612,53.1,-0.7
197712,53.9,0.1
197812,52.5,-1.3
197912,53.1,-0.7
198012,53.5,-0.3
198112,53.1,-0.7
198212,53.6,-0.2
198312,54.2,0.4
198412,54.2,0.4
198512,54.8,1.0
198612,54.6,0.8
198712,54.7,0.9
198812,53.7,-0.1
198912,53.5,-0.3
199012,56.6,2.8
199112,56.5,2.7
199212,53.5,-0.3
199312,54.2,0.4
199412,54.4,0.6
199512,54.4,0.6
199612,53.2,-0.6
199712,54.0,0.2
199812,57.0,3.2
199912,55.7,1.9
200012,54.1,0.3
200112,55.3,1.5
200212,56.3,2.5
200312,53.9,0.1
200412,55.2,1.4
200512,55.2,1.4
200612,56.5,2.7
200712,55.7,1.9
200812,55.3,1.5
200912,54.6,0.8
201012,55.8,2.0
201112,56.5,2.7
201212,57.5,3.7
201312,54.7,0.9
201412,53.6,-0.2
201512,55.4,1.6
201612,56.5,2.7
201712,56.7,2.9
201812,55.9,2.1
201912,56.6,2.8
202012,57.2,3.4
202112,56.8,3.0
