Massachusetts, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,45.9,-1.0
189612,46.0,-0.9
189712,46.4,-0.5
189812,47.2,0.3
189912,46.4,-0.5
190012,47.0,0.1
190112,45.6,-1.3
190212,46.0,-0.9
190312,45.9,-1.0
190412,43.3,-3.6
190512,45.1,-1.8
190612,46.5,-0.4
190712,44.6,-2.3
190812,46.9,0.0
190912,46.2,-0.7
191012,46.5,-0.4
191112,46.6,-0.3
191212,45.8,-1.1
191312,48.0,1.1
191412,45.2,-1.7
191512,46.9,0.0
191612,45.3,-1.6
191712,43.7,-3.2
191812,45.7,-1.2
191912,47.0,0.1
192012,45.6,-1.3
192112,48.2,1.3
192212,46.7,-0.2
192312,45.6,-1.3
192412,45.3,-1.6
192512,46.7,-0.2
192612,44.3,-2.6
192712,47.2,0.3
192812,46.8,-0.1
192912,46.8,-0.1
193012,47.8,0.9
193112,48.7,1.8
193212,47.6,0.7
193312,47.1,0.2
193412,46.0,-0.9
193512,46.0,-0.9
193612,46.5,-0.4
193712,47.6,0.7
193812,47.8,0.9
193912,46.5,-0.4
194012,44.7,-2.2
194112,47.4,0.5
194212,47.2,0.3
194312,46.1,-0.8
194412,47.1,0.2
194512,47.2,0.3
194612,47.8,0.9
194712,47.1,0.2
194812,46.7,-0.2
194912,49.7,2.8
195012,47.1,0.2
195112,48.0,1.1
195212,48.4,1.5
195312,49.6,2.7
195412,47.5,0.6
195512,47.5,0.6
195612,46.4,-0.5
195712,48.2,1.3
195812,45.7,-1.2
195912,47.9,1.0
196012,46.9,0.0
196112,47.0,0.1
196212,45.6,-1.3
196312,46.3,-0.6
196412,46.8,-0.1
196512,46.3,-0.6
196612,46.9,0.0
196712,46.0,-0.9
196812,46.5,-0.4
196912,47.1,0.2
197012,46.7,-0.2
197112,47.0,0.1
197212,45.9,-1.0
197312,49.0,2.1
197412,47.1,0.2
197512,48.0,1.1
197612,46.6,-0.3
197712,47.1,0.2
197812,45.7,-1.2
197912,47.9,1.0
198012,46.6,-0.3
198112,47.2,0.3
198212,46.8,-0.1
198312,48.5,1.6
198412,48.0,1.1
198512,47.2,0.3
198612,47.2,0.3
198712,47.4,0.5
198812,47.2,0.3
198912,46.6,-0.3
199012,49.7,2.8
199112,49.6,2.7
199212,46.4,-0.5
199312,47.3,0.4
199412,47.7,0.8
199512,47.8,0.9
199612,47.3,0.4
199712,47.4,0.5
199812,50.4,3.5
199912,49.8,2.9
200012,47.5,0.6
200112,49.1,2.2
200212,49.3,2.4
200312,47.1,0.2
200412,47.6,0.7
200512,48.4,1.5
200612,50.1,3.2
200712,48.3,1.4
200812,48.6,1.7
200912,47.7,0.8
201012,50.4,3.5
201112,49.7,2.8
201212,51.3,4.4
201312,48.8,1.9
201412,47.7,0.8
201512,48.5,1.6
201612,50.3,3.4
201712,49.6,2.7
201812,49.5,2.6
201912,48.5,1.6
202012,50.9,4.0
202112,50.8,3.9
