Michigan, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,41.7,-1.9
189612,43.1,-0.5
189712,42.5,-1.1
189812,43.5,-0.1
189912,42.3,-1.3
190012,43.7,0.1
190112,42.6,-1.0
190212,43.3,-0.3
190312,42.4,-1.2
190412,39.8,-3.8
190512,42.0,-1.6
190612,43.8,0.2
190712,41.0,-2.6
190812,44.1,0.5
190912,42.9,-0.7
191012,43.3,-0.3
191112,44.1,0.5
191212,40.9,-2.7
191312,44.1,0.5
191412,42.8,-0.8
191512,42.8,-0.8
191612,42.3,-1.3
191712,39.0,-4.6
191812,42.6,-1.0
191912,44.1,0.5
192012,42.4,-1.2
192112,46.7,3.1
192212,44.2,0.6
192312,42.5,-1.1
192412,40.8,-2.8
192512,42.6,-1.0
192612,40.8,-2.8
192712,43.3,-0.3
192812,42.8,-0.8
192912,41.6,-2.0
193012,44.2,0.6
193112,47.0,3.4
193212,44.1,0.5
193312,44.2,0.6
193412,43.3,-0.3
193512,42.7,-0.9
193612,42.4,-1.2
193712,43.3,-0.3
193812,45.2,1.6
193912,44.3,0.7
194012,42.4,-1.2
194112,45.4,1.8
194212,44.0,0.4
194312,42.4,-1.2
194412,44.6,1.0
194512,43.0,-0.6
194612,45.1,1.5
194712,43.5,-0.1
194812,43.8,0.2
194912,45.4,1.8
195012,41.9,-1.7
195112,42.7,-0.9
195212,44.8,1.2
195312,45.9,2.3
195412,44.2,0.6
195512,45.2,1.6
195612,43.4,-0.2
195712,43.6,0.0
195812,42.9,-0.7
195912,43.8,0.2
196012,43.2,-0.4
196112,44.1,0.5
196212,42.9,-0.7
196312,42.9,-0.7
196412,44.7,1.1
196512,43.0,-0.6
196612,43.3,-0.3
196712,42.6,-1.0
196812,44.0,0.4
196912,43.4,-0.2
197012,43.6,0.0
197112,44.0,0.4
197212,41.7,-1.9
197312,45.6,2.0
197412,43.3,-0.3
197512,44.6,1.0
197612,42.6,-1.0
197712,44.0,0.4
197812,42.4,-1.2
197912,42.4,-1.2
198012,42.8,-0.8
198112,44.0,0.4
198212,43.2,-0.4
198312,44.7,1.1
198412,44.3,0.7
198512,43.5,-0.1
198612,44.5,0.9
198712,46.9,3.3
198812,44.5,0.9
198912,42.6,-1.0
199012,45.7,2.1
199112,45.8,2.2
199212,43.3,-0.3
199312,43.2,-0.4
199412,43.9,0.3
199512,44.2,0.6
199612,42.5,-1.1
199712,43.5,-0.1
199812,48.2,4.6
199912,46.4,2.8
200012,45.0,1.4
200112,46.8,3.2
200212,45.7,2.1
200312,44.0,0.4
200412,44.6,1.0
200512,46.0,2.4
200612,47.0,3.4
200712,46.1,2.5
200812,44.0,0.4
200912,43.8,0.2
201012,47.1,3.5
201112,45.6,2.0
201212,48.4,4.8
201312,44.1,0.5
201412,41.9,-1.7
201512,45.1,1.5
201612,47.4,3.8
201712,46.3,2.7
201812,45.1,1.5
201912,43.9,0.3
202012,46.5,2.9
202112,47.4,3.8
