Missouri, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,52.9,-1.6
189612,55.4,0.9
189712,54.7,0.2
189812,54.1,-0.4
189912,53.6,-0.9
190012,55.2,0.7
190112,55.0,0.5
190212,53.6,-0.9
190312,53.0,-1.5
190412,52.7,-1.8
190512,52.8,-1.7
190612,53.7,-0.8
190712,54.2,-0.3
190812,55.3,0.8
190912,54.6,0.1
191012,54.1,-0.4
191112,56.1,1.6
191212,52.4,-2.1
191312,55.5,1.0
191412,55.0,0.5
191512,53.9,-0.6
191612,54.3,-0.2
191712,51.8,-2.7
191812,54.7,0.2
191912,54.7,0.2
192012,53.7,-0.8
192112,57.6,3.1
192212,55.7,1.2
192312,54.7,0.2
192412,52.4,-2.1
192512,55.0,0.5
192612,53.8,-0.7
192712,55.0,0.5
192812,54.4,-0.1
192912,52.8,-1.7
193012,55.2,0.7
193112,57.2,2.7
193212,54.9,0.4
193312,56.5,2.0
193412,56.6,2.1
193512,54.2,-0.3
193612,55.4,0.9
193712,53.4,-1.1
193812,57.3,2.8
193912,56.4,1.9
194012,52.9,-1.6
194112,56.2,1.7
194212,54.4,-0.1
194312,54.0,-0.5
194412,54.7,0.2
194512,53.6,-0.9
194612,56.7,2.2
194712,54.4,-0.1
194812,54.1,-0.4
194912,54.6,0.1
195012,52.9,-1.6
195112,52.7,-1.8
195212,55.2,0.7
195312,56.6,2.1
195412,57.0,2.5
195512,55.0,0.5
195612,55.7,1.2
195712,54.5,0.0
195812,53.0,-1.5
195912,54.3,-0.2
196012,53.1,-1.4
196112,53.3,-1.2
196212,54.0,-0.5
196312,54.5,0.0
196412,55.1,0.6
196512,55.0,0.5
196612,53.4,-1.1
196712,53.7,-0.8
196812,53.4,-1.1
196912,53.4,-1.1
197012,54.1,-0.4
197112,54.8,0.3
197212,53.7,-0.8
197312,55.2,0.7
197412,54.4,-0.1
197512,54.6,0.1
197612,53.6,-0.9
197712,54.8,0.3
197812,52.6,-1.9
197912,52.0,-2.5
198012,55.0,0.5
198112,54.9,0.4
198212,53.5,-1.0
198312,54.0,-0.5
198412,54.4,-0.1
198512,53.0,-1.5
198612,55.9,1.4
198712,56.3,1.8
198812,54.6,0.1
198912,53.0,-1.5
199012,56.2,1.7
199112,56.1,1.6
199212,54.5,0.0
199312,53.0,-1.5
199412,54.7,0.2
199512,54.2,-0.3
199612,52.9,-1.6
199712,53.7,-0.8
199812,57.2,2.7
199912,56.4,1.9
200012,55.1,0.6
200112,55.8,1.3
200212,55.3,0.8
200312,54.5,0.0
200412,55.0,0.5
200512,56.2,1.7
200612,56.8,2.3
200712,56.2,1.7
200812,53.4,-1.1
200912,54.0,-0.5
201012,55.2,0.7
201112,55.6,1.1
201212,58.5,4.0
201312,53.6,-0.9
201412,52.9,-1.6
201512,55.8,1.3
201612,57.4,2.9
201712,57.1,2.6
201812,55.2,0.7
201912,55.0,0.5
202012,55.8,1.3
202112,56.3,1.8
