Nebraska, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,46.7,-1.7
189612,47.9,-0.5
189712,47.6,-0.8
189812,47.1,-1.3
189912,46.4,-2.0
190012,49.8,1.4
190112,48.7,0.3
190212,47.3,-1.1
190312,46.8,-1.6
190412,47.8,-0.6
190512,46.7,-1.7
190612,47.7,-0.7
190712,47.5,-0.9
190812,48.8,0.4
190912,46.9,-1.5
191012,49.3,0.9
191112,48.6,0.2
191212,46.0,-2.4
191312,48.2,-0.2
191412,48.8,0.4
191512,46.3,-2.1
191612,46.7,-1.7
191712,45.9,-2.5
191812,48.5,0.1
191912,47.2,-1.2
192012,47.6,-0.8
192112,50.9,2.5
192212,48.6,0.2
192312,48.1,-0.3
192412,45.8,-2.6
192512,48.7,0.3
192612,48.9,0.5
192712,47.6,-0.8
192812,48.5,0.1
192912,46.3,-2.1
193012,48.8,0.4
193112,51.3,2.9
193212,47.7,-0.7
193312,50.6,2.2
193412,52.0,3.6
193512,48.7,0.3
193612,48.4,0.0
193712,47.6,-0.8
193812,50.8,2.4
193912,50.9,2.5
194012,48.6,0.2
194112,49.7,1.3
194212,48.2,-0.2
194312,49.0,0.6
194412,47.8,-0.6
194512,47.7,-0.7
194612,50.4,2.0
194712,48.3,-0.1
194812,48.2,-0.2
194912,47.6,-0.8
195012,46.3,-2.1
195112,45.5,-2.9
195212,48.6,0.2
195312,50.2,1.8
195412,50.8,2.4
195512,48.2,-0.2
195612,49.3,0.9
195712,48.0,-0.4
195812,47.9,-0.5
195912,48.0,-0.4
196012,47.0,-1.4
196112,47.7,-0.7
196212,48.2,-0.2
196312,50.1,1.7
196412,48.6,0.2
196512,47.8,-0.6
196612,47.4,-1.0
196712,48.0,-0.4
196812,48.0,-0.4
196912,47.4,-1.0
197012,48.2,-0.2
197112,48.0,-0.4
197212,47.2,-1.2
197312,48.7,0.3
197412,49.2,0.8
197512,47.7,-0.7
197612,49.0,0.6
197712,49.8,1.4
197812,46.1,-2.3
197912,46.5,-1.9
198012,49.5,1.1
198112,50.5,2.1
198212,47.0,-1.4
198312,47.9,-0.5
198412,48.2,-0.2
198512,46.8,-1.6
198612,50.2,1.8
198712,50.8,2.4
198812,49.6,1.2
198912,48.0,-0.4
199012,50.0,1.6
199112,50.1,1.7
199212,48.9,0.5
199312,46.0,-2.4
199412,49.2,0.8
199512,48.6,0.2
199612,46.6,-1.8
199712,48.6,0.2
199812,50.6,2.2
199912,51.0,2.6
200012,49.9,1.5
200112,50.3,1.9
200212,50.0,1.6
200312,49.8,1.4
200412,49.8,1.4
200512,50.7,2.3
200612,51.1,2.7
200712,50.0,1.6
200812,47.7,-0.7
200912,47.6,-0.8
201012,49.3,0.9
201112,48.8,0.4
201212,52.7,4.3
201312,48.5,0.1
201412,48.0,-0.4
201512,50.8,2.4
201612,51.6,3.2
201712,50.7,2.3
201812,48.3,-0.1
201912,47.5,-0.9
202012,50.6,2.2
202112,51.0,2.6
