New Hampshire, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,41.5,-0.8
189612,41.6,-0.7
189712,41.9,-0.4
189812,42.8,0.5
189912,41.6,-0.7
190012,42.0,-0.3
190112,41.6,-0.7
190212,41.7,-0.6
190312,41.5,-0.8
190412,38.8,-3.5
190512,40.4,-1.9
190612,41.6,-0.7
190712,39.8,-2.5
190812,42.3,0.0
190912,41.6,-0.7
191012,42.1,-0.2
191112,42.0,-0.3
191212,40.8,-1.5
191312,43.6,1.3
191412,40.4,-1.9
191512,42.8,0.5
191612,41.1,-1.2
191712,38.9,-3.4
191812,41.0,-1.3
191912,42.7,0.4
192012,41.4,-0.9
192112,43.7,1.4
192212,42.0,-0.3
192312,40.8,-1.5
192412,40.7,-1.6
192512,41.6,-0.7
192612,39.3,-3.0
192712,42.6,0.3
192812,42.3,0.0
192912,42.0,-0.3
193012,43.0,0.7
193112,44.1,1.8
193212,43.2,0.9
193312,42.3,0.0
193412,41.3,-1.0
193512,41.5,-0.8
193612,41.9,-0.4
193712,43.4,1.1
193812,43.5,1.2
193912,41.6,-0.7
194012,40.6,-1.7
194112,42.8,0.5
194212,43.0,0.7
194312,40.9,-1.4
194412,42.1,-0.2
194512,42.6,0.3
194612,43.0,0.7
194712,42.7,0.4
194812,42.2,-0.1
194912,45.1,2.8
195012,42.7,0.4
195112,43.1,0.8
195212,43.7,1.4
195312,45.2,2.9
195412,42.7,0.4
195512,43.0,0.7
195612,41.5,-0.8
195712,43.4,1.1
195812,41.3,-1.0
195912,43.2,0.9
196012,42.6,0.3
196112,42.8,0.5
196212,41.1,-1.2
196312,41.8,-0.5
196412,42.2,-0.1
196512,41.6,-0.7
196612,42.3,0.0
196712,41.6,-0.7
196812,41.8,-0.5
196912,42.7,0.4
197012,42.3,0.0
197112,42.2,-0.1
197212,41.2,-1.1
197312,44.4,2.1
197412,42.3,0.0
197512,43.3,1.0
197612,41.7,-0.6
197712,42.7,0.4
197812,41.2,-1.1
197912,43.5,1.2
198012,41.7,-0.6
198112,43.2,0.9
198212,42.0,-0.3
198312,44.0,1.7
198412,43.6,1.3
198512,42.4,0.1
198612,42.7,0.4
198712,43.1,0.8
198812,42.7,0.4
198912,41.7,-0.6
199012,45.0,2.7
199112,44.5,2.2
199212,41.8,-0.5
199312,42.5,0.2
199412,42.7,0.4
199512,43.3,1.0
199612,43.0,0.7
199712,42.3,0.0
199812,46.0,3.7
199912,45.4,3.1
200012,43.0,0.7
200112,44.6,2.3
200212,44.5,2.2
200312,42.5,0.2
200412,43.0,0.7
200512,44.0,1.7
200612,45.8,3.5
200712,43.1,0.8
200812,43.8,1.5
200912,43.0,0.7
201012,46.0,3.7
201112,44.9,2.6
201212,46.6,4.3
201312,44.2,1.9
201412,43.0,0.7
201512,43.6,1.3
201612,45.7,3.4
201712,44.9,2.6
201812,44.4,2.1
201912,43.2,0.9
202012,45.8,3.5
202112,46.1,3.8
