New Mexico, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,51.2,-1.6
189612,53.8,1.0
189712,52.5,-0.3
189812,52.1,-0.7
189912,52.5,-0.3
190012,53.7,0.9
190112,53.4,0.6
190212,53.1,0.3
190312,51.8,-1.0
190412,53.0,0.2
190512,51.7,-1.1
190612,52.2,-0.6
190712,53.2,0.4
190812,52.1,-0.7
190912,52.4,-0.4
191012,54.7,1.9
191112,53.0,0.2
191212,50.8,-2.0
191312,51.0,-1.8
191412,52.8,0.0
191512,51.4,-1.4
191612,53.2,0.4
191712,52.5,-0.3
191812,52.2,-0.6
191912,51.6,-1.2
192012,52.0,-0.8
192112,53.9,1.1
192212,53.2,0.4
192312,52.1,-0.7
192412,52.2,-0.6
192512,53.2,0.4
192612,52.5,-0.3
192712,53.9,1.1
192812,52.7,-0.1
192912,51.7,-1.1
193012,52.2,-0.6
193112,52.5,-0.3
193212,51.6,-1.2
193312,52.9,0.1
193412,55.3,2.5
193512,53.0,0.2
193612,53.2,0.4
193712,52.8,0.0
193812,53.0,0.2
193912,52.8,0.0
194012,53.1,0.3
194112,52.0,-0.8
194212,52.6,-0.2
194312,53.6,0.8
194412,51.8,-1.0
194512,52.9,0.1
194612,53.6,0.8
194712,52.6,-0.2
194812,52.5,-0.3
194912,52.1,-0.7
195012,54.2,1.4
195112,53.0,0.2
195212,52.7,-0.1
195312,53.3,0.5
195412,54.9,2.1
195512,52.5,-0.3
195612,53.4,0.6
195712,53.1,0.3
195812,53.2,0.4
195912,53.0,0.2
196012,52.2,-0.6
196112,52.2,-0.6
196212,53.3,0.5
196312,53.6,0.8
196412,51.7,-1.1
196512,52.6,-0.2
196612,52.6,-0.2
196712,53.0,0.2
196812,52.0,-0.8
196912,53.2,0.4
197012,52.2,-0.6
197112,52.2,-0.6
197212,53.0,0.2
197312,51.5,-1.3
197412,52.8,0.0
197512,51.4,-1.4
197612,51.9,-0.9
197712,53.7,0.9
197812,53.2,0.4
197912,51.8,-1.0
198012,53.6,0.8
198112,54.4,1.6
198212,52.6,-0.2
198312,52.5,-0.3
198412,52.4,-0.4
198512,52.8,0.0
198612,53.6,0.8
198712,51.9,-0.9
198812,52.6,-0.2
198912,54.0,1.2
199012,53.3,0.5
199112,52.5,-0.3
199212,52.6,-0.2
199312,53.1,0.3
199412,54.4,1.6
199512,54.3,1.5
199612,54.7,1.9
199712,52.9,0.1
199812,54.2,1.4
199912,54.3,1.5
200012,55.2,2.4
200112,54.6,1.8
200212,54.4,1.6
200312,55.5,2.7
200412,53.5,0.7
200512,54.7,1.9
200612,54.7,1.9
200712,54.2,1.4
200812,53.6,0.8
200912,54.3,1.5
201012,54.2,1.4
201112,54.6,1.8
201212,56.0,3.2
201312,53.7,0.9
201412,54.8,2.0
201512,54.9,2.1
201612,55.5,2.7
201712,56.4,3.6
201812,55.5,2.7
201912,54.4,1.6
202012,56.0,3.2
202112,55.4,2.6
