North Carolina, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,56.9,-1.6
189612,59.2,0.7
189712,58.9,0.4
189812,59.0,0.5
189912,58.4,-0.1
190012,59.4,0.9
190112,56.9,-1.6
190212,58.2,-0.3
190312,57.9,-0.6
190412,56.5,-2.0
190512,57.7,-0.8
190612,58.7,0.2
190712,57.8,-0.7
190812,58.6,0.1
190912,58.2,-0.3
191012,57.7,-0.8
191112,59.8,1.3
191212,57.8,-0.7
191312,59.4,0.9
191412,57.8,-0.7
191512,58.1,-0.4
191612,58.5,0.0
191712,56.4,-2.1
191812,58.4,-0.1
191912,59.3,0.8
192012,57.5,-1.0
192112,60.7,2.2
192212,59.6,1.1
192312,58.9,0.4
192412,57.3,-1.2
192512,59.6,1.1
192612,58.4,-0.1
192712,59.4,0.9
192812,58.1,-0.4
192912,58.6,0.1
193012,58.6,0.1
193112,59.6,1.1
193212,60.0,1.5
193312,60.5,2.0
193412,58.8,0.3
193512,58.6,0.1
193612,58.6,0.1
193712,58.5,0.0
193812,59.8,1.3
193912,59.9,1.4
194012,57.1,-1.4
194112,59.1,0.6
194212,59.0,0.5
194312,58.7,0.2
194412,58.5,0.0
194512,59.3,0.8
194612,59.7,1.2
194712,57.9,-0.6
194812,59.0,0.5
194912,60.2,1.7
195012,58.8,0.3
195112,58.8,0.3
195212,59.2,0.7
195312,60.0,1.5
195412,59.1,0.6
195512,58.6,0.1
195612,59.1,0.6
195712,59.3,0.8
195812,56.8,-1.7
195912,59.1,0.6
196012,57.2,-1.3
196112,57.9,-0.6
196212,57.6,-0.9
196312,56.7,-1.8
196412,58.1,-0.4
196512,58.2,-0.3
196612,56.8,-1.7
196712,57.1,-1.4
196812,57.2,-1.3
196912,57.0,-1.5
197012,58.4,-0.1
197112,58.7,0.2
197212,58.0,-0.5
197312,58.9,0.4
197412,59.0,0.5
197512,59.3,0.8
197612,57.3,-1.2
197712,58.3,-0.2
197812,57.4,-1.1
197912,57.6,-0.9
198012,57.9,-0.6
198112,57.2,-1.3
198212,58.6,0.1
198312,57.8,-0.7
198412,58.6,0.1
198512,59.2,0.7
198612,59.8,1.3
198712,58.5,0.0
198812,57.3,-1.2
198912,58.2,-0.3
199012,61.1,2.6
199112,60.2,1.7
199212,58.2,-0.3
199312,58.7,0.2
199412,59.0,0.5
199512,58.4,-0.1
199612,57.8,-0.7
199712,58.1,-0.4
199812,60.8,2.3
199912,59.7,1.2
200012,58.4,-0.1
200112,59.4,0.9
200212,60.0,1.5
200312,58.7,0.2
200412,59.3,0.8
200512,59.4,0.9
200612,59.8,1.3
200712,60.5,2.0
200812,59.3,0.8
200912,58.9,0.4
201012,59.0,0.5
201112,60.4,1.9
201212,60.7,2.2
201312,58.6,0.1
201412,58.4,-0.1
201512,60.5,2.0
201612,60.8,2.3
201712,61.0,2.5
201812,60.4,1.9
201912,61.3,2.8
202012,60.8,2.3
202112,60.2,1.7
