North Dakota, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,37.2,-2.5
189612,36.4,-3.3
189712,37.4,-2.3
189812,38.5,-1.2
189912,36.2,-3.5
190012,40.6,0.9
190112,40.0,0.3
190212,38.2,-1.5
190312,37.5,-2.2
190412,36.9,-2.8
190512,38.9,-0.8
190612,39.4,-0.3
190712,36.6,-3.1
190812,40.3,0.6
190912,37.9,-1.8
191012,40.5,0.8
191112,37.7,-2.0
191212,37.7,-2.0
191312,39.4,-0.3
191412,39.8,0.1
191512,39.2,-0.5
191612,35.7,-4.0
191712,35.9,-3.8
191812,39.4,-0.3
191912,38.3,-1.4
192012,39.2,-0.5
192112,41.6,1.9
192212,39.3,-0.4
192312,40.1,0.4
192412,37.7,-2.0
192512,40.1,0.4
192612,40.2,0.5
192712,37.5,-2.2
192812,40.7,1.0
192912,37.3,-2.4
193012,40.8,1.1
193112,44.2,4.5
193212,39.4,-0.3
193312,40.6,0.9
193412,42.8,3.1
193512,38.9,-0.8
193612,38.1,-1.6
193712,38.4,-1.3
193812,41.3,1.6
193912,41.4,1.7
194012,40.4,0.7
194112,41.6,1.9
194212,40.3,0.6
194312,39.3,-0.4
194412,40.4,0.7
194512,38.4,-1.3
194612,40.4,0.7
194712,39.6,-0.1
194812,39.4,-0.3
194912,39.2,-0.5
195012,34.9,-4.8
195112,35.6,-4.1
195212,40.6,0.9
195312,42.1,2.4
195412,40.8,1.1
195512,38.8,-0.9
195612,39.1,-0.6
195712,40.1,0.4
195812,40.6,0.9
195912,39.5,-0.2
196012,39.6,-0.1
196112,41.1,1.4
196212,39.8,0.1
196312,41.9,2.2
196412,39.8,0.1
196512,37.6,-2.1
196612,38.1,-1.6
196712,39.3,-0.4
196812,39.5,-0.2
196912,38.7,-1.0
197012,38.4,-1.3
197112,39.1,-0.6
197212,37.6,-2.1
197312,41.8,2.1
197412,39.9,0.2
197512,39.4,-0.3
197612,41.3,1.6
197712,41.1,1.4
197812,38.1,-1.6
197912,37.2,-2.5
198012,41.2,1.5
198112,43.2,3.5
198212,37.8,-1.9
198312,41.1,1.4
198412,41.0,1.3
198512,38.2,-1.5
198612,41.7,2.0
198712,45.0,5.3
198812,42.4,2.7
198912,39.4,-0.3
199012,42.6,2.9
199112,42.3,2.6
199212,41.2,1.5
199312,38.3,-1.4
199412,40.0,0.3
199512,39.6,-0.1
199612,36.5,-3.2
199712,40.7,1.0
199812,43.2,3.5
199912,43.0,3.3
200012,41.1,1.4
200112,42.2,2.5
200212,41.0,1.3
200312,40.8,1.1
200412,40.5,0.8
200512,42.4,2.7
200612,43.8,4.1
200712,41.8,2.1
200812,39.3,-0.4
200912,38.5,-1.2
201012,40.9,1.2
201112,40.7,1.0
201212,44.1,4.4
201312,38.8,-0.9
201412,39.0,-0.7
201512,43.4,3.7
201612,44.4,4.7
201712,42.0,2.3
201812,39.8,0.1
201912,38.0,-1.7
202012,42.3,2.6
202112,43.8,4.1
