Ohio, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,49.0,-1.4
189612,50.9,0.5
189712,50.6,0.2
189812,51.4,1.0
189912,50.8,0.4
190012,51.4,1.0
190112,49.5,-0.9
190212,50.1,-0.3
190312,49.8,-0.6
190412,47.9,-2.5
190512,49.3,-1.1
190612,50.9,0.5
190712,48.9,-1.5
190812,51.3,0.9
190912,50.2,-0.2
191012,49.6,-0.8
191112,51.8,1.4
191212,48.8,-1.6
191312,51.5,1.1
191412,49.9,-0.5
191512,49.8,-0.6
191612,49.9,-0.5
191712,46.8,-3.6
191812,50.4,0.0
191912,51.3,0.9
192012,49.2,-1.2
192112,53.5,3.1
192212,51.6,1.2
192312,50.2,-0.2
192412,48.1,-2.3
192512,50.1,-0.3
192612,48.8,-1.6
192712,50.8,0.4
192812,49.9,-0.5
192912,49.3,-1.1
193012,51.2,0.8
193112,52.9,2.5
193212,51.3,0.9
193312,52.0,1.6
193412,51.0,0.6
193512,50.0,-0.4
193612,50.3,-0.1
193712,49.9,-0.5
193812,52.3,1.9
193912,51.8,1.4
194012,48.7,-1.7
194112,51.5,1.1
194212,50.6,0.2
194312,49.7,-0.7
194412,51.0,0.6
194512,49.9,-0.5
194612,52.0,1.6
194712,49.9,-0.5
194812,50.6,0.2
194912,52.6,2.2
195012,49.4,-1.0
195112,50.0,-0.4
195212,51.6,1.2
195312,52.3,1.9
195412,51.6,1.2
195512,51.3,0.9
195612,50.6,0.2
195712,50.8,0.4
195812,48.4,-2.0
195912,51.3,0.9
196012,49.2,-1.2
196112,50.0,-0.4
196212,49.4,-1.0
196312,48.5,-1.9
196412,50.9,0.5
196512,50.4,0.0
196612,49.1,-1.3
196712,49.5,-0.9
196812,49.7,-0.7
196912,49.4,-1.0
197012,50.6,0.2
197112,50.6,0.2
197212,49.4,-1.0
197312,52.2,1.8
197412,50.4,0.0
197512,51.1,0.7
197612,48.9,-1.5
197712,50.0,-0.4
197812,48.3,-2.1
197912,48.9,-1.5
198012,49.3,-1.1
198112,49.6,-0.8
198212,50.3,-0.1
198312,51.0,0.6
198412,50.4,0.0
198512,50.4,0.0
198612,51.6,1.2
198712,52.3,1.9
198812,50.4,0.0
198912,49.4,-1.0
199012,52.7,2.3
199112,53.1,2.7
199212,50.3,-0.1
199312,50.4,0.0
199412,50.5,0.1
199512,50.3,-0.1
199612,49.5,-0.9
199712,49.9,-0.5
199812,54.1,3.7
199912,52.3,1.9
200012,50.8,0.4
200112,52.4,2.0
200212,52.5,2.1
200312,50.2,-0.2
200412,51.3,0.9
200512,51.8,1.4
200612,52.7,2.3
200712,52.3,1.9
200812,50.6,0.2
200912,50.5,0.1
201012,51.7,1.3
201112,52.3,1.9
201212,54.0,3.6
201312,50.9,0.5
201412,49.2,-1.2
201512,51.6,1.2
201612,53.6,3.2
201712,53.2,2.8
201812,52.2,1.8
201912,52.4,2.0
202012,53.0,2.6
202112,53.2,2.8
