Oklahoma, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,57.8,-1.9
189612,60.6,0.9
189712,59.5,-0.2
189812,58.7,-1.0
189912,58.8,-0.9
190012,60.3,0.6
190112,60.1,0.4
190212,59.1,-0.6
190312,57.8,-1.9
190412,59.7,0.0
190512,57.8,-1.9
190612,58.4,-1.3
190712,60.0,0.3
190812,60.0,0.3
190912,60.1,0.4
191012,60.7,1.0
191112,61.4,1.7
191212,57.8,-1.9
191312,59.3,-0.4
191412,60.0,0.3
191512,58.5,-1.2
191612,59.6,-0.1
191712,58.0,-1.7
191812,59.7,0.0
191912,58.7,-1.0
192012,58.9,-0.8
192112,62.0,2.3
192212,60.6,0.9
192312,60.0,0.3
192412,58.3,-1.4
192512,60.9,1.2
192612,59.3,-0.4
192712,60.6,0.9
192812,59.9,0.2
192912,58.5,-1.2
193012,60.0,0.3
193112,61.2,1.5
193212,59.7,0.0
193312,62.0,2.3
193412,62.1,2.4
193512,59.9,0.2
193612,60.8,1.1
193712,59.2,-0.5
193812,61.8,2.1
193912,61.9,2.2
194012,58.5,-1.2
194112,60.1,0.4
194212,59.5,-0.2
194312,60.2,0.5
194412,60.0,0.3
194512,59.2,-0.5
194612,61.7,2.0
194712,59.5,-0.2
194812,58.9,-0.8
194912,58.9,-0.8
195012,58.9,-0.8
195112,59.2,-0.5
195212,60.6,0.9
195312,61.2,1.5
195412,62.6,2.9
195512,60.2,0.5
195612,61.6,1.9
195712,59.0,-0.7
195812,58.6,-1.1
195912,58.9,-0.8
196012,58.4,-1.3
196112,58.2,-1.5
196212,59.8,0.1
196312,60.8,1.1
196412,60.1,0.4
196512,60.4,0.7
196612,58.6,-1.1
196712,59.5,-0.2
196812,58.2,-1.5
196912,59.1,-0.6
197012,59.2,-0.5
197112,59.5,-0.2
197212,59.2,-0.5
197312,59.0,-0.7
197412,59.6,-0.1
197512,58.7,-1.0
197612,58.6,-1.1
197712,60.7,1.0
197812,58.5,-1.2
197912,57.4,-2.3
198012,60.5,0.8
198112,60.4,0.7
198212,59.0,-0.7
198312,58.0,-1.7
198412,59.4,-0.3
198512,58.7,-1.0
198612,60.8,1.1
198712,59.6,-0.1
198812,59.1,-0.6
198912,58.1,-1.6
199012,60.7,1.0
199112,60.3,0.6
199212,59.3,-0.4
199312,58.1,-1.6
199412,59.7,0.0
199512,59.4,-0.3
199612,59.0,-0.7
199712,58.7,-1.0
199812,62.1,2.4
199912,61.3,1.6
200012,60.3,0.6
200112,60.8,1.1
200212,59.4,-0.3
200312,59.9,0.2
200412,60.1,0.4
200512,60.8,1.1
200612,62.2,2.5
200712,60.0,0.3
200812,59.6,-0.1
200912,59.4,-0.3
201012,60.3,0.6
201112,61.6,1.9
201212,63.2,3.5
201312,58.8,-0.9
201412,58.9,-0.8
201512,60.8,1.1
201612,62.3,2.6
201712,61.8,2.1
201812,60.2,0.5
201912,59.9,0.2
202012,60.7,1.0
202112,60.8,1.1
