Oregon, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,44.3,-2.2
189612,45.6,-0.9
189712,45.7,-0.8
189812,45.0,-1.5
189912,44.3,-2.2
190012,46.7,0.2
190112,45.7,-0.8
190212,45.0,-1.5
190312,44.9,-1.6
190412,46.6,0.1
190512,45.7,-0.8
190612,46.7,0.2
190712,46.2,-0.3
190812,45.8,-0.7
190912,45.2,-1.3
191012,46.1,-0.4
191112,44.3,-2.2
191212,44.7,-1.8
191312,44.7,-1.8
191412,46.4,-0.1
191512,46.6,0.1
191612,43.7,-2.8
191712,45.5,-1.0
191812,46.6,0.1
191912,45.0,-1.5
192012,45.2,-1.3
192112,46.0,-0.5
192212,44.3,-2.2
192312,45.7,-0.8
192412,45.6,-0.9
192512,47.4,0.9
192612,48.1,1.6
192712,45.8,-0.7
192812,46.5,0.0
192912,45.1,-1.4
193012,45.4,-1.1
193112,46.8,0.3
193212,45.6,-0.9
193312,46.0,-0.5
193412,49.9,3.4
193512,45.7,-0.8
193612,47.0,0.5
193712,46.0,-0.5
193812,47.0,0.5
193912,48.0,1.5
194012,48.4,1.9
194112,47.6,1.1
194212,46.2,-0.3
194312,46.3,-0.2
194412,45.9,-0.6
194512,46.5,0.0
194612,46.2,-0.3
194712,47.3,0.8
194812,44.5,-2.0
194912,45.5,-1.0
195012,46.2,-0.3
195112,46.1,-0.4
195212,46.1,-0.4
195312,47.3,0.8
195412,46.2,-0.3
195512,44.6,-1.9
195612,46.0,-0.5
195712,46.0,-0.5
195812,49.0,2.5
195912,46.8,0.3
196012,46.5,0.0
196112,47.6,1.1
196212,46.4,-0.1
196312,47.0,0.5
196412,45.3,-1.2
196512,46.9,0.4
196612,47.4,0.9
196712,47.8,1.3
196812,47.2,0.7
196912,46.4,-0.1
197012,46.7,0.2
197112,45.8,-0.7
197212,46.3,-0.2
197312,47.3,0.8
197412,47.0,0.5
197512,45.8,-0.7
197612,46.4,-0.1
197712,47.0,0.5
197812,46.5,0.0
197912,46.9,0.4
198012,47.0,0.5
198112,47.8,1.3
198212,45.4,-1.1
198312,46.9,0.4
198412,45.6,-0.9
198512,44.6,-1.9
198612,48.1,1.6
198712,48.3,1.8
198812,47.9,1.4
198912,46.5,0.0
199012,47.4,0.9
199112,47.6,1.1
199212,49.4,2.9
199312,45.5,-1.0
199412,47.8,1.3
199512,48.1,1.6
199612,47.6,1.1
199712,47.8,1.3
199812,47.8,1.3
199912,47.2,0.7
200012,47.5,1.0
200112,47.8,1.3
200212,47.7,1.2
200312,49.0,2.5
200412,48.4,1.9
200512,47.7,1.2
200612,48.0,1.5
200712,47.8,1.3
200812,46.8,0.3
200912,47.3,0.8
201012,47.1,0.6
201112,46.3,-0.2
201212,48.0,1.5
201312,47.6,1.1
201412,49.6,3.1
201512,50.4,3.9
201612,48.8,2.3
201712,48.0,1.5
201812,48.4,1.9
201912,47.1,0.6
202012,48.8,2.3
202112,49.2,2.7
