Pennsylvania, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,46.6,-1.5
189612,48.0,-0.1
189712,47.9,-0.2
189812,49.2,1.1
189912,47.9,-0.2
190012,49.2,1.1
190112,47.2,-0.9
190212,47.6,-0.5
190312,47.6,-0.5
190412,45.3,-2.8
190512,47.1,-1.0
190612,48.6,0.5
190712,46.2,-1.9
190812,48.5,0.4
190912,47.9,-0.2
191012,47.6,-0.5
191112,49.1,1.0
191212,47.0,-1.1
191312,49.6,1.5
191412,46.9,-1.2
191512,47.8,-0.3
191612,47.5,-0.6
191712,45.2,-2.9
191812,48.1,0.0
191912,49.0,0.9
192012,47.0,-1.1
192112,50.6,2.5
192212,48.9,0.8
192312,47.8,-0.3
192412,46.0,-2.1
192512,47.8,-0.3
192612,46.2,-1.9
192712,48.4,0.3
192812,47.9,-0.2
192912,47.9,-0.2
193012,48.8,0.7
193112,50.4,2.3
193212,49.2,1.1
193312,49.2,1.1
193412,48.1,0.0
193512,47.5,-0.6
193612,47.8,-0.3
193712,48.2,0.1
193812,49.4,1.3
193912,49.1,1.0
194012,46.0,-2.1
194112,48.8,0.7
194212,48.4,0.3
194312,47.5,-0.6
194412,48.5,0.4
194512,48.2,0.1
194612,49.5,1.4
194712,48.2,0.1
194812,48.2,0.1
194912,50.4,2.3
195012,47.4,-0.7
195112,48.3,0.2
195212,49.1,1.0
195312,50.1,2.0
195412,48.8,0.7
195512,48.8,0.7
195612,47.9,-0.2
195712,48.8,0.7
195812,46.3,-1.8
195912,49.2,1.1
196012,47.2,-0.9
196112,48.0,-0.1
196212,46.9,-1.2
196312,46.5,-1.6
196412,48.0,-0.1
196512,47.6,-0.5
196612,47.3,-0.8
196712,47.0,-1.1
196812,47.6,-0.5
196912,47.5,-0.6
197012,48.1,0.0
197112,48.2,0.1
197212,47.2,-0.9
197312,49.7,1.6
197412,48.2,0.1
197512,48.9,0.8
197612,46.8,-1.3
197712,47.9,-0.2
197812,46.4,-1.7
197912,47.5,-0.6
198012,47.3,-0.8
198112,47.5,-0.6
198212,47.9,-0.2
198312,48.7,0.6
198412,48.2,0.1
198512,48.5,0.4
198612,48.8,0.7
198712,49.2,1.1
198812,48.1,0.0
198912,47.5,-0.6
199012,50.7,2.6
199112,50.7,2.6
199212,47.6,-0.5
199312,48.2,0.1
199412,48.0,-0.1
199512,48.5,0.4
199612,47.6,-0.5
199712,48.0,-0.1
199812,51.8,3.7
199912,50.0,1.9
200012,48.5,0.4
200112,49.9,1.8
200212,50.3,2.2
200312,48.0,-0.1
200412,49.1,1.0
200512,49.5,1.4
200612,50.8,2.7
200712,49.5,1.4
200812,48.8,0.7
200912,48.4,0.3
201012,50.1,2.0
201112,50.4,2.3
201212,51.8,3.7
201312,49.0,0.9
201412,47.4,-0.7
201512,49.5,1.4
201612,50.9,2.8
201712,50.6,2.5
201812,49.8,1.7
201912,49.9,1.8
202012,51.2,3.1
202112,51.2,3.1
