Rhode Island, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,47.7,-0.9
189612,47.7,-0.9
189712,47.6,-1.0
189812,48.8,0.2
189912,47.8,-0.8
190012,48.6,0.0
190112,46.9,-1.7
190212,47.6,-1.0
190312,47.3,-1.3
190412,44.8,-3.8
190512,46.6,-2.0
190612,48.0,-0.6
190712,46.0,-2.6
190812,48.4,-0.2
190912,47.6,-1.0
191012,47.9,-0.7
191112,47.9,-0.7
191212,47.1,-1.5
191312,49.4,0.8
191412,46.9,-1.7
191512,48.1,-0.5
191612,47.2,-1.4
191712,45.6,-3.0
191812,47.3,-1.3
191912,48.2,-0.4
192012,47.0,-1.6
192112,49.4,0.8
192212,48.0,-0.6
192312,46.8,-1.8
192412,46.7,-1.9
192512,48.3,-0.3
192612,45.9,-2.7
192712,48.6,0.0
192812,48.1,-0.5
192912,48.1,-0.5
193012,49.5,0.9
193112,50.0,1.4
193212,49.2,0.6
193312,48.5,-0.1
193412,47.2,-1.4
193512,47.5,-1.1
193612,47.9,-0.7
193712,49.0,0.4
193812,49.0,0.4
193912,48.0,-0.6
194012,46.2,-2.4
194112,49.0,0.4
194212,48.6,0.0
194312,47.9,-0.7
194412,48.9,0.3
194512,48.8,0.2
194612,49.3,0.7
194712,48.6,0.0
194812,48.4,-0.2
194912,51.3,2.7
195012,48.7,0.1
195112,50.0,1.4
195212,50.2,1.6
195312,51.1,2.5
195412,49.3,0.7
195512,49.0,0.4
195612,48.2,-0.4
195712,50.0,1.4
195812,47.4,-1.2
195912,49.5,0.9
196012,48.5,-0.1
196112,48.8,0.2
196212,47.1,-1.5
196312,48.1,-0.5
196412,48.5,-0.1
196512,48.0,-0.6
196612,48.7,0.1
196712,47.7,-0.9
196812,48.3,-0.3
196912,48.8,0.2
197012,48.4,-0.2
197112,49.1,0.5
197212,48.0,-0.6
197312,50.8,2.2
197412,49.1,0.5
197512,49.9,1.3
197612,48.3,-0.3
197712,49.2,0.6
197812,47.4,-1.2
197912,49.7,1.1
198012,48.5,-0.1
198112,48.9,0.3
198212,48.6,0.0
198312,50.3,1.7
198412,49.8,1.2
198512,49.2,0.6
198612,49.0,0.4
198712,49.1,0.5
198812,49.0,0.4
198912,48.6,0.0
199012,51.5,2.9
199112,51.4,2.8
199212,48.4,-0.2
199312,49.3,0.7
199412,49.6,1.0
199512,49.9,1.3
199612,49.1,0.5
199712,49.4,0.8
199812,52.0,3.4
199912,51.8,3.2
200012,49.5,0.9
200112,51.1,2.5
200212,51.2,2.6
200312,49.0,0.4
200412,49.3,0.7
200512,50.1,1.5
200612,51.8,3.2
200712,50.3,1.7
200812,50.8,2.2
200912,49.8,1.2
201012,52.0,3.4
201112,51.6,3.0
201212,52.9,4.3
201312,50.6,2.0
201412,49.7,1.1
201512,50.4,1.8
201612,52.2,3.6
201712,51.5,2.9
201812,51.6,3.0
201912,50.6,2.0
202012,52.8,4.2
202112,52.5,3.9
