South Carolina, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,61.0,-1.4
189612,63.4,1.0
189712,62.9,0.5
189812,62.8,0.4
189912,62.6,0.2
190012,63.0,0.6
190112,60.7,-1.7
190212,62.1,-0.3
190312,61.5,-0.9
190412,60.8,-1.6
190512,61.9,-0.5
190612,62.5,0.1
190712,62.5,0.1
190812,62.9,0.5
190912,62.4,0.0
191012,61.6,-0.8
191112,63.8,1.4
191212,61.6,-0.8
191312,62.8,0.4
191412,61.4,-1.0
191512,61.8,-0.6
191612,62.5,0.1
191712,60.7,-1.7
191812,62.3,-0.1
191912,63.3,0.9
192012,61.3,-1.1
192112,64.1,1.7
192212,63.5,1.1
192312,62.6,0.2
192412,61.2,-1.2
192512,63.7,1.3
192612,62.4,0.0
192712,63.6,1.2
192812,61.9,-0.5
192912,62.4,0.0
193012,62.1,-0.3
193112,63.4,1.0
193212,63.9,1.5
193312,64.3,1.9
193412,62.6,0.2
193512,62.6,0.2
193612,62.6,0.2
193712,62.2,-0.2
193812,63.5,1.1
193912,63.7,1.3
194012,60.8,-1.6
194112,62.7,0.3
194212,62.6,0.2
194312,62.3,-0.1
194412,62.4,0.0
194512,63.3,0.9
194612,63.6,1.2
194712,61.8,-0.6
194812,62.8,0.4
194912,63.8,1.4
195012,62.5,0.1
195112,62.6,0.2
195212,63.0,0.6
195312,63.5,1.1
195412,63.3,0.9
195512,62.5,0.1
195612,63.1,0.7
195712,63.0,0.6
195812,60.7,-1.7
195912,62.7,0.3
196012,61.0,-1.4
196112,61.7,-0.7
196212,61.8,-0.6
196312,60.7,-1.7
196412,61.7,-0.7
196512,62.2,-0.2
196612,60.7,-1.7
196712,61.1,-1.3
196812,60.8,-1.6
196912,60.7,-1.7
197012,62.3,-0.1
197112,62.4,0.0
197212,62.1,-0.3
197312,62.6,0.2
197412,63.0,0.6
197512,63.1,0.7
197612,60.9,-1.5
197712,62.2,-0.2
197812,61.6,-0.8
197912,61.5,-0.9
198012,61.9,-0.5
198112,61.2,-1.2
198212,62.7,0.3
198312,61.3,-1.1
198412,62.4,0.0
198512,63.0,0.6
198612,64.1,1.7
198712,62.3,-0.1
198812,61.2,-1.2
198912,62.2,-0.2
199012,65.0,2.6
199112,63.8,1.4
199212,61.9,-0.5
199312,62.6,0.2
199412,62.8,0.4
199512,62.5,0.1
199612,61.8,-0.6
199712,62.2,-0.2
199812,64.7,2.3
199912,63.4,1.0
200012,62.2,-0.2
200112,63.3,0.9
200212,63.7,1.3
200312,62.4,0.0
200412,63.2,0.8
200512,63.1,0.7
200612,63.6,1.2
200712,64.3,1.9
200812,62.9,0.5
200912,62.7,0.3
201012,62.6,0.2
201112,64.1,1.7
201212,64.5,2.1
201312,62.3,-0.1
201412,62.2,-0.2
201512,64.5,2.1
201612,64.9,2.5
201712,65.1,2.7
201812,64.3,1.9
201912,65.0,2.6
202012,64.6,2.2
202112,63.7,1.3
