South Dakota, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,42.4,-2.2
189612,42.5,-2.1
189712,42.6,-2.0
189812,43.5,-1.1
189912,41.8,-2.8
190012,46.2,1.6
190112,45.6,1.0
190212,43.3,-1.3
190312,42.7,-1.9
190412,43.1,-1.5
190512,43.1,-1.5
190612,44.0,-0.6
190712,42.8,-1.8
190812,45.1,0.5
190912,42.7,-1.9
191012,45.2,0.6
191112,44.1,-0.5
191212,42.8,-1.8
191312,44.6,0.0
191412,44.9,0.3
191512,42.7,-1.9
191612,41.5,-3.1
191712,41.0,-3.6
191812,44.3,-0.3
191912,43.4,-1.2
192012,43.8,-0.8
192112,47.1,2.5
192212,43.7,-0.9
192312,44.9,0.3
192412,42.2,-2.4
192512,45.0,0.4
192612,45.0,0.4
192712,42.6,-2.0
192812,45.2,0.6
192912,42.1,-2.5
193012,45.6,1.0
193112,48.7,4.1
193212,44.0,-0.6
193312,46.7,2.1
193412,48.2,3.6
193512,44.9,0.3
193612,43.7,-0.9
193712,43.3,-1.3
193812,46.6,2.0
193912,47.2,2.6
194012,44.8,0.2
194112,46.5,1.9
194212,44.7,0.1
194312,44.7,0.1
194412,44.2,-0.4
194512,43.7,-0.9
194612,46.0,1.4
194712,44.4,-0.2
194812,44.5,-0.1
194912,44.4,-0.2
195012,40.9,-3.7
195112,40.9,-3.7
195212,44.7,0.1
195312,46.1,1.5
195412,46.1,1.5
195512,44.4,-0.2
195612,44.6,0.0
195712,44.2,-0.4
195812,45.0,0.4
195912,44.4,-0.2
196012,43.7,-0.9
196112,45.1,0.5
196212,44.3,-0.3
196312,46.5,1.9
196412,44.8,0.2
196512,43.3,-1.3
196612,43.3,-1.3
196712,44.2,-0.4
196812,44.2,-0.4
196912,43.6,-1.0
197012,43.6,-1.0
197112,43.7,-0.9
197212,42.6,-2.0
197312,46.0,1.4
197412,46.0,1.4
197512,44.0,-0.6
197612,46.2,1.6
197712,45.6,1.0
197812,42.2,-2.4
197912,42.6,-2.0
198012,46.2,1.6
198112,47.5,2.9
198212,43.0,-1.6
198312,45.0,0.4
198412,45.0,0.4
198512,42.9,-1.7
198612,45.8,1.2
198712,48.6,4.0
198812,46.7,2.1
198912,44.3,-0.3
199012,46.9,2.3
199112,46.8,2.2
199212,45.6,1.0
199312,42.3,-2.3
199412,44.9,0.3
199512,44.7,0.1
199612,41.6,-3.0
199712,44.8,0.2
199812,47.4,2.8
199912,47.8,3.2
200012,46.0,1.4
200112,46.5,1.9
200212,46.2,1.6
200312,46.1,1.5
200412,46.3,1.7
200512,47.3,2.7
200612,48.1,3.5
200712,46.8,2.2
200812,43.8,-0.8
200912,43.6,-1.0
201012,45.1,0.5
201112,44.8,0.2
201212,49.3,4.7
201312,44.0,-0.6
201412,43.7,-0.9
201512,47.5,2.9
201612,48.4,3.8
201712,46.8,2.2
201812,44.1,-0.5
201912,42.3,-2.3
202012,46.8,2.2
202112,48.0,3.4
