Tennessee, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,56.2,-1.5
189612,58.6,0.9
189712,58.6,0.9
189812,58.3,0.6
189912,57.7,0.0
190012,58.5,0.8
190112,56.2,-1.5
190212,57.6,-0.1
190312,56.8,-0.9
190412,56.7,-1.0
190512,57.0,-0.7
190612,57.7,0.0
190712,57.9,0.2
190812,58.6,0.9
190912,58.1,0.4
191012,56.8,-0.9
191112,59.7,2.0
191212,56.3,-1.4
191312,58.7,1.0
191412,57.7,0.0
191512,57.6,-0.1
191612,57.7,0.0
191712,55.4,-2.3
191812,58.0,0.3
191912,58.8,1.1
192012,56.9,-0.8
192112,60.6,2.9
192212,59.4,1.7
192312,58.0,0.3
192412,56.2,-1.5
192512,59.3,1.6
192612,57.4,-0.3
192712,59.3,1.6
192812,57.0,-0.7
192912,57.4,-0.3
193012,58.1,0.4
193112,59.3,1.6
193212,58.7,1.0
193312,59.5,1.8
193412,58.4,0.7
193512,58.0,0.3
193612,58.3,0.6
193712,57.6,-0.1
193812,59.4,1.7
193912,58.8,1.1
194012,55.7,-2.0
194112,58.7,1.0
194212,57.4,-0.3
194312,57.6,-0.1
194412,58.1,0.4
194512,57.7,0.0
194612,58.9,1.2
194712,56.8,-0.9
194812,57.7,0.0
194912,58.8,1.1
195012,57.1,-0.6
195112,57.6,-0.1
195212,58.5,0.8
195312,58.9,1.2
195412,59.0,1.3
195512,58.0,0.3
195612,58.6,0.9
195712,58.5,0.8
195812,55.6,-2.1
195912,57.8,0.1
196012,55.8,-1.9
196112,56.7,-1.0
196212,57.2,-0.5
196312,56.0,-1.7
196412,57.4,-0.3
196512,57.8,0.1
196612,56.2,-1.5
196712,56.7,-1.0
196812,56.1,-1.6
196912,56.1,-1.6
197012,57.1,-0.6
197112,57.7,0.0
197212,57.2,-0.5
197312,58.3,0.6
197412,57.7,0.0
197512,57.8,0.1
197612,55.5,-2.2
197712,57.3,-0.4
197812,56.1,-1.6
197912,55.8,-1.9
198012,57.2,-0.5
198112,56.7,-1.0
198212,57.6,-0.1
198312,56.7,-1.0
198412,57.5,-0.2
198512,57.3,-0.4
198612,58.8,1.1
198712,58.4,0.7
198812,56.7,-1.0
198912,56.6,-1.1
199012,59.4,1.7
199112,59.1,1.4
199212,57.0,-0.7
199312,57.2,-0.5
199412,57.6,-0.1
199512,57.4,-0.3
199612,56.6,-1.1
199712,56.8,-0.9
199812,60.2,2.5
199912,59.3,1.6
200012,58.0,0.3
200112,58.2,0.5
200212,58.7,1.0
200312,57.5,-0.2
200412,58.5,0.8
200512,58.8,1.1
200612,58.9,1.2
200712,59.9,2.2
200812,57.6,-0.1
200912,57.6,-0.1
201012,57.9,0.2
201112,58.9,1.2
201212,60.3,2.6
201312,57.1,-0.6
201412,56.6,-1.1
201512,59.0,1.3
201612,60.3,2.6
201712,60.0,2.3
201812,59.1,1.4
201912,59.8,2.1
202012,59.3,1.6
202112,59.0,1.3
