Texas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,62.3,-2.3
189612,65.1,0.5
189712,64.4,-0.2
189812,63.9,-0.7
189912,64.0,-0.6
190012,64.8,0.2
190112,65.0,0.4
190212,65.4,0.8
190312,62.7,-1.9
190412,64.7,0.1
190512,63.2,-1.4
190612,63.6,-1.0
190712,65.6,1.0
190812,65.0,0.4
190912,65.4,0.8
191012,65.4,0.8
191112,65.8,1.2
191212,63.1,-1.5
191312,63.2,-1.4
191412,63.7,-0.9
191512,63.8,-0.8
191612,65.3,0.7
191712,64.3,-0.3
191812,64.5,-0.1
191912,63.3,-1.3
192012,63.8,-0.8
192112,66.4,1.8
192212,65.3,0.7
192312,64.4,-0.2
192412,63.6,-1.0
192512,65.5,0.9
192612,64.0,-0.6
192712,66.4,1.8
192812,64.5,-0.1
192912,64.0,-0.6
193012,64.2,-0.4
193112,64.7,0.1
193212,63.9,-0.7
193312,66.6,2.0
193412,66.5,1.9
193512,65.0,0.4
193612,64.1,-0.5
193712,64.5,-0.1
193812,65.9,1.3
193912,65.7,1.1
194012,63.5,-1.1
194112,64.1,-0.5
194212,63.9,-0.7
194312,64.7,0.1
194412,64.4,-0.2
194512,65.1,0.5
194612,65.7,1.1
194712,64.0,-0.6
194812,64.6,0.0
194912,64.2,-0.4
195012,65.4,0.8
195112,65.3,0.7
195212,65.0,0.4
195312,65.8,1.2
195412,66.6,2.0
195512,65.2,0.6
195612,66.0,1.4
195712,64.6,0.0
195812,63.4,-1.2
195912,63.7,-0.9
196012,63.7,-0.9
196112,63.4,-1.2
196212,65.1,0.5
196312,65.2,0.6
196412,64.7,0.1
196512,65.1,0.5
196612,63.5,-1.1
196712,64.9,0.3
196812,63.1,-1.5
196912,64.5,-0.1
197012,63.7,-0.9
197112,64.9,0.3
197212,64.4,-0.2
197312,63.7,-0.9
197412,64.5,-0.1
197512,63.8,-0.8
197612,62.8,-1.8
197712,65.3,0.7
197812,63.8,-0.8
197912,62.9,-1.7
198012,65.0,0.4
198112,65.0,0.4
198212,64.6,0.0
198312,63.4,-1.2
198412,64.8,0.2
198512,64.4,-0.2
198612,65.5,0.9
198712,63.8,-0.8
198812,64.3,-0.3
198912,64.3,-0.3
199012,65.6,1.0
199112,64.8,0.2
199212,64.4,-0.2
199312,64.1,-0.5
199412,65.6,1.0
199512,65.2,0.6
199612,65.4,0.8
199712,63.9,-0.7
199812,67.0,2.4
199912,66.6,2.0
200012,66.5,1.9
200112,65.7,1.1
200212,65.0,0.4
200312,65.5,0.9
200412,65.2,0.6
200512,66.0,1.4
200612,67.1,2.5
200712,64.8,0.2
200812,65.5,0.9
200912,65.8,1.2
201012,65.1,0.5
201112,67.3,2.7
201212,67.8,3.2
201312,65.1,0.5
201412,64.8,0.2
201512,65.8,1.2
201612,67.2,2.6
201712,67.3,2.7
201812,66.0,1.4
201912,65.9,1.3
202012,66.9,2.3
202112,66.1,1.5
