Vermont, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,40.6,-0.7
189612,40.7,-0.6
189712,41.1,-0.2
189812,42.3,1.0
189912,41.2,-0.1
190012,41.1,-0.2
190112,40.8,-0.5
190212,40.6,-0.7
190312,40.7,-0.6
190412,37.6,-3.7
190512,39.5,-1.8
190612,40.7,-0.6
190712,38.8,-2.5
190812,41.3,0.0
190912,40.5,-0.8
191012,41.0,-0.3
191112,41.1,-0.2
191212,39.6,-1.7
191312,42.8,1.5
191412,39.3,-2.0
191512,42.0,0.7
191612,40.4,-0.9
191712,37.9,-3.4
191812,40.2,-1.1
191912,41.6,0.3
192012,40.6,-0.7
192112,43.2,1.9
192212,41.3,0.0
192312,39.7,-1.6
192412,39.8,-1.5
192512,40.7,-0.6
192612,38.2,-3.1
192712,41.6,0.3
192812,41.3,0.0
192912,40.9,-0.4
193012,42.2,0.9
193112,43.2,1.9
193212,42.3,1.0
193312,41.7,0.4
193412,40.2,-1.1
193512,40.3,-1.0
193612,40.9,-0.4
193712,42.6,1.3
193812,42.6,1.3
193912,40.5,-0.8
194012,39.3,-2.0
194112,41.6,0.3
194212,42.0,0.7
194312,39.7,-1.6
194412,41.1,-0.2
194512,41.8,0.5
194612,42.4,1.1
194712,41.8,0.5
194812,41.4,0.1
194912,44.1,2.8
195012,41.6,0.3
195112,42.2,0.9
195212,42.8,1.5
195312,44.4,3.1
195412,41.6,0.3
195512,41.9,0.6
195612,40.6,-0.7
195712,42.4,1.1
195812,40.2,-1.1
195912,42.2,0.9
196012,41.7,0.4
196112,41.8,0.5
196212,40.1,-1.2
196312,40.4,-0.9
196412,41.6,0.3
196512,40.5,-0.8
196612,41.3,0.0
196712,40.7,-0.6
196812,40.8,-0.5
196912,41.5,0.2
197012,41.0,-0.3
197112,41.0,-0.3
197212,40.0,-1.3
197312,43.4,2.1
197412,41.2,-0.1
197512,42.5,1.2
197612,40.5,-0.8
197712,41.9,0.6
197812,40.0,-1.3
197912,42.4,1.1
198012,40.6,-0.7
198112,42.2,0.9
198212,41.3,0.0
198312,42.6,1.3
198412,42.5,1.2
198512,41.5,0.2
198612,41.8,0.5
198712,42.2,0.9
198812,41.8,0.5
198912,40.7,-0.6
199012,44.0,2.7
199112,43.5,2.2
199212,40.6,-0.7
199312,41.2,-0.1
199412,41.3,0.0
199512,42.3,1.0
199612,42.0,0.7
199712,41.1,-0.2
199812,45.2,3.9
199912,44.3,3.0
200012,41.8,0.5
200112,43.8,2.5
200212,43.6,2.3
200312,41.5,0.2
200412,41.8,0.5
200512,43.4,2.1
200612,45.1,3.8
200712,42.2,0.9
200812,43.0,1.7
200912,42.3,1.0
201012,44.9,3.6
201112,44.3,3.0
201212,45.8,4.5
201312,43.2,1.9
201412,42.0,0.7
201512,42.6,1.3
201612,44.6,3.3
201712,43.8,2.5
201812,43.2,1.9
201912,41.9,0.6
202012,44.8,3.5
202112,44.9,3.6
