Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,53.2,-1.6
189612,55.3,0.5
189712,55.3,0.5
189812,55.5,0.7
189912,54.6,-0.2
190012,56.1,1.3
190112,53.4,-1.4
190212,54.4,-0.4
190312,54.0,-0.8
190412,52.6,-2.2
190512,54.0,-0.8
190612,55.2,0.4
190712,53.7,-1.1
190812,54.8,0.0
190912,54.7,-0.1
191012,54.1,-0.7
191112,55.8,1.0
191212,53.9,-0.9
191312,56.0,1.2
191412,54.0,-0.8
191512,54.3,-0.5
191612,54.5,-0.3
191712,52.2,-2.6
191812,54.3,-0.5
191912,55.4,0.6
192012,53.5,-1.3
192112,57.1,2.3
192212,55.6,0.8
192312,55.0,0.2
192412,53.1,-1.7
192512,55.3,0.5
192612,54.0,-0.8
192712,55.2,0.4
192812,54.3,-0.5
192912,54.7,-0.1
193012,55.3,0.5
193112,56.4,1.6
193212,56.0,1.2
193312,56.3,1.5
193412,54.9,0.1
193512,54.4,-0.4
193612,54.9,0.1
193712,54.6,-0.2
193812,55.9,1.1
193912,56.0,1.2
194012,53.0,-1.8
194112,55.6,0.8
194212,55.2,0.4
194312,55.1,0.3
194412,55.0,0.2
194512,55.5,0.7
194612,56.1,1.3
194712,54.4,-0.4
194812,55.1,0.3
194912,56.6,1.8
195012,54.8,0.0
195112,55.0,0.2
195212,55.7,0.9
195312,56.7,1.9
195412,55.6,0.8
195512,55.0,0.2
195612,55.3,0.5
195712,55.6,0.8
195812,53.0,-1.8
195912,55.8,1.0
196012,53.6,-1.2
196112,54.3,-0.5
196212,53.5,-1.3
196312,53.3,-1.5
196412,54.5,-0.3
196512,54.6,-0.2
196612,53.3,-1.5
196712,53.4,-1.4
196812,53.8,-1.0
196912,53.4,-1.4
197012,54.8,0.0
197112,54.9,0.1
197212,54.2,-0.6
197312,55.6,0.8
197412,55.3,0.5
197512,55.4,0.6
197612,53.8,-1.0
197712,54.8,0.0
197812,53.6,-1.2
197912,53.8,-1.0
198012,54.4,-0.4
198112,53.7,-1.1
198212,54.7,-0.1
198312,54.4,-0.4
198412,55.0,0.2
198512,55.4,0.6
198612,55.6,0.8
198712,55.2,0.4
198812,53.9,-0.9
198912,54.4,-0.4
199012,57.4,2.6
199112,57.0,2.2
199212,54.4,-0.4
199312,55.1,0.3
199412,55.3,0.5
199512,55.0,0.2
199612,54.0,-0.8
199712,54.5,-0.3
199812,57.4,2.6
199912,56.3,1.5
200012,54.9,0.1
200112,55.8,1.0
200212,56.6,1.8
200312,55.0,0.2
200412,55.9,1.1
200512,55.9,1.1
200612,56.6,1.8
200712,56.8,2.0
200812,55.7,0.9
200912,55.2,0.4
201012,55.9,1.1
201112,57.0,2.2
201212,57.6,2.8
201312,55.1,0.3
201412,54.4,-0.4
201512,56.5,1.7
201612,57.1,2.3
201712,57.3,2.5
201812,56.6,1.8
201912,57.5,2.7
202012,57.4,2.6
202112,57.1,2.3
