Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,45.2,-0.9
189612,45.4,-0.7
189712,45.3,-0.8
189812,45.7,-0.4
189912,45.1,-1.0
190012,47.0,0.9
190112,45.8,-0.3
190212,45.3,-0.8
190312,44.9,-1.2
190412,46.6,0.5
190512,45.9,-0.2
190612,46.9,0.8
190712,45.2,-0.9
190812,45.9,-0.2
190912,44.3,-1.8
191012,46.0,-0.1
191112,44.7,-1.4
191212,45.5,-0.6
191312,44.7,-1.4
191412,46.5,0.4
191512,46.9,0.8
191612,43.0,-3.1
191712,45.5,-0.6
191812,46.8,0.7
191912,44.8,-1.3
192012,45.4,-0.7
192112,45.5,-0.6
192212,44.2,-1.9
192312,46.4,0.3
192412,46.0,-0.1
192512,47.8,1.7
192612,47.9,1.8
192712,45.1,-1.0
192812,46.4,0.3
192912,44.4,-1.7
193012,45.2,-0.9
193112,46.5,0.4
193212,45.5,-0.6
193312,45.4,-0.7
193412,49.1,3.0
193512,45.4,-0.7
193612,45.9,-0.2
193712,45.2,-0.9
193812,47.1,1.0
193912,47.5,1.4
194012,48.1,2.0
194112,47.9,1.8
194212,46.4,0.3
194312,45.4,-0.7
194412,46.5,0.4
194512,46.3,0.2
194612,45.9,-0.2
194712,47.0,0.9
194812,44.3,-1.8
194912,44.9,-1.2
195012,44.3,-1.8
195112,45.4,-0.7
195212,46.1,0.0
195312,47.4,1.3
195412,45.1,-1.0
195512,43.4,-2.7
195612,45.3,-0.8
195712,45.5,-0.6
195812,49.0,2.9
195912,45.5,-0.6
196012,45.6,-0.5
196112,47.0,0.9
196212,46.2,0.1
196312,46.7,0.6
196412,44.8,-1.3
196512,46.7,0.6
196612,46.9,0.8
196712,47.8,1.7
196812,46.3,0.2
196912,45.5,-0.6
197012,46.0,-0.1
197112,45.4,-0.7
197212,45.3,-0.8
197312,46.5,0.4
197412,46.7,0.6
197512,45.2,-0.9
197612,45.9,-0.2
197712,46.2,0.1
197812,45.9,-0.2
197912,46.4,0.3
198012,46.1,0.0
198112,47.3,1.2
198212,45.5,-0.6
198312,46.7,0.6
198412,45.3,-0.8
198512,43.9,-2.2
198612,47.3,1.2
198712,48.2,2.1
198812,47.3,1.2
198912,46.6,0.5
199012,47.3,1.2
199112,47.1,1.0
199212,48.6,2.5
199312,45.6,-0.5
199412,47.9,1.8
199512,47.5,1.4
199612,45.6,-0.5
199712,47.1,1.0
199812,48.6,2.5
199912,46.9,0.8
200012,46.2,0.1
200112,46.9,0.8
200212,46.9,0.8
200312,48.2,2.1
200412,48.4,2.3
200512,47.3,1.2
200612,47.5,1.4
200712,46.8,0.7
200812,45.8,-0.3
200912,46.4,0.3
201012,47.1,1.0
201112,45.5,-0.6
201212,47.1,1.0
201312,47.2,1.1
201412,48.4,2.3
201512,50.0,3.9
201612,48.6,2.5
201712,46.8,0.7
201812,48.0,1.9
201912,46.5,0.4
202012,48.1,2.0
202112,48.3,2.2
