Wisconsin, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,41.3,-1.1
189612,42.4,0.0
189712,41.9,-0.5
189812,42.9,0.5
189912,41.5,-0.9
190012,43.4,1.0
190112,42.4,0.0
190212,42.6,0.2
190312,41.2,-1.2
190412,39.6,-2.8
190512,41.2,-1.2
190612,42.6,0.2
190712,40.6,-1.8
190812,43.6,1.2
190912,41.8,-0.6
191012,42.9,0.5
191112,43.2,0.8
191212,40.0,-2.4
191312,42.9,0.5
191412,42.2,-0.2
191512,42.1,-0.3
191612,40.8,-1.6
191712,38.0,-4.4
191812,42.2,-0.2
191912,42.4,0.0
192012,41.7,-0.7
192112,45.6,3.2
192212,43.2,0.8
192312,42.3,-0.1
192412,39.5,-2.9
192512,42.0,-0.4
192612,40.2,-2.2
192712,41.6,-0.8
192812,42.2,-0.2
192912,39.9,-2.5
193012,43.4,1.0
193112,47.0,4.6
193212,42.2,-0.2
193312,43.2,0.8
193412,43.4,1.0
193512,41.7,-0.7
193612,41.0,-1.4
193712,41.4,-1.0
193812,44.0,1.6
193912,43.9,1.5
194012,41.4,-1.0
194112,44.6,2.2
194212,42.8,0.4
194312,41.2,-1.2
194412,43.8,1.4
194512,41.2,-1.2
194612,43.8,1.4
194712,42.4,0.0
194812,42.6,0.2
194912,43.6,1.2
195012,39.5,-2.9
195112,39.8,-2.6
195212,43.1,0.7
195312,44.1,1.7
195412,43.2,0.8
195512,42.9,0.5
195612,42.1,-0.3
195712,42.2,-0.2
195812,42.0,-0.4
195912,41.9,-0.5
196012,42.0,-0.4
196112,42.9,0.5
196212,41.6,-0.8
196312,42.0,-0.4
196412,43.4,1.0
196512,41.2,-1.2
196612,41.5,-0.9
196712,40.9,-1.5
196812,43.0,0.6
196912,41.7,-0.7
197012,42.1,-0.3
197112,42.0,-0.4
197212,40.0,-2.4
197312,44.3,1.9
197412,42.2,-0.2
197512,42.6,0.2
197612,41.4,-1.0
197712,42.9,0.5
197812,41.0,-1.4
197912,40.4,-2.0
198012,42.2,-0.2
198112,43.5,1.1
198212,41.4,-1.0
198312,43.4,1.0
198412,43.2,0.8
198512,41.4,-1.0
198612,43.3,0.9
198712,46.3,3.9
198812,43.4,1.0
198912,41.1,-1.3
199012,44.5,2.1
199112,43.7,1.3
199212,42.7,0.3
199312,41.7,-0.7
199412,43.0,0.6
199512,42.8,0.4
199612,40.5,-1.9
199712,42.6,0.2
199812,47.3,4.9
199912,45.4,3.0
200012,43.9,1.5
200112,45.3,2.9
200212,44.6,2.2
200312,43.2,0.8
200412,43.5,1.1
200512,45.1,2.7
200612,46.0,3.6
200712,44.7,2.3
200812,41.8,-0.6
200912,42.4,0.0
201012,45.5,3.1
201112,44.1,1.7
201212,47.4,5.0
201312,41.8,-0.6
201412,40.2,-2.2
201512,44.8,2.4
201612,46.2,3.8
201712,44.7,2.3
201812,43.2,0.8
201912,42.1,-0.3
202012,44.8,2.4
202112,45.8,3.4
