Wyoming, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,37.9,-2.8
189612,39.8,-0.9
189712,39.7,-1.0
189812,39.2,-1.5
189912,38.5,-2.2
190012,42.4,1.7
190112,41.2,0.5
190212,40.1,-0.6
190312,38.8,-1.9
190412,41.1,0.4
190512,39.6,-1.1
190612,40.0,-0.7
190712,40.4,-0.3
190812,39.8,-0.9
190912,39.5,-1.2
191012,42.3,1.6
191112,39.6,-1.1
191212,38.0,-2.7
191312,39.2,-1.5
191412,40.9,0.2
191512,40.1,-0.6
191612,38.2,-2.5
191712,38.6,-2.1
191812,40.2,-0.5
191912,40.3,-0.4
192012,39.3,-1.4
192112,42.2,1.5
192212,39.1,-1.6
192312,39.6,-1.1
192412,38.7,-2.0
192512,41.5,0.8
192612,41.4,0.7
192712,39.7,-1.0
192812,39.9,-0.8
192912,38.4,-2.3
193012,40.1,-0.6
193112,41.8,1.1
193212,39.2,-1.5
193312,42.0,1.3
193412,44.5,3.8
193512,41.0,0.3
193612,41.2,0.5
193712,40.0,-0.7
193812,41.7,1.0
193912,42.4,1.7
194012,42.5,1.8
194112,41.7,1.0
194212,40.0,-0.7
194312,41.7,1.0
194412,39.6,-1.1
194512,39.8,-0.9
194612,41.9,1.2
194712,40.7,0.0
194812,40.2,-0.5
194912,40.0,-0.7
195012,40.0,-0.7
195112,38.7,-2.0
195212,40.8,0.1
195312,42.7,2.0
195412,43.0,2.3
195512,39.8,-0.9
195612,41.1,0.4
195712,40.4,-0.3
195812,42.0,1.3
195912,40.7,0.0
196012,41.0,0.3
196112,41.0,0.3
196212,41.1,0.4
196312,42.5,1.8
196412,39.6,-1.1
196512,40.2,-0.5
196612,41.2,0.5
196712,40.8,0.1
196812,39.8,-0.9
196912,41.1,0.4
197012,40.3,-0.4
197112,40.0,-0.7
197212,40.2,-0.5
197312,39.8,-0.9
197412,41.2,0.5
197512,39.4,-1.3
197612,41.3,0.6
197712,42.0,1.3
197812,39.4,-1.3
197912,40.0,-0.7
198012,41.9,1.2
198112,43.7,3.0
198212,39.8,-0.9
198312,40.9,0.2
198412,39.9,-0.8
198512,39.2,-1.5
198612,42.3,1.6
198712,42.5,1.8
198812,42.8,2.1
198912,41.2,0.5
199012,41.8,1.1
199112,41.7,1.0
199212,42.5,1.8
199312,38.9,-1.8
199412,42.9,2.2
199512,41.7,1.0
199612,41.0,0.3
199712,41.2,0.5
199812,42.5,1.8
199912,43.2,2.5
200012,42.5,1.8
200112,43.2,2.5
200212,41.4,0.7
200312,43.0,2.3
200412,42.4,1.7
200512,42.8,2.1
200612,43.2,2.5
200712,43.3,2.6
200812,40.7,0.0
200912,40.9,0.2
201012,42.0,1.3
201112,41.1,0.4
201212,44.8,4.1
201312,41.7,1.0
201412,42.1,1.4
201512,44.2,3.5
201612,43.9,3.2
201712,43.2,2.5
201812,42.4,1.7
201912,40.3,-0.4
202012,42.8,2.1
202112,43.6,2.9
