,state,avg_temp,anomaly,year,code
0,Alabama,75.9,1.2,1896,AL
1,Alabama,75.6,0.9,1897,AL
2,Alabama,75.2,0.5,1898,AL
3,Alabama,72.8,-1.9,1899,AL
4,Alabama,77.6,2.9,1900,AL
5,Alabama,72.4,-2.3,1901,AL
6,Alabama,73.6,-1.1,1902,AL
7,Alabama,73.2,-1.5,1903,AL
8,Alabama,77.0,2.3,1904,AL
9,Alabama,76.2,1.5,1905,AL
10,Alabama,78.3,3.6,1906,AL
11,Alabama,75.2,0.5,1907,AL
12,Alabama,74.5,-0.2,1908,AL
13,Alabama,75.3,0.6,1909,AL
14,Alabama,77.4,2.7,1910,AL
15,Alabama,80.2,5.5,1911,AL
16,Alabama,76.9,2.2,1912,AL
17,Alabama,73.2,-1.5,1913,AL
18,Alabama,73.2,-1.5,1914,AL
19,Alabama,76.4,1.7,1915,AL
20,Alabama,73.6,-1.1,1916,AL
21,Alabama,73.2,-1.5,1917,AL
22,Alabama,70.4,-4.3,1918,AL
23,Alabama,75.1,0.4,1919,AL
24,Alabama,76.8,2.1,1920,AL
25,Alabama,80.9,6.2,1921,AL
26,Alabama,77.0,2.3,1922,AL
27,Alabama,75.8,1.1,1923,AL
28,Alabama,72.4,-2.3,1924,AL
29,Alabama,83.1,8.4,1925,AL
30,Alabama,79.0,4.3,1926,AL
31,Alabama,77.1,2.4,1927,AL
32,Alabama,72.9,-1.8,1928,AL
33,Alabama,74.4,-0.3,1929,AL
34,Alabama,76.4,1.7,1930,AL
35,Alabama,78.9,4.2,1931,AL
36,Alabama,74.3,-0.4,1932,AL
37,Alabama,78.8,4.1,1933,AL
38,Alabama,74.0,-0.7,1934,AL
39,Alabama,74.1,-0.6,1935,AL
40,Alabama,77.7,3.0,1936,AL
41,Alabama,72.8,-1.9,1937,AL
42,Alabama,74.2,-0.5,1938,AL
43,Alabama,76.4,1.7,1939,AL
44,Alabama,72.6,-2.1,1940,AL
45,Alabama,77.3,2.6,1941,AL
46,Alabama,72.4,-2.3,1942,AL
47,Alabama,71.7,-3.0,1943,AL
48,Alabama,75.3,0.6,1944,AL
49,Alabama,77.1,2.4,1945,AL
50,Alabama,72.4,-2.3,1946,AL
51,Alabama,76.1,1.4,1947,AL
52,Alabama,72.5,-2.2,1948,AL
53,Alabama,72.4,-2.3,1949,AL
54,Alabama,72.1,-2.6,1950,AL
55,Alabama,75.6,0.9,1951,AL
56,Alabama,72.1,-2.6,1952,AL
57,Alabama,73.7,-1.0,1953,AL
58,Alabama,78.2,3.5,1954,AL
59,Alabama,76.8,2.1,1955,AL
60,Alabama,72.1,-2.6,1956,AL
61,Alabama,73.8,-0.9,1957,AL
62,Alabama,75.1,0.4,1958,AL
63,Alabama,74.7,0.0,1959,AL
64,Alabama,74.6,-0.1,1960,AL
65,Alabama,74.4,-0.3,1961,AL
66,Alabama,74.6,-0.1,1962,AL
67,Alabama,73.1,-1.6,1963,AL
68,Alabama,74.6,-0.1,1964,AL
69,Alabama,74.8,0.1,1965,AL
70,Alabama,72.9,-1.8,1966,AL
71,Alabama,68.8,-5.9,1967,AL
72,Alabama,72.3,-2.4,1968,AL
73,Alabama,72.0,-2.7,1969,AL
74,Alabama,77.4,2.7,1970,AL
75,Alabama,75.2,0.5,1971,AL
76,Alabama,77.2,2.5,1972,AL
77,Alabama,76.5,1.8,1973,AL
78,Alabama,70.9,-3.8,1974,AL
79,Alabama,70.4,-4.3,1975,AL
80,Alabama,72.0,-2.7,1976,AL
81,Alabama,75.7,1.0,1977,AL
82,Alabama,76.9,2.2,1978,AL
83,Alabama,72.6,-2.1,1979,AL
84,Alabama,78.1,3.4,1980,AL
85,Alabama,71.5,-3.2,1981,AL
86,Alabama,72.2,-2.5,1982,AL
87,Alabama,72.0,-2.7,1983,AL
88,Alabama,72.5,-2.2,1984,AL
89,Alabama,72.7,-2.0,1985,AL
90,Alabama,76.4,1.7,1986,AL
91,Alabama,73.6,-1.1,1987,AL
92,Alabama,74.5,-0.2,1988,AL
93,Alabama,72.9,-1.8,1989,AL
94,Alabama,76.3,1.6,1990,AL
95,Alabama,74.4,-0.3,1991,AL
96,Alabama,73.4,-1.3,1992,AL
97,Alabama,74.0,-0.7,1993,AL
98,Alabama,72.2,-2.5,1994,AL
99,Alabama,73.7,-1.0,1995,AL
100,Alabama,72.1,-2.6,1996,AL
101,Alabama,74.8,0.1,1997,AL
102,Alabama,77.4,2.7,1998,AL
103,Alabama,73.3,-1.4,1999,AL
104,Alabama,73.9,-0.8,2000,AL
105,Alabama,71.9,-2.8,2001,AL
106,Alabama,77.3,2.6,2002,AL
107,Alabama,73.1,-1.6,2003,AL
108,Alabama,73.8,-0.9,2004,AL
109,Alabama,76.9,2.2,2005,AL
110,Alabama,72.8,-1.9,2006,AL
111,Alabama,76.0,1.3,2007,AL
112,Alabama,74.5,-0.2,2008,AL
113,Alabama,75.0,0.3,2009,AL
114,Alabama,76.9,2.2,2010,AL
115,Alabama,72.1,-2.6,2011,AL
116,Alabama,73.0,-1.7,2012,AL
117,Alabama,75.0,0.3,2013,AL
118,Alabama,76.3,1.6,2014,AL
119,Alabama,74.4,-0.3,2015,AL
120,Alabama,78.6,3.9,2016,AL
121,Alabama,73.4,-1.3,2017,AL
122,Alabama,79.4,4.7,2018,AL
123,Alabama,80.2,5.5,2019,AL
124,Alabama,74.3,-0.4,2020,AL
125,Alabama,74.0,-0.7,2021,AL
126,Alabama,73.8,-0.9,2022,AL
127,Arizona,60.0,0.6,1896,AZ
128,Arizona,58.6,-0.8,1897,AZ
129,Arizona,59.0,-0.4,1898,AZ
130,Arizona,59.2,-0.2,1899,AZ
131,Arizona,60.1,0.7,1900,AZ
132,Arizona,59.9,0.5,1901,AZ
133,Arizona,59.6,0.2,1902,AZ
134,Arizona,59.0,-0.4,1903,AZ
135,Arizona,59.6,0.2,1904,AZ
136,Arizona,58.8,-0.6,1905,AZ
137,Arizona,59.0,-0.4,1906,AZ
138,Arizona,59.4,0.0,1907,AZ
139,Arizona,58.7,-0.7,1908,AZ
140,Arizona,58.5,-0.9,1909,AZ
141,Arizona,61.2,1.8,1910,AZ
142,Arizona,58.8,-0.6,1911,AZ
143,Arizona,57.2,-2.2,1912,AZ
144,Arizona,57.5,-1.9,1913,AZ
145,Arizona,59.9,0.5,1914,AZ
146,Arizona,58.2,-1.2,1915,AZ
147,Arizona,58.8,-0.6,1916,AZ
148,Arizona,58.7,-0.7,1917,AZ
149,Arizona,58.8,-0.6,1918,AZ
150,Arizona,58.1,-1.3,1919,AZ
151,Arizona,57.8,-1.6,1920,AZ
152,Arizona,59.9,0.5,1921,AZ
153,Arizona,58.6,-0.8,1922,AZ
154,Arizona,57.9,-1.5,1923,AZ
155,Arizona,58.6,-0.8,1924,AZ
156,Arizona,59.1,-0.3,1925,AZ
157,Arizona,59.6,0.2,1926,AZ
158,Arizona,59.5,0.1,1927,AZ
159,Arizona,59.6,0.2,1928,AZ
160,Arizona,58.5,-0.9,1929,AZ
161,Arizona,58.5,-0.9,1930,AZ
162,Arizona,59.2,-0.2,1931,AZ
163,Arizona,58.4,-1.0,1932,AZ
164,Arizona,58.8,-0.6,1933,AZ
165,Arizona,61.7,2.3,1934,AZ
166,Arizona,59.0,-0.4,1935,AZ
167,Arizona,60.3,0.9,1936,AZ
168,Arizona,59.1,-0.3,1937,AZ
169,Arizona,59.3,-0.1,1938,AZ
170,Arizona,59.6,0.2,1939,AZ
171,Arizona,60.8,1.4,1940,AZ
172,Arizona,58.2,-1.2,1941,AZ
173,Arizona,59.2,-0.2,1942,AZ
